method,utility,adr_kbps,used_spectral_efficiency,system_spectral_efficiency,served_ratio,unserved_ratio,average_quality,rb_utilization,avg_switching,fairness,avg_groups,selected_epoch,selection_validation_loss,pair_sampling,train_positive_pairs,train_negative_pairs,train_active_negative_ratio,train_mean_negative_distance,dataset,feature_mode,max_groups,rb_budget_ratio,test_ue_ids,train_ue_ids,seed
No grouping,0.7595175543083661,5800.0,15.32368703108253,6.639573657258546,1.0,0.0,4.0,0.4324758842443729,0.33912111468381556,1.0,1.0,12,0.0029581516403822733,random_balanced,2.805704099821747,0.0285204991087344,0.0071301247771836,0.04934440881541634,p3_6_coupled_trace,history_cost_quality,3,0.5,0|16|2,1|11|17|23|3|4|5,9
CQI k-means,0.7595175543083661,5800.0,15.32368703108253,6.639573657258546,1.0,0.0,4.0,0.4324758842443729,0.33912111468381556,1.0,1.0,12,0.0029581516403822733,random_balanced,2.805704099821747,0.0285204991087344,0.0071301247771836,0.04934440881541634,p3_6_coupled_trace,history_cost_quality,3,0.5,0|16|2,1|11|17|23|3|4|5,9
Resource-cost k-means,0.7595175543083661,5800.0,15.32368703108253,6.639573657258546,1.0,0.0,4.0,0.4324758842443729,0.33912111468381556,1.0,1.0,12,0.0029581516403822733,random_balanced,2.805704099821747,0.0285204991087344,0.0071301247771836,0.04934440881541634,p3_6_coupled_trace,history_cost_quality,3,0.5,0|16|2,1|11|17|23|3|4|5,9
Multi-feature k-means,0.7595175543083661,5800.0,15.32368703108253,6.639573657258546,1.0,0.0,4.0,0.4324758842443729,0.33912111468381556,1.0,1.0,12,0.0029581516403822733,random_balanced,2.805704099821747,0.0285204991087344,0.0071301247771836,0.04934440881541634,p3_6_coupled_trace,history_cost_quality,3,0.5,0|16|2,1|11|17|23|3|4|5,9
Offline teacher,0.7595175543083661,5800.0,15.32368703108253,6.639573657258546,1.0,0.0,4.0,0.4324758842443729,0.33912111468381556,1.0,1.0,12,0.0029581516403822733,random_balanced,2.805704099821747,0.0285204991087344,0.0071301247771836,0.04934440881541634,p3_6_coupled_trace,history_cost_quality,3,0.5,0|16|2,1|11|17|23|3|4|5,9
LE-GRA MVP,0.7595175543083661,5800.0,15.32368703108253,6.639573657258546,1.0,0.0,4.0,0.4324758842443729,0.33912111468381556,1.0,1.0,12,0.0029581516403822733,random_balanced,2.805704099821747,0.0285204991087344,0.0071301247771836,0.04934440881541634,p3_6_coupled_trace,history_cost_quality,3,0.5,0|16|2,1|11|17|23|3|4|5,9
