method,utility,adr_kbps,used_spectral_efficiency,system_spectral_efficiency,served_ratio,unserved_ratio,average_quality,rb_utilization,avg_switching,fairness,avg_groups,selected_epoch,selection_validation_loss,pair_sampling,train_positive_pairs,train_negative_pairs,train_active_negative_ratio,train_mean_negative_distance,dataset,feature_mode,max_groups,rb_budget_ratio,focus_ue_ids,train_window_end,test_window_start,test_window_end,seed
No grouping,0.5671841780840183,3000.0,20.833333333333332,11.904761904761905,1.0,0.0,3.0,0.5714285714285714,0.36,1.0,1.0,12,0.0009754028102706911,random_balanced,3.210526315789474,0.007017543859649123,0.0017543859649122807,0.05652207677841135,p3_6g_temporal_focus,history_cost_quality,3,0.28,3|31|4|5|6,31.1,31.2,31.2,9
CQI k-means,0.5790851026110574,4750.0,18.849206349206348,18.849206349206348,1.0,0.0,3.4,1.0,0.44000000000000006,0.836500139030494,2.0,12,0.0009754028102706911,random_balanced,3.210526315789474,0.007017543859649123,0.0017543859649122807,0.05652207677841135,p3_6g_temporal_focus,history_cost_quality,3,0.28,3|31|4|5|6,31.1,31.2,31.2,9
Resource-cost k-means,0.5790851026110574,4750.0,18.849206349206348,18.849206349206348,1.0,0.0,3.4,1.0,0.44000000000000006,0.836500139030494,2.0,12,0.0009754028102706911,random_balanced,3.210526315789474,0.007017543859649123,0.0017543859649122807,0.05652207677841135,p3_6g_temporal_focus,history_cost_quality,3,0.28,3|31|4|5|6,31.1,31.2,31.2,9
Multi-feature k-means,0.5790851026110574,4750.0,18.849206349206348,18.849206349206348,1.0,0.0,3.4,1.0,0.44000000000000006,0.836500139030494,2.0,12,0.0009754028102706911,random_balanced,3.210526315789474,0.007017543859649123,0.0017543859649122807,0.05652207677841135,p3_6g_temporal_focus,history_cost_quality,3,0.28,3|31|4|5|6,31.1,31.2,31.2,9
Offline teacher,0.5790851026110574,4750.0,18.849206349206348,18.849206349206348,1.0,0.0,3.4,1.0,0.44000000000000006,0.836500139030494,2.0,12,0.0009754028102706911,random_balanced,3.210526315789474,0.007017543859649123,0.0017543859649122807,0.05652207677841135,p3_6g_temporal_focus,history_cost_quality,3,0.28,3|31|4|5|6,31.1,31.2,31.2,9
LE-GRA MVP,0.5671841780840183,3000.0,20.833333333333332,11.904761904761905,1.0,0.0,3.0,0.5714285714285714,0.36,1.0,1.0,12,0.0009754028102706911,random_balanced,3.210526315789474,0.007017543859649123,0.0017543859649122807,0.05652207677841135,p3_6g_temporal_focus,history_cost_quality,3,0.28,3|31|4|5|6,31.1,31.2,31.2,9
