grouping,greedy_utility,dp_utility,utility_gap,greedy_adr,dp_adr,adr_gap
CQI k-means,0.8300672036292481,0.8378390891021179,0.007771885472869857,6683.680555555557,6363.055555555556,-320.62500000000006
No grouping,0.7910491603266366,0.791669732575817,0.0006205722491803604,6155.833333333333,6070.833333333333,-85.0
Resource-cost,0.836292895358276,0.8405679807812655,0.0042750854229895476,6830.76388888889,6611.319444444443,-219.44444444444446
Teacher,0.836283659352685,0.8509161414060765,0.014632482053391535,6459.652777777778,6111.041666666666,-348.6111111111112
