scenario,grouping,greedy_utility,dp_utility,utility_gap,greedy_adr,dp_adr,adr_gap,greedy_rb_util,dp_rb_util,greedy_switching,dp_switching
0,No grouping,0.9416666666666668,0.9416666666666668,0.0,7500.0,7500.0,0.0,0.21818181818181817,0.2,0.11666666666666665,0.11666666666666665
0,CQI k-means,0.9416666666666668,0.9416666666666668,0.0,7500.0,7500.0,0.0,0.21818181818181817,0.2,0.11666666666666665,0.11666666666666665
0,Resource-cost,0.9416666666666668,0.9465130186083789,0.004846351941712124,7500.0,7216.666666666667,-283.33333333333303,0.4,0.3090909090909091,0.11666666666666665,0.08333333333333333
0,Teacher,0.9416666666666668,0.9537825465209474,0.012115879854280642,7500.0,6791.666666666667,-708.333333333333,0.7090909090909091,0.5636363636363636,0.11666666666666665,0.03333333333333333
1,No grouping,0.9333333333333335,0.9333333333333335,0.0,7500.0,7500.0,0.0,0.3,0.28,0.13333333333333333,0.13333333333333333
1,CQI k-means,0.9333333333333335,0.9333333333333335,0.0,7500.0,7500.0,0.0,0.3,0.28,0.13333333333333333,0.13333333333333333
1,Resource-cost,0.9333333333333335,0.9333333333333335,0.0,7500.0,7500.0,0.0,0.3,0.28,0.13333333333333333,0.13333333333333333
1,Teacher,0.9333333333333335,0.9454492131876141,0.012115879854280642,7500.0,6791.666666666667,-708.333333333333,0.96,0.76,0.13333333333333333,0.049999999999999996
2,No grouping,0.8250000000000001,0.8250000000000001,0.0,7500.0,7500.0,0.0,0.4864864864864865,0.4594594594594595,0.35000000000000003,0.35000000000000003
2,CQI k-means,0.8371158798542807,0.8492317597085615,0.012115879854280753,6791.666666666667,6083.333333333333,-708.3333333333339,0.972972972972973,0.7837837837837838,0.26666666666666666,0.18333333333333335
2,Resource-cost,0.8250000000000001,0.8371158798542808,0.012115879854280753,7500.0,6791.666666666667,-708.333333333333,0.7837837837837838,0.6216216216216216,0.35000000000000003,0.26666666666666666
2,Teacher,0.8250000000000001,0.8468085837377055,0.021808583737705445,7500.0,6225.0,-1275.0,1.0,0.7567567567567568,0.35000000000000003,0.19999999999999998
3,No grouping,0.8999999999999999,0.8999999999999999,0.0,7500.0,7500.0,0.0,0.3333333333333333,0.3125,0.19999999999999998,0.19999999999999998
3,CQI k-means,0.9024231759708562,0.902423175970856,-2.220446049250313e-16,7358.333333333333,7358.333333333333,0.0,0.9583333333333334,0.875,0.18333333333333335,0.18333333333333335
3,Resource-cost,0.8999999999999999,0.9024231759708562,0.002423175970856284,7500.0,7358.333333333333,-141.66666666666697,0.7708333333333334,0.6458333333333334,0.19999999999999998,0.18333333333333335
3,Teacher,0.9048463519417123,0.9096927038834247,0.004846351941712457,7216.666666666667,6933.333333333333,-283.33333333333394,0.9791666666666666,0.8333333333333334,0.16666666666666666,0.13333333333333333
4,No grouping,0.8666666666666667,0.8666666666666667,0.0,7500.0,7500.0,0.0,0.3333333333333333,0.3125,0.2666666666666667,0.2666666666666667
4,CQI k-means,0.8666666666666667,0.8908984263752283,0.024231759708561618,7500.0,6083.333333333333,-1416.666666666667,0.5208333333333334,0.4166666666666667,0.2666666666666667,0.10000000000000002
4,Resource-cost,0.8666666666666667,0.8836288984626597,0.016962231795992988,7500.0,6508.333333333333,-991.666666666667,0.8125,0.625,0.2666666666666667,0.15
4,Teacher,0.8666666666666667,0.8908984263752283,0.024231759708561618,7500.0,6083.333333333333,-1416.666666666667,0.75,0.5833333333333334,0.2666666666666667,0.10000000000000002
5,No grouping,0.787411444983607,0.787411444983607,0.0,5800.0,5800.0,0.0,0.8333333333333334,0.8333333333333334,0.2833333333333334,0.2833333333333334
5,CQI k-means,0.7529934075350077,0.7874114449836073,0.034418037448599614,5625.0,5800.0,175.0,0.625,1.0,0.2833333333333333,0.2833333333333334
5,Resource-cost,0.787411444983607,0.787411444983607,0.0,5800.0,5800.0,0.0,0.8333333333333334,0.8333333333333334,0.2833333333333334,0.2833333333333334
5,Teacher,0.7901335575932382,0.7901335575932382,0.0,6325.0,6325.0,0.0,0.9791666666666666,0.9583333333333334,0.30000000000000004,0.30000000000000004
6,No grouping,0.9250000000000002,0.9250000000000002,0.0,7500.0,7500.0,0.0,0.21153846153846154,0.19230769230769232,0.15000000000000002,0.15000000000000002
6,CQI k-means,0.9250000000000002,0.9298463519417123,0.004846351941712124,7500.0,7216.666666666667,-283.33333333333303,0.5576923076923077,0.46153846153846156,0.15000000000000002,0.11666666666666665
6,Resource-cost,0.9250000000000002,0.9250000000000002,0.0,7500.0,7500.0,0.0,0.21153846153846154,0.19230769230769232,0.15000000000000002,0.15000000000000002
6,Teacher,0.9250000000000002,0.9371158798542808,0.012115879854280642,7500.0,6791.666666666667,-708.333333333333,0.75,0.5961538461538461,0.15000000000000002,0.06666666666666667
7,No grouping,0.9249999999999999,0.9249999999999999,0.0,7500.0,7500.0,0.0,0.2,0.18,0.15,0.15
7,CQI k-means,0.9249999999999999,0.9250000000000002,2.220446049250313e-16,7500.0,7500.0,0.0,0.58,0.52,0.15,0.15
7,Resource-cost,0.9249999999999999,0.9274231759708561,0.002423175970856173,7500.0,7358.333333333333,-141.66666666666697,0.38,0.32,0.15,0.13333333333333333
7,Teacher,0.9249999999999999,0.9371158798542808,0.012115879854280864,7500.0,6791.666666666667,-708.333333333333,0.76,0.6,0.15,0.06666666666666667
8,No grouping,0.875,0.875,0.0,7500.0,7500.0,0.0,0.24444444444444444,0.2222222222222222,0.25,0.25
8,CQI k-means,0.875,0.889539055825137,0.014539055825137037,7500.0,6650.0,-850.0,0.6666666666666666,0.5555555555555556,0.25,0.15
8,Resource-cost,0.875,0.8849882690127511,0.009988269012751072,7500.0,5941.666666666667,-1558.333333333333,0.4666666666666667,0.37777777777777777,0.25,0.09999999999999999
8,Teacher,0.875,0.8992317597085616,0.024231759708561618,7500.0,6083.333333333333,-1416.666666666667,0.8666666666666667,0.6888888888888889,0.25,0.08333333333333333
9,No grouping,0.85,0.85,0.0,7500.0,7500.0,0.0,0.28205128205128205,0.2564102564102564,0.3,0.3
9,CQI k-means,0.85,0.864539055825137,0.014539055825137037,7500.0,6650.0,-850.0,0.7692307692307693,0.5897435897435898,0.3,0.20000000000000004
9,Resource-cost,0.85,0.85,0.0,7500.0,7500.0,0.0,0.28205128205128205,0.2564102564102564,0.3,0.3
9,Teacher,0.8489119243752853,0.8693854077668491,0.02047348339156385,5666.666666666667,6366.666666666667,700.0,0.9743589743589743,0.9487179487179487,0.11666666666666665,0.1666666666666667
10,No grouping,0.8750000000000001,0.8750000000000001,0.0,7500.0,7500.0,0.0,0.2916666666666667,0.2708333333333333,0.25000000000000006,0.25000000000000006
10,CQI k-means,0.8750000000000001,0.8798463519417123,0.004846351941712235,7500.0,7216.666666666667,-283.33333333333303,0.9583333333333334,0.8125,0.25000000000000006,0.2166666666666667
10,Resource-cost,0.8750000000000001,0.8822695279125686,0.007269527912568519,7500.0,7075.0,-425.0,0.7291666666666666,0.625,0.25000000000000006,0.20000000000000004
10,Teacher,0.891962231795993,0.8919622317959931,1.1102230246251565e-16,6508.333333333333,6508.333333333333,0.0,1.0,0.8958333333333334,0.13333333333333333,0.13333333333333333
11,No grouping,0.4226030583591543,0.4226030583591543,0.0,1500.0,1500.0,0.0,0.8679245283018868,0.8679245283018868,0.26666666666666666,0.26666666666666666
11,CQI k-means,0.6287941981222535,0.6287941981222533,-1.1102230246251565e-16,5041.666666666667,5041.666666666667,0.0,1.0,0.9622641509433962,0.25,0.25
11,Resource-cost,0.6872435201276379,0.6872435201276379,0.0,5420.833333333333,5420.833333333333,0.0,0.9811320754716981,0.9622641509433962,0.2833333333333334,0.2833333333333334
11,Teacher,0.6872435201276379,0.6961075411590366,0.008864021031398717,5420.833333333333,4662.5,-758.333333333333,0.7169811320754716,0.9622641509433962,0.2833333333333334,0.26666666666666666
12,No grouping,0.638850844750685,0.638850844750685,0.0,3000.0,3000.0,0.0,0.8461538461538461,0.8461538461538461,0.21666666666666667,0.21666666666666667
