cqi_range_bucket,scenario_count,multi_group_count,multi_group_ratio,mean_teacher_group_count,mean_teacher_gain_vs_single,max_teacher_gain_vs_single
0,164,0,0.0,1.0,0.0,0.0
1,314,0,0.0,1.0,7.071484233281252e-19,2.220446049250313e-16
2,171,0,0.0,1.0,-3.895519384649672e-18,2.220446049250313e-16
3+,181,9,0.049723756906077346,1.0497237569060773,0.0013418991911236413,0.05715940214371451
