scenario_id,timestamp_s,ue_id_a,ue_id_b,cqi_a,cqi_b,cqi_gap,mean_profile_gap_kbps,max_profile_gap_kbps,ambiguous_pair
simu5g_00000125,7.6,15,31,15,15,0.000000,20.480000,352.000000,1
simu5g_00000126,7.6,0,1,14,12,2.000000,209.920000,792.000000,0
simu5g_00000127,7.7,15,31,15,15,0.000000,26.240000,320.000000,1
simu5g_00000128,7.7,0,1,14,12,2.000000,209.920000,792.000000,0
simu5g_00000129,7.8,15,31,15,14,1.000000,90.560000,600.000000,0
simu5g_00000130,7.8,0,1,14,12,2.000000,209.920000,792.000000,0
simu5g_00000131,7.9,15,31,15,14,1.000000,84.800000,600.000000,0
simu5g_00000132,7.9,0,1,14,12,2.000000,209.920000,792.000000,0
simu5g_00000133,8.0,15,31,15,14,1.000000,84.800000,600.000000,0
simu5g_00000134,8.0,0,1,14,13,1.000000,103.360000,552.000000,0
simu5g_00000135,8.1,15,31,15,14,1.000000,84.800000,600.000000,0
simu5g_00000136,8.1,0,1,14,13,1.000000,103.360000,552.000000,0
simu5g_00000137,8.2,15,31,15,14,1.000000,84.800000,600.000000,0
simu5g_00000138,8.2,0,1,14,13,1.000000,103.360000,552.000000,0
simu5g_00000139,8.3,15,31,15,14,1.000000,84.800000,600.000000,0
simu5g_00000140,8.3,0,1,14,13,1.000000,103.360000,552.000000,0
simu5g_00000141,8.4,15,31,15,14,1.000000,84.800000,600.000000,0
simu5g_00000142,8.4,0,1,14,13,1.000000,103.360000,552.000000,0
simu5g_00000143,8.5,15,31,15,14,1.000000,40.000000,424.000000,0
simu5g_00000144,8.5,0,1,14,13,1.000000,103.360000,552.000000,0
simu5g_00000145,8.6,15,31,15,14,1.000000,40.000000,424.000000,0
simu5g_00000146,8.6,0,1,14,13,1.000000,103.360000,552.000000,0
simu5g_00000147,8.7,15,31,15,14,1.000000,40.000000,424.000000,0
simu5g_00000148,8.7,0,1,14,14,0.000000,102.080000,552.000000,1
simu5g_00000149,8.8,15,31,14,14,0.000000,59.520000,552.000000,1
simu5g_00000150,8.8,0,1,14,14,0.000000,102.080000,552.000000,1
simu5g_00000151,8.9,15,31,14,14,0.000000,59.520000,552.000000,1
simu5g_00000152,8.9,0,1,14,14,0.000000,102.080000,552.000000,1
simu5g_00000153,9.0,15,31,14,14,0.000000,59.520000,552.000000,1
simu5g_00000154,9.0,0,1,14,14,0.000000,102.080000,552.000000,1
simu5g_00000155,9.1,15,31,14,15,1.000000,45.760000,552.000000,0
simu5g_00000156,9.1,0,1,14,14,0.000000,102.080000,552.000000,1
simu5g_00000157,9.2,15,31,14,15,1.000000,41.920000,456.000000,0
simu5g_00000158,9.2,0,1,14,14,0.000000,67.200000,352.000000,1
simu5g_00000159,9.3,15,31,14,15,1.000000,41.920000,456.000000,0
simu5g_00000160,9.3,0,1,14,14,0.000000,67.200000,352.000000,1
simu5g_00000161,9.4,15,31,14,15,1.000000,43.200000,456.000000,0
simu5g_00000162,9.4,0,1,14,14,0.000000,67.200000,352.000000,1
simu5g_00000163,9.5,15,31,14,15,1.000000,41.920000,456.000000,0
simu5g_00000164,9.5,0,1,14,14,0.000000,67.200000,352.000000,1
simu5g_00000165,9.6,15,31,14,15,1.000000,41.920000,456.000000,0
simu5g_00000166,9.6,0,1,14,14,0.000000,67.200000,352.000000,1
simu5g_00000167,9.7,15,31,14,15,1.000000,42.560000,456.000000,0
simu5g_00000168,9.7,0,1,14,14,0.000000,67.200000,352.000000,1
simu5g_00000169,9.8,15,31,14,15,1.000000,27.520000,352.000000,0
simu5g_00000170,9.8,0,1,14,14,0.000000,71.360000,424.000000,1
simu5g_00000171,9.9,15,31,14,15,1.000000,27.520000,352.000000,0
simu5g_00000172,9.9,0,1,14,14,0.000000,71.360000,424.000000,1
simu5g_00000173,10.0,15,31,14,15,1.000000,27.520000,352.000000,0
simu5g_00000174,10.0,0,1,14,14,0.000000,72.640000,424.000000,1
simu5g_00000175,10.1,15,31,14,15,1.000000,27.520000,352.000000,0
simu5g_00000176,10.1,0,1,14,14,0.000000,72.640000,424.000000,1
simu5g_00000177,10.2,15,31,14,15,1.000000,27.520000,352.000000,0
simu5g_00000178,10.2,0,1,14,13,1.000000,131.200000,632.000000,0
simu5g_00000178,10.2,0,2,14,15,1.000000,37.440000,456.000000,0
simu5g_00000178,10.2,1,2,13,15,2.000000,137.280000,632.000000,0
simu5g_00000179,10.3,15,31,14,15,1.000000,27.520000,352.000000,0
simu5g_00000180,10.3,0,1,14,13,1.000000,131.200000,632.000000,0
simu5g_00000180,10.3,0,2,14,15,1.000000,37.440000,456.000000,0
simu5g_00000180,10.3,1,2,13,15,2.000000,137.280000,632.000000,0
simu5g_00000181,10.4,15,31,14,15,1.000000,27.520000,352.000000,0
simu5g_00000182,10.4,0,1,14,13,1.000000,131.200000,632.000000,0
simu5g_00000182,10.4,0,2,14,15,1.000000,37.440000,456.000000,0
simu5g_00000182,10.4,1,2,13,15,2.000000,137.280000,632.000000,0
simu5g_00000183,10.5,15,31,15,15,0.000000,21.760000,352.000000,1
simu5g_00000184,10.5,0,1,14,13,1.000000,131.200000,632.000000,0
simu5g_00000184,10.5,0,2,14,15,1.000000,37.440000,456.000000,0
simu5g_00000184,10.5,1,2,13,15,2.000000,137.280000,632.000000,0
