quality_range_bucket,scenario_count,multi_group_count,multi_group_ratio,mean_teacher_group_count,mean_teacher_gain_vs_single,max_teacher_gain_vs_single
0,597,3,0.005025125628140704,1.0050251256281406,0.00028723317660158103,0.05715940214371462
1,200,6,0.03,1.03,0.0003570277358111701,0.011900924527038947
2,2,0,0.0,1.0,0.0,0.0
3+,31,17,0.5483870967741935,1.5483870967741935,0.014684560585092881,0.09440267226723498
