quality_mean_bucket,scenario_count,multi_group_count,multi_group_ratio,mean_teacher_group_count,mean_teacher_gain_vs_single,max_teacher_gain_vs_single
"high[3,4)",269,21,0.07806691449814127,1.0780669144981412,0.006202552339334748,0.07945174187052606
low(<2),310,9,0.02903225806451613,1.0290322580645161,0.000783495979333477,0.05715940214371462
"mid[2,3)",251,10,0.0398406374501992,1.0398406374501992,0.00028733986361025526,0.007212230576617407
