dispersion,load,method,mean_utility,std_utility_across_seeds,mean_diff_vs_cqi,diff_vs_cqi_ci95_low,diff_vs_cqi_ci95_high,seeds_win_vs_cqi,seeds_tie_vs_cqi,seeds_loss_vs_cqi,mean_diff_vs_2way,diff_vs_2way_ci95_low,diff_vs_2way_ci95_high,seeds_win_vs_2way,seeds_tie_vs_2way,seeds_loss_vs_2way,mean_adr_kbps,mean_served_ratio,mean_average_quality,mean_system_spectral_efficiency,mean_fairness,mean_avg_switching,mean_quality_switch_rate,mean_quality_change_levels,mean_pairwise_group_churn,mean_groups
mid,light,CQI+cost 2-way union,0.7169096461844766,0.007394106575185089,0.02388415125975112,0.014946866241966316,0.03398648150192333,10,0,0,0.0,0.0,0.0,0,10,0,3077.127976190476,1.0,2.975892857142857,34.19031084656084,0.9656135187769216,0.04470238095238095,0.16577380952380952,0.22351190476190474,0.1721790890269151,1.542857142857143
mid,light,CQI+cost+switching 3-way union,0.716813787409445,0.0073080477750470454,0.023788292484719465,0.013737913476652326,0.03417624172358497,9,0,1,-9.585877503165419e-05,-0.0035926247840016813,0.0025049623329490454,5,4,1,3194.21130952381,1.0,2.99672619047619,35.491236772486765,0.9491570836527691,0.049702380952380956,0.175,0.24851190476190474,0.1791407867494824,1.607142857142857
mid,medium,CQI k-means,0.5186899397244118,0.017466362324206827,0.0,0.0,0.0,0,10,0,-0.023461127700432644,-0.03355177291722959,-0.016148501466010438,0,0,10,1723.8839285714287,0.9994047619047619,2.0816899585921322,38.30853174603174,0.9197249218403899,0.07607142857142858,0.28124999999999994,0.38035714285714284,0.24174430641821948,1.5214285714285716
mid,medium,CQI+cost 2-way union,0.5421510674248444,0.006974159878989756,0.023461127700432644,0.015996308431642032,0.03344628705978912,10,0,0,0.0,0.0,0.0,0,10,0,1674.4642857142856,0.9988095238095237,2.0898809523809527,37.210317460317455,0.9643842204468731,0.043750000000000004,0.1773809523809524,0.21875,0.1421583850931677,1.4499999999999997
mid,medium,CQI+cost+switching 3-way union,0.5437121297079451,0.010139818845685971,0.025022189983533377,0.0158142538597587,0.03649011895640174,10,0,0,0.0015610622831007336,-0.0009114563521446795,0.005452731497506913,2,7,1,1735.1190476190473,0.9985119047619048,2.1166666666666663,38.55820105820106,0.9510135224284554,0.044702380952380966,0.16369047619047622,0.2235119047619048,0.14396997929606623,1.4857142857142855
mid,heavy,CQI k-means,0.2615381277317479,0.009000210615300711,0.0,0.0,0.0,0,10,0,-0.0026781885699109164,-0.0053661701551889485,-0.00042777952361982565,0,6,4,537.172619047619,0.9994047619047619,0.9641951345755693,35.811507936507944,0.98564501853088,0.0125,0.06250000000000001,0.06250000000000001,0.11961697722567288,1.2142857142857142
mid,heavy,CQI+cost 2-way union,0.26421631630165887,0.008335713109790421,0.0026781885699109164,0.00042777952361982565,0.005508763329728872,4,6,0,0.0,0.0,0.0,0,10,0,539.6130952380952,0.9991071428571429,0.9717261904761905,35.97420634920636,0.9881965660556192,0.00994047619047619,0.049702380952380956,0.049702380952380956,0.12080745341614907,1.292857142857143
mid,heavy,CQI+cost+switching 3-way union,0.26433536392070645,0.008073515526737289,0.0027972361889585353,0.0005952380952381319,0.005482960949725035,5,5,0,0.00011904761904761863,0.0,0.0003571428571428559,1,9,0,539.6130952380952,0.9991071428571429,0.9717261904761905,35.97420634920636,0.9881965660556192,0.009702380952380952,0.048511904761904756,0.048511904761904756,0.11873706004140787,1.3
high,light,CQI k-means,0.3756630316460509,0.0244537577657275,0.0,0.0,0.0,0,10,0,-0.033091950902910436,-0.03998107967882759,-0.02552850542881643,0,0,10,1312.842261904762,0.9994047619047619,1.6423007246376813,14.587136243386244,0.7571081850717924,0.13089285714285717,0.5223214285714286,0.6544642857142858,0.4368788819875776,2.571428571428571
high,light,CQI+cost 2-way union,0.40875498254896137,0.019633824530636498,0.033091950902910436,0.02561052217710473,0.04006487754762897,10,0,0,0.0,0.0,0.0,0,10,0,1236.1458333333333,0.9991071428571429,1.6512939958592132,13.734953703703704,0.8398173223072322,0.08857142857142856,0.38125000000000003,0.4428571428571428,0.4250517598343685,2.414285714285714
high,light,CQI+cost+switching 3-way union,0.40972175317998555,0.021351521378134387,0.034058721533934556,0.026140246309359398,0.041669823059969004,10,0,0,0.000966770631024122,-0.001200635651977476,0.0032641405399017475,5,1,4,1241.7261904761904,0.9994047619047619,1.6501035196687373,13.79695767195767,0.8359169464544953,0.08630952380952381,0.38184523809523807,0.43154761904761907,0.37631987577639747,2.3571428571428568
high,medium,CQI k-means,0.1949946269447332,0.03400788397090759,0.0,0.0,0.0,0,10,0,-0.016631850247570565,-0.0266640132147192,-0.009064073953316341,0,0,10,660.7291666666667,0.9988095238095237,0.9117388951628083,14.68287037037037,0.8004680420609646,0.11238095238095239,0.4625,0.5619047619047619,0.45574534161490676,2.1714285714285713
high,medium,CQI+cost 2-way union,0.21162647719230376,0.027103258377323417,0.016631850247570565,0.009010757835833794,0.026754232607342134,10,0,0,0.0,0.0,0.0,0,10,0,722.4255952380952,0.9919642857142857,1.0211069210292814,16.053902116402117,0.8018987258933065,0.10767857142857144,0.44077380952380957,0.5383928571428572,0.44345238095238093,2.25
high,medium,CQI+cost+switching 3-way union,0.21465358170182808,0.025587273512323188,0.019658954757094834,0.011457115532435874,0.03115031803342069,10,0,0,0.00302710450952427,0.0008070637504527005,0.005415124023443907,6,2,2,729.3154761904761,0.9922619047619048,1.019916444838805,16.207010582010586,0.7877816937725596,0.10226190476190478,0.41547619047619044,0.5113095238095238,0.40936853002070395,2.2642857142857142
high,heavy,CQI k-means,-0.13894734145873527,0.07619883352342263,0.0,0.0,0.0,0,10,0,-0.03891089969113985,-0.0499806447052549,-0.026520689276152292,0,1,9,233.79464285714283,0.9205357142857142,0.1866366101976788,15.586309523809527,0.8749836682307363,0.03928571428571429,0.19642857142857145,0.19642857142857145,0.3227225672877847,1.6857142857142857
high,heavy,CQI+cost 2-way union,-0.10003644176759541,0.06976390356845605,0.03891089969113985,0.02661696662849516,0.04989078572377121,9,1,0,0.0,0.0,0.0,0,10,0,224.27083333333334,0.94375,0.12839252443921884,14.951388888888891,0.9154879236913229,0.03172619047619048,0.15863095238095237,0.15863095238095237,0.2932194616977226,1.6857142857142857
high,heavy,CQI+cost+switching 3-way union,-0.09816501843369294,0.06650773926750012,0.040782323025042325,0.027374622954168818,0.05367706522379964,9,1,0,0.001871423333902464,0.0,0.005614270001707391,1,9,0,223.57142857142858,0.9449404761904763,0.12517823872493314,14.904761904761907,0.9178197042296252,0.03125,0.15625,0.15625,0.290424430641822,1.6785714285714284
