mobility_schema_version,scenario_id,timestamp_s,serving_gnb,user_count
1.0,sumo_coupled_00000113,11.5,gnb_2,4
1.0,sumo_coupled_00000114,11.6,gnb_2,4
1.0,sumo_coupled_00000115,11.7,gnb_2,4
1.0,sumo_coupled_00000116,11.8,gnb_2,4
1.0,sumo_coupled_00000117,11.9,gnb_2,4
1.0,sumo_coupled_00000118,12,gnb_2,4
1.0,sumo_coupled_00000119,12.1,gnb_2,4
1.0,sumo_coupled_00000120,12.2,gnb_2,4
1.0,sumo_coupled_00000121,12.3,gnb_2,4
1.0,sumo_coupled_00000122,12.4,gnb_2,4
1.0,sumo_coupled_00000123,12.5,gnb_2,4
1.0,sumo_coupled_00000124,12.6,gnb_2,4
1.0,sumo_coupled_00000125,12.7,gnb_2,4
1.0,sumo_coupled_00000126,12.8,gnb_2,4
1.0,sumo_coupled_00000127,12.9,gnb_2,4
1.0,sumo_coupled_00000128,13,gnb_2,4
1.0,sumo_coupled_00000129,13.1,gnb_2,4
1.0,sumo_coupled_00000130,13.2,gnb_2,4
1.0,sumo_coupled_00000131,13.3,gnb_2,4
1.0,sumo_coupled_00000132,13.4,gnb_2,4
1.0,sumo_coupled_00000133,13.5,gnb_2,4
1.0,sumo_coupled_00000134,13.6,gnb_2,4
1.0,sumo_coupled_00000135,13.7,gnb_2,4
1.0,sumo_coupled_00000136,13.8,gnb_2,5
1.0,sumo_coupled_00000137,13.9,gnb_2,5
1.0,sumo_coupled_00000138,14,gnb_2,5
1.0,sumo_coupled_00000139,14.1,gnb_2,5
1.0,sumo_coupled_00000140,14.2,gnb_2,5
1.0,sumo_coupled_00000141,14.3,gnb_2,5
1.0,sumo_coupled_00000142,14.4,gnb_2,5
1.0,sumo_coupled_00000143,14.5,gnb_2,5
1.0,sumo_coupled_00000144,14.6,gnb_2,5
1.0,sumo_coupled_00000145,14.7,gnb_2,5
1.0,sumo_coupled_00000146,14.8,gnb_2,5
1.0,sumo_coupled_00000147,14.9,gnb_2,5
1.0,sumo_coupled_00000148,15,gnb_2,5
1.0,sumo_coupled_00000149,15.1,gnb_2,5
1.0,sumo_coupled_00000150,15.2,gnb_2,5
1.0,sumo_coupled_00000151,15.3,gnb_2,5
1.0,sumo_coupled_00000152,15.4,gnb_2,5
1.0,sumo_coupled_00000153,15.5,gnb_2,5
1.0,sumo_coupled_00000154,15.6,gnb_2,5
1.0,sumo_coupled_00000155,15.7,gnb_2,5
1.0,sumo_coupled_00000156,15.8,gnb_2,5
1.0,sumo_coupled_00000157,15.9,gnb_2,5
1.0,sumo_coupled_00000158,16,gnb_2,5
1.0,sumo_coupled_00000159,16.1,gnb_2,5
1.0,sumo_coupled_00000160,16.2,gnb_2,5
1.0,sumo_coupled_00000161,16.3,gnb_2,5
1.0,sumo_coupled_00000162,16.4,gnb_2,5
1.0,sumo_coupled_00000163,16.5,gnb_2,5
1.0,sumo_coupled_00000164,16.6,gnb_2,5
1.0,sumo_coupled_00000165,16.7,gnb_2,5
1.0,sumo_coupled_00000166,16.8,gnb_2,5
1.0,sumo_coupled_00000167,16.9,gnb_2,5
1.0,sumo_coupled_00000168,17,gnb_2,5
1.0,sumo_coupled_00000169,17.1,gnb_2,5
1.0,sumo_coupled_00000170,17.2,gnb_2,5
1.0,sumo_coupled_00000171,17.3,gnb_2,5
1.0,sumo_coupled_00000172,17.4,gnb_2,5
1.0,sumo_coupled_00000173,17.5,gnb_2,5
1.0,sumo_coupled_00000174,17.6,gnb_2,5
1.0,sumo_coupled_00000175,17.7,gnb_2,5
1.0,sumo_coupled_00000176,17.8,gnb_2,5
1.0,sumo_coupled_00000177,17.9,gnb_2,5
1.0,sumo_coupled_00000178,18,gnb_2,5
1.0,sumo_coupled_00000179,18.1,gnb_2,5
1.0,sumo_coupled_00000180,18.2,gnb_2,5
1.0,sumo_coupled_00000181,18.3,gnb_2,5
1.0,sumo_coupled_00000182,18.4,gnb_2,5
1.0,sumo_coupled_00000183,18.5,gnb_2,5
1.0,sumo_coupled_00000184,18.6,gnb_2,5
1.0,sumo_coupled_00000185,18.7,gnb_2,6
1.0,sumo_coupled_00000186,18.8,gnb_2,6
1.0,sumo_coupled_00000187,18.9,gnb_2,6
1.0,sumo_coupled_00000188,19,gnb_2,6
1.0,sumo_coupled_00000189,19.1,gnb_2,6
1.0,sumo_coupled_00000190,19.2,gnb_2,6
1.0,sumo_coupled_00000191,19.3,gnb_1,1
1.0,sumo_coupled_00000192,19.3,gnb_2,5
1.0,sumo_coupled_00000193,19.4,gnb_1,1
1.0,sumo_coupled_00000194,19.4,gnb_2,5
1.0,sumo_coupled_00000195,19.5,gnb_1,1
1.0,sumo_coupled_00000196,19.5,gnb_2,5
1.0,sumo_coupled_00000197,19.6,gnb_1,1
1.0,sumo_coupled_00000198,19.6,gnb_2,5
1.0,sumo_coupled_00000199,19.7,gnb_1,1
1.0,sumo_coupled_00000200,19.7,gnb_2,5
1.0,sumo_coupled_00000201,19.8,gnb_1,1
1.0,sumo_coupled_00000202,19.8,gnb_2,5
1.0,sumo_coupled_00000203,19.9,gnb_1,1
1.0,sumo_coupled_00000204,19.9,gnb_2,5
1.0,sumo_coupled_00000205,20,gnb_1,1
1.0,sumo_coupled_00000206,20,gnb_2,5
1.0,sumo_coupled_00000207,20.1,gnb_1,1
1.0,sumo_coupled_00000208,20.1,gnb_2,5
1.0,sumo_coupled_00000209,20.2,gnb_1,1
1.0,sumo_coupled_00000210,20.2,gnb_2,5
1.0,sumo_coupled_00000211,20.3,gnb_1,1
1.0,sumo_coupled_00000212,20.3,gnb_2,5
1.0,sumo_coupled_00000213,20.4,gnb_1,1
1.0,sumo_coupled_00000214,20.4,gnb_2,5
1.0,sumo_coupled_00000215,20.5,gnb_1,1
1.0,sumo_coupled_00000216,20.5,gnb_2,5
1.0,sumo_coupled_00000217,20.6,gnb_1,1
1.0,sumo_coupled_00000218,20.6,gnb_2,5
1.0,sumo_coupled_00000219,20.7,gnb_1,1
1.0,sumo_coupled_00000220,20.7,gnb_2,5
1.0,sumo_coupled_00000221,20.8,gnb_1,1
1.0,sumo_coupled_00000222,20.8,gnb_2,5
1.0,sumo_coupled_00000223,20.9,gnb_1,1
1.0,sumo_coupled_00000224,20.9,gnb_2,5
1.0,sumo_coupled_00000225,21,gnb_1,1
1.0,sumo_coupled_00000226,21,gnb_2,5
1.0,sumo_coupled_00000227,21.1,gnb_1,1
1.0,sumo_coupled_00000228,21.1,gnb_2,5
1.0,sumo_coupled_00000229,21.2,gnb_1,1
1.0,sumo_coupled_00000230,21.2,gnb_2,5
1.0,sumo_coupled_00000231,21.3,gnb_1,1
1.0,sumo_coupled_00000232,21.3,gnb_2,5
1.0,sumo_coupled_00000233,21.4,gnb_1,1
1.0,sumo_coupled_00000234,21.4,gnb_2,5
1.0,sumo_coupled_00000235,21.5,gnb_1,1
1.0,sumo_coupled_00000236,21.5,gnb_2,5
1.0,sumo_coupled_00000237,21.6,gnb_1,1
1.0,sumo_coupled_00000238,21.6,gnb_2,5
1.0,sumo_coupled_00000239,21.7,gnb_1,1
1.0,sumo_coupled_00000240,21.7,gnb_2,5
1.0,sumo_coupled_00000241,21.8,gnb_1,1
1.0,sumo_coupled_00000242,21.8,gnb_2,5
1.0,sumo_coupled_00000243,21.9,gnb_1,1
1.0,sumo_coupled_00000244,21.9,gnb_2,5
1.0,sumo_coupled_00000245,22,gnb_1,1
1.0,sumo_coupled_00000246,22,gnb_2,5
1.0,sumo_coupled_00000247,22.1,gnb_1,1
1.0,sumo_coupled_00000248,22.1,gnb_2,5
1.0,sumo_coupled_00000249,22.2,gnb_1,1
1.0,sumo_coupled_00000250,22.2,gnb_2,5
1.0,sumo_coupled_00000251,22.3,gnb_1,1
1.0,sumo_coupled_00000252,22.3,gnb_2,5
1.0,sumo_coupled_00000253,22.4,gnb_1,1
1.0,sumo_coupled_00000254,22.4,gnb_2,5
1.0,sumo_coupled_00000255,22.5,gnb_1,1
1.0,sumo_coupled_00000256,22.5,gnb_2,5
1.0,sumo_coupled_00000257,22.6,gnb_1,1
1.0,sumo_coupled_00000258,22.6,gnb_2,5
1.0,sumo_coupled_00000259,22.7,gnb_1,1
1.0,sumo_coupled_00000260,22.7,gnb_2,5
1.0,sumo_coupled_00000261,22.8,gnb_1,1
1.0,sumo_coupled_00000262,22.8,gnb_2,5
1.0,sumo_coupled_00000263,22.9,gnb_1,1
1.0,sumo_coupled_00000264,22.9,gnb_2,5
1.0,sumo_coupled_00000265,23,gnb_1,1
1.0,sumo_coupled_00000266,23,gnb_2,5
1.0,sumo_coupled_00000267,23.1,gnb_1,1
1.0,sumo_coupled_00000268,23.1,gnb_2,5
1.0,sumo_coupled_00000269,23.2,gnb_1,1
1.0,sumo_coupled_00000270,23.2,gnb_2,5
1.0,sumo_coupled_00000271,23.3,gnb_1,1
1.0,sumo_coupled_00000272,23.3,gnb_2,5
1.0,sumo_coupled_00000273,23.4,gnb_1,1
1.0,sumo_coupled_00000274,23.4,gnb_2,5
1.0,sumo_coupled_00000275,23.5,gnb_1,2
1.0,sumo_coupled_00000276,23.5,gnb_2,4
1.0,sumo_coupled_00000277,23.6,gnb_1,2
1.0,sumo_coupled_00000278,23.6,gnb_2,4
1.0,sumo_coupled_00000279,23.7,gnb_1,2
1.0,sumo_coupled_00000280,23.7,gnb_2,4
1.0,sumo_coupled_00000281,23.8,gnb_1,2
1.0,sumo_coupled_00000282,23.8,gnb_2,4
1.0,sumo_coupled_00000283,23.9,gnb_1,2
1.0,sumo_coupled_00000284,23.9,gnb_2,4
1.0,sumo_coupled_00000285,24,gnb_1,2
1.0,sumo_coupled_00000286,24,gnb_2,4
1.0,sumo_coupled_00000287,24.1,gnb_1,2
1.0,sumo_coupled_00000288,24.1,gnb_2,4
1.0,sumo_coupled_00000289,24.2,gnb_1,2
1.0,sumo_coupled_00000290,24.2,gnb_2,4
1.0,sumo_coupled_00000291,24.3,gnb_1,2
1.0,sumo_coupled_00000292,24.3,gnb_2,4
1.0,sumo_coupled_00000293,24.4,gnb_1,2
1.0,sumo_coupled_00000294,24.4,gnb_2,4
1.0,sumo_coupled_00000295,24.5,gnb_1,2
1.0,sumo_coupled_00000296,24.5,gnb_2,5
1.0,sumo_coupled_00000297,24.6,gnb_1,2
1.0,sumo_coupled_00000298,24.6,gnb_2,5
1.0,sumo_coupled_00000299,24.7,gnb_1,2
1.0,sumo_coupled_00000300,24.7,gnb_2,5
1.0,sumo_coupled_00000301,24.8,gnb_1,2
1.0,sumo_coupled_00000302,24.8,gnb_2,5
1.0,sumo_coupled_00000303,24.9,gnb_1,2
1.0,sumo_coupled_00000304,24.9,gnb_2,5
1.0,sumo_coupled_00000305,25,gnb_1,2
1.0,sumo_coupled_00000306,25,gnb_2,5
1.0,sumo_coupled_00000307,25.1,gnb_1,2
1.0,sumo_coupled_00000308,25.1,gnb_2,5
1.0,sumo_coupled_00000309,25.2,gnb_1,2
1.0,sumo_coupled_00000310,25.2,gnb_2,5
1.0,sumo_coupled_00000311,25.3,gnb_1,2
1.0,sumo_coupled_00000312,25.3,gnb_2,5
