dispersion,load,method,mean_utility,mean_diff_vs_cqi,diff_vs_cqi_ci95_low,diff_vs_cqi_ci95_high,seeds_win_vs_cqi,seeds_tie_vs_cqi,seeds_loss_vs_cqi,mean_diff_vs_switching3way,diff_vs_switching3way_ci95_low,diff_vs_switching3way_ci95_high,seeds_win_vs_switching3way,seeds_tie_vs_switching3way,seeds_loss_vs_switching3way
high,light,CQI+cost+regret-graph 3-way union,0.4201832461200322,0.04452021447398123,0.03552033835382228,0.05467397371783672,10,0,0,0.010461492940046674,0.0047418895155477946,0.0164230673265119,9,0,1
high,light,CQI+cost+switching+regret-graph 4-way union,0.42041268039777957,0.044749648751728655,0.0364918543373477,0.052774272610899745,10,0,0,0.0106909272177941,0.006228777329371018,0.015389112978323452,10,0,0
high,medium,CQI k-means,0.1949946269447332,0.0,0.0,0.0,0,10,0,-0.019658954757094834,-0.031071556020139498,-0.011477131246630872,0,0,10
high,medium,CQI+cost 2-way union,0.21162647719230376,0.016631850247570565,0.008982133325920414,0.026577819036757943,10,0,0,-0.00302710450952427,-0.00538113502166274,-0.0008292806618470519,2,2,6
high,medium,CQI+cost+switching 3-way union,0.21465358170182808,0.019658954757094834,0.011411544873449394,0.03124489814263927,10,0,0,0.0,0.0,0.0,0,10,0
high,medium,CQI+cost+regret-graph 3-way union,0.23643252293264078,0.041437895987907564,0.02978935186806318,0.054698404628688364,10,0,0,0.021778941230812726,0.014457119054580228,0.029128625798143338,10,0,0
high,medium,CQI+cost+switching+regret-graph 4-way union,0.23461353663029585,0.03961890968556264,0.029323241724531508,0.0509933996799164,10,0,0,0.019959954928467798,0.013075898428574454,0.027280607859136802,10,0,0
high,heavy,CQI k-means,-0.13894734145873527,0.0,0.0,0.0,0,10,0,-0.040782323025042325,-0.053587128400896106,-0.027416574250668405,0,1,9
high,heavy,CQI+cost 2-way union,-0.10003644176759541,0.03891089969113985,0.026616688807071336,0.04987837644980518,9,1,0,-0.001871423333902464,-0.005614270001707391,0.0,0,9,1
high,heavy,CQI+cost+switching 3-way union,-0.09816501843369294,0.040782323025042325,0.027250984355074705,0.053334357492856796,9,1,0,0.0,0.0,0.0,0,10,0
high,heavy,CQI+cost+regret-graph 3-way union,-0.054969341439764306,0.08397800001897097,0.05874309858831274,0.107675804093307,10,0,0,0.04319567699392864,0.023571158317705194,0.06678886809023364,10,0,0
high,heavy,CQI+cost+switching+regret-graph 4-way union,-0.05437410334452621,0.08457323811420907,0.05880146954021482,0.10913147231512905,10,0,0,0.043790915089166736,0.02387415571978729,0.06707031631536645,10,0,0
