scenario_mode,load_level,rb_budget_ratio,seed,test_index,kmax,feature_mode,method,pairwise_accuracy,ari,nmi,teacher_groups,predicted_groups,training_loads
ambiguous,medium,0.25,9,2,3,history_cost_quality,Multi-feature k-means,0.4855072463768116,-0.03196587498025177,0.07616191456978497,3,2,light+medium
ambiguous,medium,0.25,9,2,3,history_cost_quality,LE-GRA MVP,0.5181159420289855,0.035117232677951804,0.10752855553990598,3,2,light+medium
ambiguous,medium,0.25,9,3,3,history_cost_quality,Multi-feature k-means,0.7101449275362319,0.42074610420273884,0.48443826032763593,2,2,light+medium
ambiguous,medium,0.25,9,3,3,history_cost_quality,LE-GRA MVP,0.5688405797101449,0.1363206058693594,0.13052556439876054,2,2,light+medium
ambiguous,medium,0.25,9,4,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,3,3,light+medium
ambiguous,medium,0.25,9,4,3,history_cost_quality,LE-GRA MVP,0.8152173913043478,0.601427115188583,0.7290394147377214,3,3,light+medium
ambiguous,medium,0.25,9,5,3,history_cost_quality,Multi-feature k-means,0.6557971014492754,0.0,0.0,2,1,light+medium
ambiguous,medium,0.25,9,5,3,history_cost_quality,LE-GRA MVP,0.6557971014492754,0.0,0.0,2,1,light+medium
ambiguous,medium,0.25,9,6,3,history_cost_quality,Multi-feature k-means,0.6304347826086957,0.24114507520621062,0.4265383288322028,3,3,light+medium
ambiguous,medium,0.25,9,6,3,history_cost_quality,LE-GRA MVP,0.8913043478260869,0.7829847460292498,0.7229716011812306,3,2,light+medium
ambiguous,medium,0.25,9,7,3,history_cost_quality,Multi-feature k-means,0.7101449275362319,0.0,0.0,2,1,light+medium
ambiguous,medium,0.25,9,7,3,history_cost_quality,LE-GRA MVP,0.7101449275362319,0.0,0.0,2,1,light+medium
ambiguous,medium,0.25,9,8,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,1,1,light+medium
ambiguous,medium,0.25,9,8,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,1,1,light+medium
ambiguous,medium,0.25,9,9,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,1,1,light+medium
ambiguous,medium,0.25,9,9,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,1,1,light+medium
ambiguous,medium,0.25,9,10,3,history_cost_quality,Multi-feature k-means,0.7101449275362319,0.4221105527638191,0.47913876749186385,2,2,light+medium
