method,utility,adr_kbps,used_spectral_efficiency,system_spectral_efficiency,served_ratio,unserved_ratio,average_quality,rb_utilization,avg_switching,fairness,avg_groups,selected_epoch,selection_validation_loss,pair_sampling,train_positive_pairs,train_negative_pairs,train_active_negative_ratio,train_mean_negative_distance,scenario_mode,load_level,rb_budget_ratio,kmax,seed,feature_mode,training_loads
No grouping,0.6898701289261754,5015.0,38.74544050090796,13.373333333333335,1.0,0.0,3.75,0.562,0.2579166666666667,1.0,1.0,11,0.19784634501421447,random_balanced,139.9125,114.0875,0.8264316854303949,0.5461529376018552,ambiguous,light,0.5,3,9,history_cost_quality,light+medium
CQI k-means,0.7689148138093833,5645.9375,27.35655441688683,15.05583333333333,1.0,0.0,3.989583333333333,0.716,0.20166666666666666,0.8933488310423737,2.6,11,0.19784634501421447,random_balanced,139.9125,114.0875,0.8264316854303949,0.5461529376018552,ambiguous,light,0.5,3,9,history_cost_quality,light+medium
Resource-cost k-means,0.7815069359936564,6129.375,33.015974758895666,16.345000000000002,1.0,0.0,4.239583333333334,0.69,0.23916666666666667,0.904518017388587,2.2,11,0.19784634501421447,random_balanced,139.9125,114.0875,0.8264316854303949,0.5461529376018552,ambiguous,light,0.5,3,9,history_cost_quality,light+medium
Multi-feature k-means,0.7748747479417781,5905.104166666666,31.70631401871747,15.746944444444443,1.0,0.0,4.158333333333334,0.6579999999999999,0.22541666666666665,0.8849425257682302,2.3,11,0.19784634501421447,random_balanced,139.9125,114.0875,0.8264316854303949,0.5461529376018552,ambiguous,light,0.5,3,9,history_cost_quality,light+medium
Offline teacher,0.7929602354277356,5942.916666666666,21.246924827088367,15.847777777777775,1.0,0.0,4.137500000000001,0.817,0.20875,0.9071010431739795,3.0,11,0.19784634501421447,random_balanced,139.9125,114.0875,0.8264316854303949,0.5461529376018552,ambiguous,light,0.5,3,9,history_cost_quality,light+medium
LE-GRA MVP,0.787421033770433,5638.541666666666,24.391675261380662,15.036111111111111,1.0,0.0,3.9833333333333334,0.72,0.18375,0.8942893735836582,2.55,11,0.19784634501421447,random_balanced,139.9125,114.0875,0.8264316854303949,0.5461529376018552,ambiguous,light,0.5,3,9,history_cost_quality,light+medium
No grouping,0.554212768819211,4495.0,39.375494467406234,23.973333333333336,1.0,0.0,3.3,0.6020000000000001,0.2895833333333333,1.0,1.0,11,0.19784634501421447,random_balanced,139.9125,114.0875,0.8264316854303949,0.5461529376018552,ambiguous,medium,0.25,3,9,history_cost_quality,light+medium
CQI k-means,0.7056160356323988,5323.020833333334,36.2036428266959,28.389444444444443,1.0,0.0,3.7854166666666664,0.8660000000000002,0.21333333333333332,0.8376243528200394,1.95,11,0.19784634501421447,random_balanced,139.9125,114.0875,0.8264316854303949,0.5461529376018552,ambiguous,medium,0.25,3,9,history_cost_quality,light+medium
Resource-cost k-means,0.7166082121520355,5381.875,41.49653977844248,28.70333333333333,1.0,0.0,3.8770833333333328,0.792,0.22333333333333333,0.8989319705348997,1.75,11,0.19784634501421447,random_balanced,139.9125,114.0875,0.8264316854303949,0.5461529376018552,ambiguous,medium,0.25,3,9,history_cost_quality,light+medium
Multi-feature k-means,0.716692312712914,5353.229166666666,38.11294802242372,28.550555555555555,1.0,0.0,3.83125,0.8240000000000002,0.2125,0.8665143574875446,1.85,11,0.19784634501421447,random_balanced,139.9125,114.0875,0.8264316854303949,0.5461529376018552,ambiguous,medium,0.25,3,9,history_cost_quality,light+medium
