dispersion,load,seed,method,mean_utility,n_scenarios
high,light,seed_0001,Exact-regret graph (utility-aware),0.25058459433589314,15
high,light,seed_0001,CQI+cost 2-way union (paper method),0.29952547479812525,15
high,light,seed_0001,CQI+cost+regret-graph 3-way union,0.3037285059832112,15
high,light,seed_0002,CQI k-means,0.2567178420067041,15
high,light,seed_0002,Resource-cost k-means,0.26801408693451795,15
high,light,seed_0002,Full RB-profile k-means,0.2554012977782399,15
high,light,seed_0002,Block RB-profile k-means (5 blocks),0.25700058595902614,15
high,light,seed_0002,Overlap graph (simple similarity),0.19071047636875355,15
high,light,seed_0002,Exact-regret graph (utility-aware),0.2031543233330012,15
high,light,seed_0002,CQI+cost 2-way union (paper method),0.26927231092512555,15
high,light,seed_0002,CQI+cost+regret-graph 3-way union,0.27319535776037684,15
high,light,seed_0003,CQI k-means,0.28591679858032315,15
high,light,seed_0003,Resource-cost k-means,0.2874276066005119,15
high,light,seed_0003,Full RB-profile k-means,0.27348454329739424,15
high,light,seed_0003,Block RB-profile k-means (5 blocks),0.27514547664965644,15
high,light,seed_0003,Overlap graph (simple similarity),0.21822875827093802,15
high,light,seed_0003,Exact-regret graph (utility-aware),0.2792063361763161,15
high,light,seed_0003,CQI+cost 2-way union (paper method),0.29642887299535775,15
high,light,seed_0003,CQI+cost+regret-graph 3-way union,0.30787901355062464,15
high,light,seed_0004,CQI k-means,0.2761601281753829,15
high,light,seed_0004,Resource-cost k-means,0.2860740579183378,15
high,light,seed_0004,Full RB-profile k-means,0.2603556208073138,15
high,light,seed_0004,Block RB-profile k-means (5 blocks),0.26527128372527425,15
high,light,seed_0004,Overlap graph (simple similarity),0.2033886794328375,15
high,light,seed_0004,Exact-regret graph (utility-aware),0.2110385793571021,15
high,light,seed_0004,CQI+cost 2-way union (paper method),0.28945425847953116,15
high,light,seed_0004,CQI+cost+regret-graph 3-way union,0.2903293520427984,15
high,light,seed_0005,CQI k-means,0.2678071023582607,15
high,light,seed_0005,Resource-cost k-means,0.2698613492212639,15
high,light,seed_0005,Full RB-profile k-means,0.25782985816761406,15
high,light,seed_0005,Block RB-profile k-means (5 blocks),0.25659100482877767,15
high,light,seed_0005,Overlap graph (simple similarity),0.19190119255313398,15
high,light,seed_0005,Exact-regret graph (utility-aware),0.2246452444279616,15
high,light,seed_0005,CQI+cost 2-way union (paper method),0.28070734020172367,15
high,light,seed_0005,CQI+cost+regret-graph 3-way union,0.283125057365324,15
high,light,seed_0006,CQI k-means,0.28126319673528644,15
high,light,seed_0006,Resource-cost k-means,0.29055708707207056,15
high,light,seed_0006,Full RB-profile k-means,0.2759133119693115,15
high,light,seed_0006,Block RB-profile k-means (5 blocks),0.27803058380503437,15
high,light,seed_0006,Overlap graph (simple similarity),0.21875173613570958,15
high,light,seed_0006,Exact-regret graph (utility-aware),0.243662096852921,15
high,light,seed_0006,CQI+cost 2-way union (paper method),0.2948223559973889,15
high,light,seed_0006,CQI+cost+regret-graph 3-way union,0.29727187512232106,15
high,light,seed_0007,CQI k-means,0.2821740097622613,15
high,light,seed_0007,Resource-cost k-means,0.2904573471206131,15
high,light,seed_0007,Full RB-profile k-means,0.2786799147090297,15
high,light,seed_0007,Block RB-profile k-means (5 blocks),0.2784264486357199,15
high,light,seed_0007,Overlap graph (simple similarity),0.234580527172956,15
high,light,seed_0007,Exact-regret graph (utility-aware),0.28137454354592467,15
high,light,seed_0007,CQI+cost 2-way union (paper method),0.2970698711370865,15
high,light,seed_0007,CQI+cost+regret-graph 3-way union,0.31192287904226285,15
high,light,seed_0008,CQI k-means,0.2695825227713176,15
high,light,seed_0008,Resource-cost k-means,0.27165273416004376,15
high,light,seed_0008,Full RB-profile k-means,0.2680738681660474,15
high,light,seed_0008,Block RB-profile k-means (5 blocks),0.2711635170077919,15
high,light,seed_0008,Overlap graph (simple similarity),0.21383390618401824,15
high,light,seed_0008,Exact-regret graph (utility-aware),0.23013811688152436,15
high,light,seed_0008,CQI+cost 2-way union (paper method),0.2812004612375389,15
high,light,seed_0008,CQI+cost+regret-graph 3-way union,0.28899017980256037,15
high,light,seed_0009,CQI k-means,0.3003999894114484,15
high,light,seed_0009,Resource-cost k-means,0.3016957831868977,15
high,light,seed_0009,Full RB-profile k-means,0.2894382263801915,15
high,light,seed_0009,Block RB-profile k-means (5 blocks),0.29490086135712873,15
high,light,seed_0009,Overlap graph (simple similarity),0.23979692489376594,15
high,light,seed_0009,Exact-regret graph (utility-aware),0.2893878561774376,15
high,light,seed_0009,CQI+cost 2-way union (paper method),0.30777925842130516,15
high,light,seed_0009,CQI+cost+regret-graph 3-way union,0.3143419760071068,15
high,light,seed_0010,CQI k-means,0.2682612062343738,15
high,light,seed_0010,Resource-cost k-means,0.2787995094509611,15
high,light,seed_0010,Full RB-profile k-means,0.2613217186134981,15
high,light,seed_0010,Block RB-profile k-means (5 blocks),0.2607591985938845,15
high,light,seed_0010,Overlap graph (simple similarity),0.1902977922062413,15
high,light,seed_0010,Exact-regret graph (utility-aware),0.23674021943490378,15
high,light,seed_0010,CQI+cost 2-way union (paper method),0.283127803348999,15
high,light,seed_0010,CQI+cost+regret-graph 3-way union,0.28507978617822516,15
high,medium,seed_0001,CQI k-means,0.18814153548968882,15
high,medium,seed_0001,Resource-cost k-means,0.1767046474707382,15
high,medium,seed_0001,Full RB-profile k-means,0.18081205929169145,15
high,medium,seed_0001,Block RB-profile k-means (5 blocks),0.17633423263033662,15
high,medium,seed_0001,Overlap graph (simple similarity),0.1353107912552569,15
high,medium,seed_0001,Exact-regret graph (utility-aware),0.16103644720319552,15
high,medium,seed_0001,CQI+cost 2-way union (paper method),0.1984880314232546,15
high,medium,seed_0001,CQI+cost+regret-graph 3-way union,0.20046548461822056,15
high,medium,seed_0002,CQI k-means,0.13628184797653217,15
high,medium,seed_0002,Resource-cost k-means,0.12272609484047801,15
high,medium,seed_0002,Full RB-profile k-means,0.1293099794443806,15
high,medium,seed_0002,Block RB-profile k-means (5 blocks),0.12783009134179507,15
high,medium,seed_0002,Overlap graph (simple similarity),0.08357337689409008,15
high,medium,seed_0002,Exact-regret graph (utility-aware),0.12297571982116703,15
high,medium,seed_0002,CQI+cost 2-way union (paper method),0.14076603503015336,15
high,medium,seed_0002,CQI+cost+regret-graph 3-way union,0.15275781806190483,15
high,medium,seed_0003,CQI k-means,0.16771568009774507,15
high,medium,seed_0003,Resource-cost k-means,0.16161809429729307,15
high,medium,seed_0003,Full RB-profile k-means,0.16504990763575605,15
high,medium,seed_0003,Block RB-profile k-means (5 blocks),0.16459053369364826,15
high,medium,seed_0003,Overlap graph (simple similarity),0.12237484756689862,15
high,medium,seed_0003,Exact-regret graph (utility-aware),0.15954383831607724,15
high,medium,seed_0003,CQI+cost 2-way union (paper method),0.17652504439832795,15
high,medium,seed_0003,CQI+cost+regret-graph 3-way union,0.18241282364401246,15
high,medium,seed_0004,CQI k-means,0.15828796084506924,15
high,medium,seed_0004,Resource-cost k-means,0.1500969802932536,15
high,medium,seed_0004,Full RB-profile k-means,0.1572992198492491,15
high,medium,seed_0004,Block RB-profile k-means (5 blocks),0.1523938212071184,15
high,medium,seed_0004,Overlap graph (simple similarity),0.09053888503397532,15
