method,utility,adr_kbps,used_spectral_efficiency,system_spectral_efficiency,served_ratio,unserved_ratio,average_quality,rb_utilization,avg_switching,fairness,avg_groups,selected_epoch,selection_validation_loss,pair_sampling,train_positive_pairs,train_negative_pairs,train_active_negative_ratio,train_mean_negative_distance,scenario_mode,load_level,rb_budget_ratio,kmax,seed
No grouping,0.6898701289261754,5015.0,38.74544050090796,13.373333333333335,1.0,0.0,3.75,0.562,0.2579166666666667,1.0,1.0,8,0.21501181686109744,random_balanced,64.0,63.475,0.855792297979798,0.5794453558082195,ambiguous,light,0.5,3,9
CQI k-means,0.7689148138093833,5645.9375,27.35655441688683,15.05583333333333,1.0,0.0,3.989583333333333,0.716,0.20166666666666666,0.8933488310423737,2.6,8,0.21501181686109744,random_balanced,64.0,63.475,0.855792297979798,0.5794453558082195,ambiguous,light,0.5,3,9
Resource-cost k-means,0.7815069359936564,6129.375,33.015974758895666,16.345000000000002,1.0,0.0,4.239583333333334,0.69,0.23916666666666667,0.904518017388587,2.2,8,0.21501181686109744,random_balanced,64.0,63.475,0.855792297979798,0.5794453558082195,ambiguous,light,0.5,3,9
Multi-feature k-means,0.7748747479417781,5905.104166666666,31.70631401871747,15.746944444444443,1.0,0.0,4.158333333333334,0.6579999999999999,0.22541666666666665,0.8849425257682302,2.3,8,0.21501181686109744,random_balanced,64.0,63.475,0.855792297979798,0.5794453558082195,ambiguous,light,0.5,3,9
Offline teacher,0.7929602354277356,5942.916666666666,21.246924827088367,15.847777777777775,1.0,0.0,4.137500000000001,0.817,0.20875,0.9071010431739795,3.0,8,0.21501181686109744,random_balanced,64.0,63.475,0.855792297979798,0.5794453558082195,ambiguous,light,0.5,3,9
LE-GRA MVP,0.7781791077453639,5923.958333333334,30.029702997176617,15.797222222222226,1.0,0.0,4.110416666666667,0.683,0.21666666666666665,0.8957380569366189,2.15,8,0.21501181686109744,random_balanced,64.0,63.475,0.855792297979798,0.5794453558082195,ambiguous,light,0.5,3,9
No grouping,0.7972755432289418,6150.0,55.90351541622216,16.4,1.0,0.0,4.35,0.42699999999999994,0.22166666666666662,1.0,1.0,12,0.22853997080999977,random_balanced,64.0,63.475,0.8961647727272727,0.5549339527295738,ambiguous,light,0.5,3,17
CQI k-means,0.8293760792720999,6333.958333333334,40.19457028664442,16.890555555555558,1.0,0.0,4.38125,0.5680000000000001,0.18708333333333335,0.9260938796112977,2.25,12,0.22853997080999977,random_balanced,64.0,63.475,0.8961647727272727,0.5549339527295738,ambiguous,light,0.5,3,17
Resource-cost k-means,0.83350167164413,6514.791666666666,37.232729178206554,17.37277777777778,1.0,0.0,4.477083333333333,0.6080000000000001,0.20541666666666666,0.9520926697915082,2.3,12,0.22853997080999977,random_balanced,64.0,63.475,0.8961647727272727,0.5549339527295738,ambiguous,light,0.5,3,17
Multi-feature k-means,0.829965330171128,6422.1875,36.17050329047637,17.125833333333336,1.0,0.0,4.427083333333333,0.594,0.19624999999999998,0.9250318993252524,2.35,12,0.22853997080999977,random_balanced,64.0,63.475,0.8961647727272727,0.5549339527295738,ambiguous,light,0.5,3,17
Offline teacher,0.8438154485151941,6352.708333333334,27.618175184281018,16.940555555555555,1.0,0.0,4.364583333333332,0.688,0.17458333333333337,0.9419523762813709,2.9,12,0.22853997080999977,random_balanced,64.0,63.475,0.8961647727272727,0.5549339527295738,ambiguous,light,0.5,3,17
LE-GRA MVP,0.8333105938997605,6474.479166666666,34.66725314950341,17.26527777777778,1.0,0.0,4.445833333333334,0.6159999999999999,0.19750000000000004,0.9357961429312398,2.35,12,0.22853997080999977,random_balanced,64.0,63.475,0.8961647727272727,0.5549339527295738,ambiguous,light,0.5,3,17
No grouping,0.7812548205760318,6075.0,59.637450812653654,16.2,1.0,0.0,4.3,0.35300000000000004,0.2345833333333333,1.0,1.0,11,0.2031574282885546,random_balanced,64.0,63.025,0.838214172979798,0.6287474184153007,ambiguous,light,0.5,3,23
CQI k-means,0.8383899420679366,6627.916666666666,41.398658037345875,17.674444444444447,1.0,0.0,4.535416666666667,0.5960000000000002,0.21083333333333334,0.9429052391017331,2.3,11,0.2031574282885546,random_balanced,64.0,63.025,0.838214172979798,0.6287474184153007,ambiguous,light,0.5,3,23
Resource-cost k-means,0.8407445782441061,6653.645833333334,43.064426764209394,17.743055555555554,1.0,0.0,4.539583333333334,0.5830000000000001,0.21750000000000003,0.969688196569057,2.1,11,0.2031574282885546,random_balanced,64.0,63.025,0.838214172979798,0.6287474184153007,ambiguous,light,0.5,3,23
Multi-feature k-means,0.8391633179716307,6661.770833333334,42.185185866976006,17.764722222222222,1.0,0.0,4.56875,0.5910000000000001,0.21916666666666665,0.9507403589151764,2.25,11,0.2031574282885546,random_balanced,64.0,63.025,0.838214172979798,0.6287474184153007,ambiguous,light,0.5,3,23
