scenario_mode,load_level,rb_budget_ratio,seed,test_index,kmax,feature_mode,method,pairwise_accuracy,ari,nmi,teacher_groups,predicted_groups
ambiguous,light,0.5,17,5,3,history_cost,Multi-feature k-means,0.9456521739130435,0.8915889808316749,0.8962694224204701,3,2
ambiguous,light,0.5,17,5,3,history_cost,LE-GRA MVP,0.8695652173913043,0.7393357468912325,0.7023028319664629,3,2
ambiguous,light,0.5,17,6,3,history_cost,Multi-feature k-means,0.4855072463768116,-0.05021705343265982,0.11825767131669483,3,3
ambiguous,light,0.5,17,6,3,history_cost,LE-GRA MVP,0.5072463768115942,0.086670884227943,0.11200473707092905,3,2
ambiguous,light,0.5,17,7,3,history_cost,Multi-feature k-means,0.5253623188405797,0.0,0.0,3,1
ambiguous,light,0.5,17,7,3,history_cost,LE-GRA MVP,0.5253623188405797,0.0,0.0,3,1
ambiguous,light,0.5,17,8,3,history_cost,Multi-feature k-means,0.8731884057971014,0.743712193568927,0.7135349768379503,3,3
ambiguous,light,0.5,17,8,3,history_cost,LE-GRA MVP,0.8260869565217391,0.6349206349206349,0.7449327040357169,3,3
ambiguous,light,0.5,17,9,3,history_cost,Multi-feature k-means,0.5036231884057971,0.024156085475379417,0.12193921692196037,2,3
ambiguous,light,0.5,17,9,3,history_cost,LE-GRA MVP,0.6123188405797102,0.23069709284151294,0.13162979609946165,2,3
ambiguous,light,0.5,17,10,3,history_cost,Multi-feature k-means,0.7391304347826086,0.4717422510500292,0.510728847348287,3,2
ambiguous,light,0.5,17,10,3,history_cost,LE-GRA MVP,0.5797101449275363,0.06478939066425189,0.23472606680736255,3,3
ambiguous,light,0.5,17,11,3,history_cost,Multi-feature k-means,0.5797101449275363,0.1034444133295996,0.2261531536334175,3,3
ambiguous,light,0.5,17,11,3,history_cost,LE-GRA MVP,0.5253623188405797,-0.043643921025285776,0.03893683985723476,3,3
ambiguous,light,0.5,17,12,3,history_cost,Multi-feature k-means,0.6268115942028986,0.28364076201995764,0.44313846862042694,3,2
ambiguous,light,0.5,17,12,3,history_cost,LE-GRA MVP,0.6485507246376812,0.21581722319859403,0.32621881843713335,3,3
ambiguous,light,0.5,17,13,3,history_cost,Multi-feature k-means,0.8731884057971014,0.7454411299673237,0.6687410411979475,3,2
ambiguous,light,0.5,17,13,3,history_cost,LE-GRA MVP,0.9565217391304348,0.9124319179313627,0.8671201019595056,3,2
ambiguous,light,0.5,17,14,3,history_cost,Multi-feature k-means,0.6884057971014492,0.3601811418405305,0.4329756671799839,3,3
ambiguous,light,0.5,17,14,3,history_cost,LE-GRA MVP,0.7318840579710145,0.4665412944679518,0.4824467825029892,3,2
ambiguous,light,0.5,17,15,3,history_cost,Multi-feature k-means,0.6413043478260869,0.2536873156342183,0.43293639260367295,3,3
ambiguous,light,0.5,17,15,3,history_cost,LE-GRA MVP,0.8985507246376812,0.7990012484394508,0.846783384754336,3,2
ambiguous,light,0.5,17,16,3,history_cost,Multi-feature k-means,0.5362318840579711,0.055350553505535055,0.12795624120074137,3,3
ambiguous,light,0.5,17,16,3,history_cost,LE-GRA MVP,0.5072463768115942,-0.05019305019305019,0.011220220936524923,3,3
ambiguous,light,0.5,17,17,3,history_cost,Multi-feature k-means,0.9239130434782609,0.8420019627085378,0.8462283624965931,3,3
ambiguous,light,0.5,17,17,3,history_cost,LE-GRA MVP,0.5905797101449275,0.14982008505070332,0.3813588530014932,3,3
ambiguous,light,0.5,17,18,3,history_cost,Multi-feature k-means,0.6992753623188406,0.0,0.0,3,1
ambiguous,light,0.5,17,18,3,history_cost,LE-GRA MVP,0.6195652173913043,0.08603507001387668,0.19850890954025954,3,2
ambiguous,light,0.5,17,19,3,history_cost,Multi-feature k-means,0.8768115942028986,0.7485126226081363,0.8109571789891111,3,2
ambiguous,light,0.5,17,19,3,history_cost,LE-GRA MVP,0.532608695652174,0.0,0.0,3,1
ambiguous,light,0.5,23,0,3,history_cost,Multi-feature k-means,0.5869565217391305,0.2344153000145993,0.4152730891350569,2,3
ambiguous,light,0.5,23,0,3,history_cost,LE-GRA MVP,1.0,1.0,1.0,2,2
ambiguous,light,0.5,23,1,3,history_cost,Multi-feature k-means,0.532608695652174,0.0,0.0,3,1
ambiguous,light,0.5,23,1,3,history_cost,LE-GRA MVP,0.532608695652174,0.0,0.0,3,1
ambiguous,light,0.5,23,2,3,history_cost,Multi-feature k-means,0.6702898550724637,0.32023384215654427,0.4613694487178435,3,3
ambiguous,light,0.5,23,2,3,history_cost,LE-GRA MVP,0.6992753623188406,0.3718328397499178,0.5062163743100705,3,3
ambiguous,light,0.5,23,3,3,history_cost,Multi-feature k-means,0.4166666666666667,0.0,0.0,3,1
ambiguous,light,0.5,23,3,3,history_cost,LE-GRA MVP,0.4166666666666667,0.0,0.0,3,1
ambiguous,light,0.5,23,4,3,history_cost,Multi-feature k-means,0.7717391304347826,0.4346468981662113,0.40755154869077814,3,2
ambiguous,light,0.5,23,4,3,history_cost,LE-GRA MVP,0.5434782608695652,0.15768056968463884,0.34276854979506827,3,3
ambiguous,light,0.5,23,5,3,history_cost,Multi-feature k-means,0.48188405797101447,-0.04181184668989548,0.006996768153785553,3,2
ambiguous,light,0.5,23,5,3,history_cost,LE-GRA MVP,0.5,-0.04966102629113155,0.022030412766955273,3,3
ambiguous,light,0.5,23,6,3,history_cost,Multi-feature k-means,0.6847826086956522,0.3806870937790158,0.3635032325238267,3,2
ambiguous,light,0.5,23,6,3,history_cost,LE-GRA MVP,0.6268115942028986,0.21582257530619,0.3205437298566057,3,3
ambiguous,light,0.5,23,7,3,history_cost,Multi-feature k-means,0.48188405797101447,0.0,0.0,3,1
ambiguous,light,0.5,23,7,3,history_cost,LE-GRA MVP,0.48188405797101447,0.0,0.0,3,1
ambiguous,light,0.5,23,8,3,history_cost,Multi-feature k-means,0.6376811594202898,0.29227139853325806,0.43098726241650714,3,3
ambiguous,light,0.5,23,8,3,history_cost,LE-GRA MVP,0.7717391304347826,0.5246582832148715,0.4857214926748289,3,2
ambiguous,light,0.5,23,9,3,history_cost,Multi-feature k-means,0.4673913043478261,0.08398807911135195,0.2108049043396271,3,2
ambiguous,light,0.5,23,9,3,history_cost,LE-GRA MVP,0.644927536231884,0.226890756302521,0.3544211919132915,3,3
ambiguous,light,0.5,23,10,3,history_cost,Multi-feature k-means,0.5760869565217391,0.19407008086253374,0.37985511461974664,2,3
ambiguous,light,0.5,23,10,3,history_cost,LE-GRA MVP,0.7717391304347826,0.482315112540193,0.4420720417787592,2,2
ambiguous,light,0.5,23,11,3,history_cost,Multi-feature k-means,0.4891304347826087,-0.02659069325735997,0.07705293773214854,3,3
ambiguous,light,0.5,23,11,3,history_cost,LE-GRA MVP,0.4963768115942029,-0.022385673169171713,0.16696668212213,3,3
ambiguous,light,0.5,23,12,3,history_cost,Multi-feature k-means,0.5362318840579711,0.07143983598801457,0.27673634873147984,3,2
ambiguous,light,0.5,23,12,3,history_cost,LE-GRA MVP,0.5072463768115942,0.031229030093429044,0.31519669290695473,3,3
ambiguous,light,0.5,23,13,3,history_cost,Multi-feature k-means,0.6014492753623188,0.1598870994521003,0.11335791826982973,3,2
ambiguous,light,0.5,23,13,3,history_cost,LE-GRA MVP,0.6014492753623188,0.2214985383865839,0.2973491761167841,3,3
ambiguous,light,0.5,23,14,3,history_cost,Multi-feature k-means,0.6376811594202898,0.2701887989846105,0.3445794210291724,3,3
ambiguous,light,0.5,23,14,3,history_cost,LE-GRA MVP,0.7753623188405797,0.5475170553704585,0.5146255179359488,3,2
ambiguous,light,0.5,23,15,3,history_cost,Multi-feature k-means,0.4927536231884058,-0.007036747458952316,0.06906739769687996,3,3
ambiguous,light,0.5,23,15,3,history_cost,LE-GRA MVP,0.4855072463768116,-0.02817566504013856,0.04636416967097071,3,2
ambiguous,light,0.5,23,16,3,history_cost,Multi-feature k-means,0.35144927536231885,0.0,0.0,3,1
ambiguous,light,0.5,23,16,3,history_cost,LE-GRA MVP,0.5579710144927537,0.006901433374623973,0.10839382869384233,3,3
ambiguous,light,0.5,23,17,3,history_cost,Multi-feature k-means,0.7934782608695652,0.5735660847880298,0.6856855447392299,3,3
ambiguous,light,0.5,23,17,3,history_cost,LE-GRA MVP,0.5652173913043478,0.22933730454206994,0.5588487823476311,3,2
ambiguous,light,0.5,23,18,3,history_cost,Multi-feature k-means,0.9311594202898551,0.8626218170386671,0.8496613500636985,3,3
ambiguous,light,0.5,23,18,3,history_cost,LE-GRA MVP,0.6485507246376812,0.28653661656539814,0.5036999325594047,3,3
ambiguous,light,0.5,23,19,3,history_cost,Multi-feature k-means,0.9166666666666666,0.8281909710945112,0.7598737418084625,2,2
ambiguous,light,0.5,23,19,3,history_cost,LE-GRA MVP,0.7065217391304348,0.45669291338582674,0.7208497389001013,2,3
ambiguous,medium,0.25,9,0,3,history_cost,Multi-feature k-means,0.5253623188405797,0.0,0.0,3,1
ambiguous,medium,0.25,9,0,3,history_cost,LE-GRA MVP,0.48188405797101447,-0.040054811847791714,0.08548042998068373,3,2
ambiguous,medium,0.25,9,1,3,history_cost,Multi-feature k-means,0.8405797101449275,0.676056338028169,0.6266172073486219,2,2
ambiguous,medium,0.25,9,1,3,history_cost,LE-GRA MVP,0.7210144927536232,0.46153846153846156,0.5011692460633161,2,3
ambiguous,medium,0.25,9,2,3,history_cost,Multi-feature k-means,0.4855072463768116,-0.03196587498025177,0.07616191456978497,3,2
ambiguous,medium,0.25,9,2,3,history_cost,LE-GRA MVP,0.4601449275362319,0.0,0.0,3,1
ambiguous,medium,0.25,9,3,3,history_cost,Multi-feature k-means,0.7101449275362319,0.42074610420273884,0.48443826032763593,2,2
ambiguous,medium,0.25,9,3,3,history_cost,LE-GRA MVP,0.5688405797101449,0.15061549601737867,0.2693243323736229,2,2
ambiguous,medium,0.25,9,4,3,history_cost,Multi-feature k-means,1.0,1.0,1.0,3,3
ambiguous,medium,0.25,9,4,3,history_cost,LE-GRA MVP,0.7681159420289855,0.5080213903743316,0.6837691664793775,3,3
ambiguous,medium,0.25,9,5,3,history_cost,Multi-feature k-means,0.6557971014492754,0.0,0.0,2,1
ambiguous,medium,0.25,9,5,3,history_cost,LE-GRA MVP,0.6557971014492754,0.0,0.0,2,1
ambiguous,medium,0.25,9,6,3,history_cost,Multi-feature k-means,0.6304347826086957,0.24114507520621062,0.4265383288322028,3,3
ambiguous,medium,0.25,9,6,3,history_cost,LE-GRA MVP,0.7318840579710145,0.4488044475630161,0.5796813041656249,3,3
ambiguous,medium,0.25,9,7,3,history_cost,Multi-feature k-means,0.7101449275362319,0.0,0.0,2,1
ambiguous,medium,0.25,9,7,3,history_cost,LE-GRA MVP,0.7101449275362319,0.0,0.0,2,1
ambiguous,medium,0.25,9,8,3,history_cost,Multi-feature k-means,1.0,1.0,1.0,1,1
ambiguous,medium,0.25,9,8,3,history_cost,LE-GRA MVP,1.0,1.0,1.0,1,1
ambiguous,medium,0.25,9,9,3,history_cost,Multi-feature k-means,1.0,1.0,1.0,1,1
ambiguous,medium,0.25,9,9,3,history_cost,LE-GRA MVP,1.0,1.0,1.0,1,1
ambiguous,medium,0.25,9,10,3,history_cost,Multi-feature k-means,0.7101449275362319,0.4221105527638191,0.47913876749186385,2,2
ambiguous,medium,0.25,9,10,3,history_cost,LE-GRA MVP,0.7101449275362319,0.4221105527638191,0.47913876749186385,2,2
ambiguous,medium,0.25,9,11,3,history_cost,Multi-feature k-means,0.8405797101449275,0.676056338028169,0.6266172073486219,2,2
ambiguous,medium,0.25,9,11,3,history_cost,LE-GRA MVP,0.9166666666666666,0.8316537604752308,0.7712207797821039,2,2
ambiguous,medium,0.25,9,12,3,history_cost,Multi-feature k-means,0.4855072463768116,-0.009634705548972186,0.15001718135393102,3,2
ambiguous,medium,0.25,9,12,3,history_cost,LE-GRA MVP,0.48188405797101447,-0.02834809796769153,0.042905460249859285,3,2
ambiguous,medium,0.25,9,13,3,history_cost,Multi-feature k-means,0.8623188405797102,0.7195571955719557,0.6814273271852466,3,3
ambiguous,medium,0.25,9,13,3,history_cost,LE-GRA MVP,0.9130434782608695,0.8214459000485201,0.8117675095609492,3,3
ambiguous,medium,0.25,9,14,3,history_cost,Multi-feature k-means,0.7717391304347826,0.0,0.0,2,1
ambiguous,medium,0.25,9,14,3,history_cost,LE-GRA MVP,0.7717391304347826,0.0,0.0,2,1
ambiguous,medium,0.25,9,15,3,history_cost,Multi-feature k-means,0.9565217391304348,0.9108958837772398,0.8866662832585234,3,3
ambiguous,medium,0.25,9,15,3,history_cost,LE-GRA MVP,0.8188405797101449,0.629808466119427,0.6337379814956597,3,3
ambiguous,medium,0.25,9,16,3,history_cost,Multi-feature k-means,1.0,1.0,1.0,1,1
ambiguous,medium,0.25,9,16,3,history_cost,LE-GRA MVP,1.0,1.0,1.0,1,1
ambiguous,medium,0.25,9,17,3,history_cost,Multi-feature k-means,0.8405797101449275,0.0,0.0,2,1
ambiguous,medium,0.25,9,17,3,history_cost,LE-GRA MVP,0.8405797101449275,0.0,0.0,2,1
ambiguous,medium,0.25,9,18,3,history_cost,Multi-feature k-means,0.7608695652173914,0.5269308679166883,0.5204208250521145,3,2
ambiguous,medium,0.25,9,18,3,history_cost,LE-GRA MVP,0.7608695652173914,0.5083931559345819,0.5605279911665408,3,3
ambiguous,medium,0.25,9,19,3,history_cost,Multi-feature k-means,0.8913043478260869,0.7694235588972431,0.7470129667546934,3,3
ambiguous,medium,0.25,9,19,3,history_cost,LE-GRA MVP,0.8985507246376812,0.7871426210543712,0.7515368188353229,3,3
ambiguous,medium,0.25,17,0,3,history_cost,Multi-feature k-means,0.8804347826086957,0.7526881720430108,0.7965917800763678,3,3
ambiguous,medium,0.25,17,0,3,history_cost,LE-GRA MVP,0.8260869565217391,0.637616937469227,0.7486634794284595,3,3
ambiguous,medium,0.25,17,1,3,history_cost,Multi-feature k-means,0.9166666666666666,0.0,0.0,2,1
ambiguous,medium,0.25,17,1,3,history_cost,LE-GRA MVP,0.9166666666666666,0.0,0.0,2,1
ambiguous,medium,0.25,17,2,3,history_cost,Multi-feature k-means,0.4927536231884058,0.0,0.0,2,1
ambiguous,medium,0.25,17,2,3,history_cost,LE-GRA MVP,0.4927536231884058,0.0,0.0,2,1
ambiguous,medium,0.25,17,3,3,history_cost,Multi-feature k-means,1.0,1.0,1.0,2,2
ambiguous,medium,0.25,17,3,3,history_cost,LE-GRA MVP,0.8297101449275363,0.655622809812042,0.6758756029712542,2,3
ambiguous,medium,0.25,17,4,3,history_cost,Multi-feature k-means,0.7065217391304348,-0.08503203261502593,0.02412973175621317,3,2
ambiguous,medium,0.25,17,4,3,history_cost,LE-GRA MVP,0.572463768115942,0.05747525612085445,0.1458373065799336,3,2
ambiguous,medium,0.25,17,5,3,history_cost,Multi-feature k-means,0.48188405797101447,0.0,0.0,2,1
ambiguous,medium,0.25,17,5,3,history_cost,LE-GRA MVP,0.7101449275362319,0.42074610420273884,0.4844382603276358,2,2
ambiguous,medium,0.25,17,6,3,history_cost,Multi-feature k-means,0.6340579710144928,0.0,0.0,3,1
ambiguous,medium,0.25,17,6,3,history_cost,LE-GRA MVP,0.6340579710144928,0.0,0.0,3,1
ambiguous,medium,0.25,17,7,3,history_cost,Multi-feature k-means,0.5253623188405797,0.0,0.0,3,1
ambiguous,medium,0.25,17,7,3,history_cost,LE-GRA MVP,0.5253623188405797,0.0,0.0,3,1
ambiguous,medium,0.25,17,8,3,history_cost,Multi-feature k-means,0.644927536231884,0.28884682126518385,0.3834235399489019,3,2
ambiguous,medium,0.25,17,8,3,history_cost,LE-GRA MVP,0.605072463768116,0.21089077746301538,0.3440068783110784,3,2
ambiguous,medium,0.25,17,9,3,history_cost,Multi-feature k-means,0.6086956521739131,0.0,0.0,2,1
ambiguous,medium,0.25,17,9,3,history_cost,LE-GRA MVP,0.6086956521739131,0.0,0.0,2,1
ambiguous,medium,0.25,17,10,3,history_cost,Multi-feature k-means,0.9166666666666666,0.0,0.0,2,1
ambiguous,medium,0.25,17,10,3,history_cost,LE-GRA MVP,0.9166666666666666,0.0,0.0,2,1
ambiguous,medium,0.25,17,11,3,history_cost,Multi-feature k-means,0.5471014492753623,0.1630276564774382,0.2906113924964639,3,3
ambiguous,medium,0.25,17,11,3,history_cost,LE-GRA MVP,0.6956521739130435,0.0,0.0,3,1
ambiguous,medium,0.25,17,12,3,history_cost,Multi-feature k-means,0.7717391304347826,0.5443873807776963,0.545228008856072,2,2
ambiguous,medium,0.25,17,12,3,history_cost,LE-GRA MVP,0.4927536231884058,0.0,0.0,2,1
ambiguous,medium,0.25,17,13,3,history_cost,Multi-feature k-means,0.6884057971014492,0.4075183465628276,0.6357622725700877,3,3
ambiguous,medium,0.25,17,13,3,history_cost,LE-GRA MVP,0.6231884057971014,0.2505091649694502,0.34612882074743107,3,2
ambiguous,medium,0.25,17,14,3,history_cost,Multi-feature k-means,0.7101449275362319,0.4231673546162286,0.4699285490644171,2,2
ambiguous,medium,0.25,17,14,3,history_cost,LE-GRA MVP,0.7717391304347826,0.5427579678131902,0.464230753916021,2,2
ambiguous,medium,0.25,17,15,3,history_cost,Multi-feature k-means,1.0,1.0,1.0,1,1
ambiguous,medium,0.25,17,15,3,history_cost,LE-GRA MVP,1.0,1.0,1.0,1,1
