scenario_id,ue_id,user_index,cqi_t_minus_4,cqi_t_minus_3,cqi_t_minus_2,cqi_t_minus_1,cqi_now_raw,cqi_now,previous_quality,distance_m,speed_mps,direction_to_gnb,x_m,y_m,rsrp_dbm,rsrq_db,wideband_sinr_db,mcs
simu5g_00000847,1,1,15.0,15.0,15.0,15.0,15.0,15,1,90.5229456634841,9.77412858451339,-0.28937481265832127,226.65,93.8049395573499,-65.559308,,33.940692,
simu5g_00000847,15,2,14.76,11.56,11.56,11.52,6.88,7,1,110.37099058107012,10.4830854376727,-0.48288641087931833,223.35,333.296651506888,-77.087992,,22.412008,
simu5g_00000847,2,3,14.96,15.0,15.0,15.0,15.0,15,1,87.22787850903127,9.78227568467841,-0.11491722445826934,226.65,109.976014306359,-56.876039,,42.623961,
simu5g_00000847,3,4,15.0,15.0,15.0,15.0,15.0,15,1,87.00922919783929,10.1374849901962,0.09077566255907188,226.65,127.898320429188,-59.861668,,39.638332,
simu5g_00000847,4,5,13.64,13.64,14.88,14.88,14.88,15,1,105.0610759800123,9.76480135369673,-0.4588170108108516,226.65,231.796191166279,-61.63936,,37.86064,
simu5g_00000847,5,6,14.92,14.92,14.92,14.92,14.92,15,1,98.14301554939621,9.99099804932429,-0.3086892389866389,226.65,249.704307218203,-79.048179,,20.451821,
simu5g_00000849,0,0,15.0,15.0,14.8,14.72,14.72,15,1,97.24414070984186,9.78945562819764,-0.4538928811102862,226.65,75.8615768021158,-61.257457,,38.242543,
simu5g_00000849,1,1,15.0,15.0,15.0,15.0,15.0,15,1,90.8108156413285,9.78120038172399,-0.29922845961594724,226.65,92.8268195191775,-65.663307,,33.836693,
simu5g_00000849,15,2,11.56,11.56,11.52,6.88,6.88,7,1,110.87933778779667,10.4490761925636,-0.4900963534806194,223.35,334.341559126145,-77.16833,,22.33167,
simu5g_00000849,2,3,15.0,15.0,15.0,15.0,15.0,15,1,87.34586124026494,9.79512650232069,-0.12597618464835267,226.65,108.996501656127,-56.953442,,42.546558,
simu5g_00000849,3,4,15.0,15.0,15.0,15.0,15.0,15,1,86.92292983656574,10.1549896030335,0.07918303584365166,226.65,126.882821468884,-59.89096,,39.60904,
simu5g_00000849,4,5,13.64,14.88,14.88,14.88,14.88,15,1,105.51287381750714,9.76919518238586,-0.4661111632408095,226.65,230.819271648041,-61.527087,,37.972913,
simu5g_00000849,5,6,14.92,14.92,14.92,14.92,14.92,15,1,98.45620313271688,9.99697219141279,-0.31786102861139665,226.65,248.704609999062,-78.940312,,20.559688,
simu5g_00000851,0,0,15.0,14.8,14.72,14.72,14.72,15,1,97.6928091834685,9.79893106667604,-0.4618386622480981,226.65,74.8816836954482,-61.373791,,38.126209,
simu5g_00000851,1,1,15.0,15.0,15.0,15.0,15.0,15,1,91.10894067874189,9.80266405882425,-0.3090086074645113,226.65,91.8465531132952,-65.768618,,33.731382,
simu5g_00000851,15,2,11.56,11.52,6.88,6.88,6.76,7,1,111.39611222933591,10.4680896509592,-0.49721993867443587,223.35,335.388368091241,-77.248477,,22.251523,
simu5g_00000851,2,3,15.0,15.0,15.0,15.0,15.0,15,1,87.47475950355202,9.8028445640583,-0.13699703626841506,226.65,108.016217199721,-57.033029,,42.466971,
simu5g_00000851,3,4,15.0,15.0,15.0,15.0,15.0,15,1,86.84830524018703,10.1719080435189,0.06753880399059096,226.65,125.865630664532,-59.923645,,39.576355,
simu5g_00000851,4,5,14.88,14.88,14.88,14.88,14.6,15,1,105.97265673511176,9.78831808570866,-0.47332549457458967,226.65,229.84043983947,-61.414261,,38.085739,
simu5g_00000851,5,6,14.92,14.92,14.92,14.92,14.92,15,1,98.77844841084442,9.99491489072762,-0.3269425872705396,226.65,247.705118509989,-78.83205,,20.66795,
