schema_version,scenario_id,timestamp_s,serving_gnb,rb_available,total_rbs,dispersion
1.0,simu5g_00000098,10.4,gnb_2,7,25,simu5g
1.0,simu5g_00000099,10.5,gnb_2,7,25,simu5g
1.0,simu5g_00000100,10.6,gnb_2,7,25,simu5g
1.0,simu5g_00000101,10.7,gnb_2,7,25,simu5g
1.0,simu5g_00000102,10.8,gnb_2,7,25,simu5g
1.0,simu5g_00000103,10.9,gnb_2,7,25,simu5g
1.0,simu5g_00000104,11.0,gnb_2,7,25,simu5g
1.0,simu5g_00000105,11.1,gnb_2,7,25,simu5g
1.0,simu5g_00000106,11.2,gnb_2,7,25,simu5g
1.0,simu5g_00000107,11.3,gnb_2,7,25,simu5g
1.0,simu5g_00000108,11.4,gnb_2,7,25,simu5g
1.0,simu5g_00000109,11.5,gnb_2,7,25,simu5g
1.0,simu5g_00000110,11.6,gnb_2,7,25,simu5g
1.0,simu5g_00000111,11.7,gnb_2,7,25,simu5g
1.0,simu5g_00000112,11.8,gnb_2,7,25,simu5g
1.0,simu5g_00000113,11.9,gnb_2,7,25,simu5g
1.0,simu5g_00000114,12.0,gnb_2,7,25,simu5g
1.0,simu5g_00000115,12.1,gnb_2,7,25,simu5g
1.0,simu5g_00000116,12.2,gnb_2,7,25,simu5g
1.0,simu5g_00000117,12.3,gnb_2,7,25,simu5g
1.0,simu5g_00000118,12.4,gnb_2,7,25,simu5g
1.0,simu5g_00000119,12.5,gnb_2,7,25,simu5g
1.0,simu5g_00000120,12.6,gnb_2,7,25,simu5g
1.0,simu5g_00000121,12.7,gnb_2,7,25,simu5g
1.0,simu5g_00000122,12.8,gnb_2,7,25,simu5g
1.0,simu5g_00000123,12.9,gnb_2,7,25,simu5g
1.0,simu5g_00000124,13.0,gnb_2,7,25,simu5g
1.0,simu5g_00000125,13.1,gnb_2,7,25,simu5g
1.0,simu5g_00000126,13.2,gnb_2,7,25,simu5g
1.0,simu5g_00000127,13.3,gnb_2,7,25,simu5g
1.0,simu5g_00000128,13.4,gnb_2,7,25,simu5g
1.0,simu5g_00000129,13.5,gnb_2,7,25,simu5g
1.0,simu5g_00000130,13.6,gnb_2,7,25,simu5g
1.0,simu5g_00000131,13.7,gnb_2,7,25,simu5g
1.0,simu5g_00000132,13.8,gnb_2,7,25,simu5g
1.0,simu5g_00000133,13.9,gnb_2,7,25,simu5g
1.0,simu5g_00000134,14.0,gnb_1,7,25,simu5g
1.0,simu5g_00000135,14.0,gnb_2,7,25,simu5g
1.0,simu5g_00000136,14.1,gnb_1,7,25,simu5g
1.0,simu5g_00000137,14.1,gnb_2,7,25,simu5g
1.0,simu5g_00000138,14.2,gnb_1,7,25,simu5g
1.0,simu5g_00000139,14.2,gnb_2,7,25,simu5g
1.0,simu5g_00000140,14.3,gnb_1,7,25,simu5g
1.0,simu5g_00000141,14.3,gnb_2,7,25,simu5g
1.0,simu5g_00000142,14.4,gnb_1,7,25,simu5g
1.0,simu5g_00000143,14.4,gnb_2,7,25,simu5g
1.0,simu5g_00000144,14.5,gnb_1,7,25,simu5g
1.0,simu5g_00000145,14.5,gnb_2,7,25,simu5g
1.0,simu5g_00000146,14.6,gnb_1,7,25,simu5g
1.0,simu5g_00000147,14.6,gnb_2,7,25,simu5g
1.0,simu5g_00000148,14.7,gnb_1,7,25,simu5g
1.0,simu5g_00000149,14.7,gnb_2,7,25,simu5g
1.0,simu5g_00000150,14.8,gnb_1,7,25,simu5g
1.0,simu5g_00000151,14.8,gnb_2,7,25,simu5g
1.0,simu5g_00000152,14.9,gnb_1,7,25,simu5g
1.0,simu5g_00000153,14.9,gnb_2,7,25,simu5g
1.0,simu5g_00000154,15.0,gnb_1,7,25,simu5g
1.0,simu5g_00000155,15.0,gnb_2,7,25,simu5g
1.0,simu5g_00000156,15.1,gnb_1,7,25,simu5g
1.0,simu5g_00000157,15.1,gnb_2,7,25,simu5g
1.0,simu5g_00000158,15.2,gnb_1,7,25,simu5g
1.0,simu5g_00000159,15.2,gnb_2,7,25,simu5g
1.0,simu5g_00000160,15.3,gnb_1,7,25,simu5g
1.0,simu5g_00000161,15.3,gnb_2,7,25,simu5g
1.0,simu5g_00000162,15.4,gnb_1,7,25,simu5g
1.0,simu5g_00000163,15.4,gnb_2,7,25,simu5g
1.0,simu5g_00000164,15.5,gnb_1,7,25,simu5g
1.0,simu5g_00000165,15.5,gnb_2,7,25,simu5g
1.0,simu5g_00000166,15.6,gnb_1,7,25,simu5g
1.0,simu5g_00000167,15.6,gnb_2,7,25,simu5g
1.0,simu5g_00000168,15.7,gnb_1,7,25,simu5g
1.0,simu5g_00000169,15.7,gnb_2,7,25,simu5g
1.0,simu5g_00000170,15.8,gnb_1,7,25,simu5g
1.0,simu5g_00000171,15.8,gnb_2,7,25,simu5g
1.0,simu5g_00000172,15.9,gnb_1,7,25,simu5g
