scenario_mode,load_level,seed,test_index,feature_mode,legra_utility,cqi_utility
aligned,light,9,0,history_only,0.9458333333333334,0.9615839771438983
aligned,light,9,1,history_only,0.8992317597085616,0.8943854077668493
aligned,light,9,2,history_only,0.9458333333333334,0.9615839771438983
aligned,light,9,3,history_only,0.8962766810273228,0.8865839771438982
aligned,light,9,4,history_only,0.8974882690127509,0.8938535050564669
aligned,light,9,5,history_only,0.9346927038834246,0.9468085837377055
aligned,light,9,6,history_only,0.6891636743803972,0.68325351701792
aligned,light,9,7,history_only,0.9390071531147545,0.9438535050564668
aligned,light,9,8,history_only,0.7641607614800706,0.7805069199924018
aligned,light,9,9,history_only,0.7088642049976785,0.705447132140501
aligned,light,9,10,history_only,0.6322454416748986,0.6448206465769992
aligned,light,9,11,history_only,0.8874114449836071,0.8874114449836071
aligned,light,9,12,history_only,0.5749260094852398,0.5767917853961614
aligned,light,9,13,history_only,0.937263662418944,0.9408984263752282
aligned,light,9,14,history_only,0.7676923810267827,0.7676923810267827
aligned,light,9,15,history_only,0.6952402843706694,0.6851192929288418
aligned,light,9,16,history_only,0.8992317597085616,0.8931738197814211
aligned,light,9,17,history_only,0.9004433476939898,0.8992317597085616
aligned,light,9,18,history_only,0.8796100143606562,0.8783984263752282
aligned,light,9,19,history_only,0.7327451099959196,0.7327451099959196
aligned,light,9,20,history_only,0.940750643810565,0.9468085837377055
aligned,light,9,21,history_only,0.8771868383898002,0.8759752504043722
aligned,light,9,22,history_only,0.7379491734946425,0.7103353939010901
aligned,light,9,23,history_only,0.8777187411001824,0.8740839771438984
aligned,light,9,24,history_only,0.8808216023460845,0.8749114449836073
aligned,light,9,25,history_only,0.888475250404372,0.8799941345063756
aligned,light,9,26,history_only,0.9478723891584702,0.9515071531147545
aligned,light,9,27,history_only,0.6763252881930376,0.6853682182419071
aligned,light,9,28,history_only,0.9021868383898001,0.8999114449836072
aligned,light,9,29,history_only,0.6745817974972271,0.6686716401347499
aligned,light,9,0,history_cost,0.9506796852750456,0.9615839771438983
aligned,light,9,1,history_cost,0.8980201717231336,0.8943854077668493
aligned,light,9,2,history_cost,0.9579492131876141,0.9615839771438983
aligned,light,9,3,history_cost,0.8962766810273228,0.8865839771438982
aligned,light,9,4,history_cost,0.8938535050564668,0.8938535050564669
aligned,light,9,5,history_cost,0.9431738197814211,0.9468085837377055
aligned,light,9,6,history_cost,0.6977979823531201,0.68325351701792
aligned,light,9,7,history_cost,0.9365839771438984,0.9438535050564668
aligned,light,9,8,history_cost,0.7805069199924018,0.7805069199924018
aligned,light,9,9,history_cost,0.7327451099959196,0.705447132140501
aligned,light,9,10,history_cost,0.6165897632515799,0.6448206465769992
aligned,light,9,11,history_cost,0.8874114449836071,0.8874114449836071
aligned,light,9,12,history_cost,0.5968961077080609,0.5767917853961614
aligned,light,9,13,history_cost,0.938475250404372,0.9408984263752282
aligned,light,9,14,history_cost,0.7542028390233044,0.7676923810267827
aligned,light,9,15,history_cost,0.6986023950011964,0.6851192929288418
aligned,light,9,16,history_cost,0.8968085837377054,0.8931738197814211
aligned,light,9,17,history_cost,0.9004433476939898,0.8992317597085616
aligned,light,9,18,history_cost,0.8796100143606563,0.8783984263752282
aligned,light,9,19,history_cost,0.7543878249906428,0.7327451099959196
aligned,light,9,20,history_cost,0.940750643810565,0.9468085837377055
aligned,light,9,21,history_cost,0.8771868383898002,0.8759752504043722
aligned,light,9,22,history_cost,0.7596527957257181,0.7103353939010901
aligned,light,9,23,history_cost,0.8801419170710387,0.8740839771438984
aligned,light,9,24,history_cost,0.8796100143606563,0.8749114449836073
aligned,light,9,25,history_cost,0.8836288984626597,0.8799941345063756
aligned,light,9,26,history_cost,0.9515071531147545,0.9515071531147545
aligned,light,9,27,history_cost,0.698028910424113,0.6853682182419071
aligned,light,9,28,history_cost,0.9021868383898001,0.8999114449836072
aligned,light,9,29,history_cost,0.6974970077137305,0.6686716401347499
aligned,light,17,0,history_only,0.9080969957522772,0.9068854077668492
aligned,light,17,1,history_only,0.9324173104772319,0.9408984263752282
aligned,light,17,2,history_only,0.8992317597085616,0.8980201717231336
aligned,light,17,3,history_only,0.718271244841127,0.7012100086814904
aligned,light,17,4,history_only,0.7232926816608273,0.6853682182419071
aligned,light,17,5,history_only,0.7668878249906427,0.7452451099959195
aligned,light,17,6,history_only,0.6582535170179201,0.6303169650117497
aligned,light,17,7,history_only,0.879078111650274,0.879078111650274
aligned,light,17,8,history_only,0.8921100143606564,0.8908984263752283
aligned,light,17,9,history_only,0.6395049734680832,0.6249230965849132
aligned,light,17,10,history_only,0.5724466502087732,0.5603441326020696
aligned,light,17,11,history_only,0.8974882690127511,0.8962766810273228
aligned,light,17,12,history_only,0.9532506438105651,0.9556738197814211
aligned,light,17,13,history_only,0.8974882690127509,0.8938535050564668
aligned,light,17,14,history_only,0.9591608011730423,0.9615839771438983
aligned,light,17,15,history_only,0.9402187411001824,0.9438535050564667
aligned,light,17,16,history_only,0.7388402533257351,0.7316260149941606
aligned,light,17,17,history_only,0.9365839771438983,0.9438535050564668
aligned,light,17,18,history_only,0.950827467839709,0.9556738197814211
aligned,light,17,19,history_only,0.9140071531147544,0.9152187411001825
aligned,light,17,20,history_only,0.9520390558251369,0.9556738197814211
aligned,light,17,21,history_only,0.9437057224918036,0.9497636624189439
aligned,light,17,22,history_only,0.9058216023460844,0.9009752504043721
aligned,light,17,23,history_only,0.9406028612459018,0.9527187411001826
aligned,light,17,24,history_only,0.9525709585355194,0.9586288984626598
aligned,light,17,25,history_only,0.9218085837377054,0.9181738197814212
aligned,light,17,26,history_only,0.9004433476939896,0.9004433476939896
aligned,light,17,27,history_only,0.6749201836845868,0.6773995604755934
aligned,light,17,28,history_only,0.8980201717231334,0.8957447783169407
aligned,light,17,29,history_only,0.8789303290856108,0.8728723891584703
aligned,light,17,0,history_cost,0.9093085837377054,0.9068854077668492
aligned,light,17,1,history_cost,0.9360520744335159,0.9408984263752282
aligned,light,17,2,history_cost,0.8992317597085616,0.8980201717231336
aligned,light,17,3,history_cost,0.7207506041175935,0.7012100086814904
aligned,light,17,4,history_cost,0.7305069199924018,0.6853682182419071
aligned,light,17,5,history_cost,0.7709261597379884,0.7452451099959195
aligned,light,17,6,history_cost,0.6804144270087326,0.6303169650117497
aligned,light,17,7,history_cost,0.879078111650274,0.879078111650274
aligned,light,17,8,history_cost,0.8921100143606564,0.8908984263752283
aligned,light,17,9,history_cost,0.6249230965849132,0.6249230965849132
aligned,light,17,10,history_cost,0.5749260094852396,0.5603441326020696
aligned,light,17,11,history_cost,0.8974882690127511,0.8962766810273228
aligned,light,17,12,history_cost,0.9544622317959931,0.9556738197814211
aligned,light,17,13,history_cost,0.8962766810273228,0.8938535050564668
aligned,light,17,14,history_cost,0.9579492131876141,0.9615839771438983
aligned,light,17,15,history_cost,0.9390071531147545,0.9438535050564667
aligned,light,17,16,history_cost,0.7388402533257351,0.7316260149941606
aligned,light,17,17,history_cost,0.9414303290856108,0.9438535050564668
aligned,light,17,18,history_cost,0.950827467839709,0.9556738197814211
aligned,light,17,19,history_cost,0.9176419170710387,0.9152187411001825
aligned,light,17,20,history_cost,0.9496158798542808,0.9556738197814211
aligned,light,17,21,history_cost,0.9376477825646633,0.9497636624189439
aligned,light,17,22,history_cost,0.9058216023460846,0.9009752504043721
aligned,light,17,23,history_cost,0.9454492131876142,0.9527187411001826
aligned,light,17,24,history_cost,0.9513593705500912,0.9586288984626598
aligned,light,17,25,history_cost,0.9218085837377054,0.9181738197814212
aligned,light,17,26,history_cost,0.9016549356794178,0.9004433476939896
aligned,light,17,27,history_cost,0.6646834419888047,0.6773995604755934
aligned,light,17,28,history_cost,0.8968085837377053,0.8957447783169407
aligned,light,17,29,history_cost,0.8789303290856108,0.8728723891584703
aligned,light,23,0,history_only,0.6108014203618068,0.6103412197017432
aligned,light,23,1,history_only,0.8997636624189441,0.8985520744335159
aligned,light,23,2,history_only,0.570253848696899,0.5790926761519063
aligned,light,23,3,history_only,0.8921100143606563,0.8908984263752281
aligned,light,23,4,history_only,0.9293144492313298,0.9426419170710387
