load_level,seed,random_utility,hard_negative_utility,utility_delta
light,9,0.7781791077453639,0.7764913689065557,-0.0016877388388082
light,17,0.8333105938997605,0.8311125395129608,-0.0021980543867997
light,23,0.8405330446498581,0.8384486842617997,-0.0020843603880584
medium,9,0.7087605910504932,0.7085201955831079,-0.0002403954673853
medium,17,0.7933230626698953,0.7933718755593402,0.0000488128894449
medium,23,0.8027092508617624,0.8132034701871316,0.0104942193253692
