load_level,seed,history_cost_utility,quality_context_utility,load_context_utility,both_context_utility,quality_context_delta
light,9,0.7766345723752377,0.7874210337704330,0.7784648495048786,0.7869588665148262,0.0107864613951953
light,17,0.8312923118004625,0.8418150668522013,0.8324418983917340,0.8351454519067278,0.0105227550517388
light,23,0.8385362698323844,0.8488305201806401,0.8355407158042916,0.8494282104651656,0.0102942503482557
medium,9,0.7118397807093741,0.7178220024905212,0.7117453728608176,0.7116322168160554,0.0059822217811471
medium,17,0.7907718585785368,0.7997298792080418,0.7929234410487019,0.7994573289092658,0.0089580206295050
medium,23,0.8038293440831048,0.8095148266758265,0.8069522310453847,0.8104346712129648,0.0056854825927217
