dispersion,seed,scenario_index,method,utility,adr_kbps,served_ratio,average_quality,system_spectral_efficiency
low,1,0,No grouping,0.9328000000000002,7500.0,1.0,5.0,833.3333333333334
low,1,0,CQI k-means,0.9402439965824703,7064.8,1.0,4.744,784.9777777777778
low,1,0,Resource-cost k-means,0.9328000000000002,7500.0,1.0,5.0,833.3333333333334
low,1,0,Multi-feature k-means,0.9435589013106013,6871.0,1.0,4.63,763.4444444444445
low,1,0,Offline teacher,0.9343120618058143,7411.6,1.0,4.948,823.5111111111111
low,1,1,No grouping,0.9310000000000003,7500.0,1.0,5.0,833.3333333333334
low,1,1,CQI k-means,0.9393163399319783,7013.8,1.0,4.714,779.3111111111111
low,1,1,Resource-cost k-means,0.9329191553689182,7387.8,1.0,4.934,820.8666666666667
low,1,1,Multi-feature k-means,0.9410028704076941,6915.2,1.0,4.656,768.3555555555556
low,1,1,Offline teacher,0.9329191553689183,7387.8,1.0,4.934,820.8666666666667
low,1,2,No grouping,0.9302,7500.0,1.0,5.0,833.3333333333334
low,1,2,CQI k-means,0.9378766214756724,7051.2,1.0,4.736,783.4666666666667
low,1,2,Resource-cost k-means,0.9314212806893116,7428.6,1.0,4.958,825.4
low,1,2,Multi-feature k-means,0.9398539330678909,6935.6,1.0,4.668,770.6222222222223
low,1,2,Offline teacher,0.9319588738252241,7350.4,1.0,4.912,816.7111111111111
low,1,3,No grouping,0.9348000000000002,7500.0,1.0,5.0,833.3333333333334
low,1,3,CQI k-means,0.9430000274853771,7020.6,1.0,4.718,780.0666666666667
low,1,3,Resource-cost k-means,0.9348000000000002,7500.0,1.0,5.0,833.3333333333334
low,1,3,Multi-feature k-means,0.9463149322135083,6826.8,1.0,4.604,758.5333333333333
low,1,3,Offline teacher,0.9366170300485248,7347.0,1.0,4.91,816.3333333333334
low,1,4,No grouping,0.9292,7500.0,1.0,5.0,833.3333333333334
low,1,4,CQI k-means,0.937283715038776,7027.4,1.0,4.722,780.8222222222222
low,1,4,Resource-cost k-means,0.9292,7500.0,1.0,5.0,833.3333333333334
low,1,4,Multi-feature k-means,0.9415291193397161,6779.2,1.0,4.576,753.2444444444444
low,1,4,Offline teacher,0.9303049682427104,7435.4,1.0,4.962,826.1555555555556
low,1,5,No grouping,0.9292,7500.0,1.0,5.0,833.3333333333334
low,1,5,CQI k-means,0.937051090145574,7041.0,1.0,4.73,782.3333333333334
low,1,5,Resource-cost k-means,0.9307120618058146,7411.6,1.0,4.948,823.5111111111111
low,1,5,Multi-feature k-means,0.9397844326406996,6881.2,1.0,4.636,764.5777777777778
low,1,5,Offline teacher,0.9307914987184265,7336.8,1.0,4.904,815.2
low,2,0,No grouping,0.9304000000000001,7500.0,1.0,5.0,833.3333333333334
low,2,0,CQI k-means,0.9397049957280876,6956.0,1.0,4.68,772.8888888888889
low,2,0,Resource-cost k-means,0.9304000000000001,7500.0,1.0,5.0,833.3333333333334
low,2,0,Multi-feature k-means,0.9408099639707981,6891.4,1.0,4.642,765.7111111111111
low,2,0,Offline teacher,0.931330499572809,7445.6,1.0,4.968,827.2888888888889
low,2,1,No grouping,0.9328000000000001,7500.0,1.0,5.0,833.3333333333334
low,2,1,CQI k-means,0.9416397459416832,6983.2,1.0,4.696,775.9111111111112
low,2,1,Resource-cost k-means,0.934602842922317,7394.6,1.0,4.938,821.6222222222223
low,2,1,Multi-feature k-means,0.9432681201940986,6888.0,1.0,4.64,765.3333333333334
low,2,1,Offline teacher,0.9347773115922188,7384.4,1.0,4.932,820.4888888888889
low,2,2,No grouping,0.9330000000000003,7500.0,1.0,5.0,833.3333333333334
low,2,2,CQI k-means,0.940734777698973,7047.8,1.0,4.734,783.0888888888888
low,2,2,Resource-cost k-means,0.9341049682427106,7435.4,1.0,4.962,826.1555555555556
low,2,2,Multi-feature k-means,0.942130527058186,6966.2,1.0,4.686,774.0222222222222
low,2,2,Offline teacher,0.934686530475716,7401.4,1.0,4.942,822.3777777777777
low,2,3,No grouping,0.9320000000000002,7500.0,1.0,5.0,833.3333333333334
low,2,3,CQI k-means,0.9403163399319783,7013.8,1.0,4.714,779.3111111111111
low,2,3,Resource-cost k-means,0.9320000000000002,7500.0,1.0,5.0,833.3333333333334
low,2,3,Multi-feature k-means,0.9436894008834099,6816.6,1.0,4.598,757.4
low,2,3,Offline teacher,0.9332794369126122,7425.2,1.0,4.956,825.0222222222222
low,2,4,No grouping,0.9284000000000001,7500.0,1.0,5.0,833.3333333333334
low,2,4,CQI k-means,0.9372397459416834,6983.2,1.0,4.696,775.9111111111112
low,2,4,Resource-cost k-means,0.9284000000000001,7500.0,1.0,5.0,833.3333333333334
low,2,4,Multi-feature k-means,0.9401475571067107,6813.2,1.0,4.596,757.0222222222222
low,2,4,Offline teacher,0.9287489373398035,7479.6,1.0,4.988,831.0666666666667
low,2,5,No grouping,0.9312,7500.0,1.0,5.0,833.3333333333334
low,2,5,CQI k-means,0.939807121048481,6996.8,1.0,4.704,777.4222222222222
low,2,5,Resource-cost k-means,0.9312,7500.0,1.0,5.0,833.3333333333334
low,2,5,Multi-feature k-means,0.9428894008834101,6816.6,1.0,4.598,757.4
low,2,5,Offline teacher,0.9319560309029074,7455.8,1.0,4.974,828.4222222222222
low,3,0,No grouping,0.9324000000000001,7500.0,1.0,5.0,833.3333333333334
low,3,0,CQI k-means,0.9404255588154756,7030.8,1.0,4.724,781.2
low,3,0,Resource-cost k-means,0.9339120618058143,7411.6,1.0,4.948,823.5111111111111
low,3,0,Multi-feature k-means,0.9442057133300111,6809.8,1.0,4.594,756.6444444444444
low,3,0,Offline teacher,0.9342028429223171,7394.6,1.0,4.938,821.6222222222223
low,3,1,No grouping,0.9296000000000001,7500.0,1.0,5.0,833.3333333333334
low,3,1,CQI k-means,0.937974496155279,7010.4,1.0,4.712,778.9333333333333
low,3,1,Resource-cost k-means,0.9311702180291149,7408.2,1.0,4.946,823.1333333333333
low,3,1,Multi-feature k-means,0.9390794643979892,6945.8,1.0,4.674,771.7555555555556
low,3,1,Offline teacher,0.9311702180291149,7408.2,1.0,4.946,823.1333333333333
low,3,2,No grouping,0.9328000000000002,7500.0,1.0,5.0,833.3333333333334
low,3,2,CQI k-means,0.9402439965824702,7064.8,1.0,4.744,784.9777777777778
low,3,2,Resource-cost k-means,0.9339049682427105,7435.4,1.0,4.962,826.1555555555556
low,3,2,Multi-feature k-means,0.9462340875824263,6714.6,1.0,4.538,746.0666666666667
low,3,2,Offline teacher,0.9340794369126122,7425.2,1.0,4.956,825.0222222222222
low,3,3,No grouping,0.9316000000000001,7500.0,1.0,5.0,833.3333333333334
low,3,3,CQI k-means,0.9399163399319783,7013.8,1.0,4.714,779.3111111111111
low,3,3,Resource-cost k-means,0.9331120618058144,7411.6,1.0,4.948,823.5111111111111
low,3,3,Multi-feature k-means,0.9436964944465139,6792.8,1.0,4.584,754.7555555555556
low,3,3,Offline teacher,0.9332283742524153,7404.8,1.0,4.944,822.7555555555556
low,3,4,No grouping,0.9294000000000001,7500.0,1.0,5.0,833.3333333333334
low,3,4,CQI k-means,0.9384723708348854,6969.6,1.0,4.688,774.4
low,3,4,Resource-cost k-means,0.9294000000000001,7500.0,1.0,5.0,833.3333333333334
low,3,4,Multi-feature k-means,0.940449682427104,6854.0,1.0,4.62,761.5555555555555
low,3,4,Offline teacher,0.9299815622330055,7466.0,1.0,4.98,829.5555555555555
low,3,5,No grouping,0.9326000000000001,7500.0,1.0,5.0,833.3333333333334
low,3,5,CQI k-means,0.9406837150387762,7027.4,1.0,4.722,780.8222222222222
low,3,5,Resource-cost k-means,0.9341702180291148,7408.2,1.0,4.946,823.1333333333333
low,3,5,Multi-feature k-means,0.9445220257766122,6803.0,1.0,4.59,755.8888888888889
low,3,5,Offline teacher,0.9341702180291148,7408.2,1.0,4.946,823.1333333333333
low,4,0,No grouping,0.9344000000000001,7500.0,1.0,5.0,833.3333333333334
low,4,0,CQI k-means,0.9417858403591696,7068.2,1.0,4.746,785.3555555555556
low,4,0,Resource-cost k-means,0.9351560309029072,7455.8,1.0,4.974,828.4222222222222
low,4,0,Multi-feature k-means,0.9460312446601095,6820.0,1.0,4.6,757.7777777777778
low,4,0,Offline teacher,0.9355049682427106,7435.4,1.0,4.962,826.1555555555556
low,4,1,No grouping,0.9312,7500.0,1.0,5.0,833.3333333333334
low,4,1,CQI k-means,0.9397489648251806,7000.2,1.0,4.706,777.8
low,4,1,Resource-cost k-means,0.9325957493592133,7418.4,1.0,4.952,824.2666666666667
low,4,1,Multi-feature k-means,0.9407376206212898,6942.4,1.0,4.672,771.3777777777777
low,4,1,Offline teacher,0.932770218029115,7408.2,1.0,4.946,823.1333333333333
low,4,2,No grouping,0.9332000000000001,7500.0,1.0,5.0,833.3333333333334
low,4,2,CQI k-means,0.9408184652523719,7054.6,1.0,4.738,783.8444444444444
low,4,2,Resource-cost k-means,0.934770218029115,7408.2,1.0,4.946,823.1333333333333
low,4,2,Multi-feature k-means,0.9449475571067105,6813.2,1.0,4.596,757.0222222222222
low,4,2,Offline teacher,0.9348865304757161,7401.4,1.0,4.942,822.3777777777777
low,4,3,No grouping,0.9368000000000001,7500.0,1.0,5.0,833.3333333333334
low,4,3,CQI k-means,0.955177366562973,6425.6,1.0,4.368,713.9555555555555
low,4,3,Resource-cost k-means,0.9368000000000001,7500.0,1.0,5.0,833.3333333333334
low,4,3,Multi-feature k-means,0.9480823073203062,6840.4,1.0,4.612,760.0444444444445
low,4,3,Offline teacher,0.9379631244660109,7432.0,1.0,4.96,825.7777777777778
low,4,4,No grouping,0.9356000000000001,7500.0,1.0,5.0,833.3333333333334
low,4,4,CQI k-means,0.9428695279125685,7075.0,1.0,4.75,786.1111111111111
low,4,4,Resource-cost k-means,0.9367049682427105,7435.4,1.0,4.962,826.1555555555556
low,4,4,Multi-feature k-means,0.946773088436809,6823.4,1.0,4.602,758.1555555555556
low,4,4,Offline teacher,0.9367844051553227,7360.6,1.0,4.918,817.8444444444444
low,4,5,No grouping,0.9318000000000002,7500.0,1.0,5.0,833.3333333333334
low,4,5,CQI k-means,0.9405234334950822,6990.0,1.0,4.7,776.6666666666666
low,4,5,Resource-cost k-means,0.9318000000000002,7500.0,1.0,5.0,833.3333333333334
low,4,5,Multi-feature k-means,0.9444780566795193,6758.8,1.0,4.564,750.9777777777778
low,4,5,Offline teacher,0.9330212806893117,7428.6,1.0,4.958,825.4
low,5,0,No grouping,0.9330000000000002,7500.0,1.0,5.0,833.3333333333334
low,5,0,CQI k-means,0.9404439965824701,7064.8,1.0,4.744,784.9777777777778
low,5,0,Resource-cost k-means,0.9330000000000002,7500.0,1.0,5.0,833.3333333333334
low,5,0,Multi-feature k-means,0.9430028704076943,6915.2,1.0,4.656,768.3555555555556
low,5,0,Offline teacher,0.9345702180291149,7408.2,1.0,4.946,823.1333333333333
low,5,1,No grouping,0.9328000000000001,7500.0,1.0,5.0,833.3333333333334
low,5,1,CQI k-means,0.9411163399319783,7013.8,1.0,4.714,779.3111111111111
low,5,1,Resource-cost k-means,0.9344283742524154,7404.8,1.0,4.944,822.7555555555556
low,5,1,Multi-feature k-means,0.9441986197669073,6833.6,1.0,4.608,759.2888888888889
low,5,1,Offline teacher,0.9344865304757161,7401.4,1.0,4.942,822.3777777777777
low,5,2,No grouping,0.9324000000000001,7500.0,1.0,5.0,833.3333333333334
low,5,2,CQI k-means,0.9401929339222735,7044.4,1.0,4.732,782.7111111111111
low,5,2,Resource-cost k-means,0.9336212806893117,7428.6,1.0,4.958,825.4
low,5,2,Multi-feature k-means,0.9436241510970057,6843.8,1.0,4.614,760.4222222222222
low,5,2,Offline teacher,0.9337957493592133,7418.4,1.0,4.952,824.2666666666667
low,5,3,No grouping,0.9338000000000002,7500.0,1.0,5.0,833.3333333333334
low,5,3,CQI k-means,0.9411858403591695,7068.2,1.0,4.746,785.3555555555556
low,5,3,Resource-cost k-means,0.9356609991456176,7391.2,1.0,4.936,821.2444444444444
low,5,3,Multi-feature k-means,0.9443262764173991,6884.6,1.0,4.638,764.9555555555555
low,5,3,Offline teacher,0.9357773115922188,7384.4,1.0,4.932,820.4888888888889
low,5,4,No grouping,0.9304000000000001,7500.0,1.0,5.0,833.3333333333334
low,5,4,CQI k-means,0.938367402592175,7034.2,1.0,4.726,781.5777777777778
low,5,4,Resource-cost k-means,0.931970218029115,7408.2,1.0,4.946,823.1333333333333
low,5,4,Multi-feature k-means,0.9432525253494212,6748.6,1.0,4.558,749.8444444444444
low,5,4,Offline teacher,0.9323191553689183,7387.8,1.0,4.934,820.8666666666667
low,5,5,No grouping,0.9362000000000001,7500.0,1.0,5.0,833.3333333333334
low,5,5,CQI k-means,0.9439347776989728,7047.8,1.0,4.734,783.0888888888888
low,5,5,Resource-cost k-means,0.9368397184563061,7462.6,1.0,4.978,829.1777777777778
low,5,5,Multi-feature k-means,0.9484199004562187,6762.2,1.0,4.566,751.3555555555556
low,5,5,Offline teacher,0.9371886557961094,7442.2,1.0,4.966,826.9111111111112
low,6,0,No grouping,0.931,7500.0,1.0,5.0,833.3333333333334
low,6,0,CQI k-means,0.9509475845920876,6333.8,1.0,4.314,703.7555555555556
low,6,0,Resource-cost k-means,0.931,7500.0,1.0,5.0,833.3333333333334
low,6,0,Multi-feature k-means,0.9423986197669072,6833.6,1.0,4.608,759.2888888888889
low,6,0,Offline teacher,0.9322794369126122,7425.2,1.0,4.956,825.0222222222222
low,6,1,No grouping,0.9304000000000001,7500.0,1.0,5.0,833.3333333333334
low,6,1,CQI k-means,0.9380766214756724,7051.2,1.0,4.736,783.4666666666667
low,6,1,Resource-cost k-means,0.9320283742524155,7404.8,1.0,4.944,822.7555555555556
low,6,1,Multi-feature k-means,0.9397049957280876,6956.0,1.0,4.68,772.8888888888889
low,6,1,Offline teacher,0.9321446866990166,7398.0,1.0,4.94,822.0
low,6,2,No grouping,0.9312,7500.0,1.0,5.0,833.3333333333334
low,6,2,CQI k-means,0.9395163399319784,7013.8,1.0,4.714,779.3111111111111
low,6,2,Resource-cost k-means,0.9313163124466012,7493.2,1.0,4.996,832.5777777777778
low,6,2,Multi-feature k-means,0.9426567759902078,6830.2,1.0,4.606,758.9111111111112
low,6,2,Offline teacher,0.9329446866990166,7398.0,1.0,4.94,822.0
low,6,3,No grouping,0.9300000000000002,7500.0,1.0,5.0,833.3333333333334
low,6,3,CQI k-means,0.9379092463688746,7037.6,1.0,4.728,781.9555555555555
low,6,3,Resource-cost k-means,0.9318028429223172,7394.6,1.0,4.938,821.6222222222223
low,6,3,Multi-feature k-means,0.9412823073203063,6840.4,1.0,4.612,760.0444444444445
low,6,3,Offline teacher,0.9320354678155193,7381.0,1.0,4.93,820.1111111111111
low,6,4,No grouping,0.9366000000000001,7500.0,1.0,5.0,833.3333333333334
low,6,4,CQI k-means,0.9441021528057706,7061.4,1.0,4.742,784.6
low,6,4,Resource-cost k-means,0.9373560309029072,7455.8,1.0,4.974,828.4222222222222
low,6,4,Multi-feature k-means,0.9458468395047871,6959.4,1.0,4.682,773.2666666666667
low,6,4,Offline teacher,0.9381702180291148,7408.2,1.0,4.946,823.1333333333333
low,6,5,No grouping,0.9346000000000001,7500.0,1.0,5.0,833.3333333333334
low,6,5,CQI k-means,0.9416950592426669,7085.2,1.0,4.756,787.2444444444444
low,6,5,Resource-cost k-means,0.9359375931359127,7421.8,1.0,4.954,824.6444444444444
low,6,5,Multi-feature k-means,0.9459404635436067,6837.0,1.0,4.61,759.6666666666666
low,6,5,Offline teacher,0.9359375931359127,7421.8,1.0,4.954,824.6444444444444
low,7,0,No grouping,0.9296000000000001,7500.0,1.0,5.0,833.3333333333334
low,7,0,CQI k-means,0.9378000274853773,7020.6,1.0,4.718,780.0666666666667
low,7,0,Resource-cost k-means,0.9296000000000001,7500.0,1.0,5.0,833.3333333333334
low,7,0,Multi-feature k-means,0.9408241510970057,6843.8,1.0,4.614,760.4222222222222
low,7,0,Offline teacher,0.9312865304757161,7401.4,1.0,4.942,822.3777777777777
low,7,1,No grouping,0.9344000000000001,7500.0,1.0,5.0,833.3333333333334
low,7,1,CQI k-means,0.9431815897183826,6986.6,1.0,4.698,776.2888888888889
low,7,1,Resource-cost k-means,0.9360283742524154,7404.8,1.0,4.944,822.7555555555556
low,7,1,Multi-feature k-means,0.9458057133300111,6809.8,1.0,4.594,756.6444444444444
low,7,1,Offline teacher,0.9360283742524154,7404.8,1.0,4.944,822.7555555555556
low,7,2,No grouping,0.9324000000000001,7500.0,1.0,5.0,833.3333333333334
low,7,2,CQI k-means,0.9400766214756724,7051.2,1.0,4.736,783.4666666666667
low,7,2,Resource-cost k-means,0.9335049682427106,7435.4,1.0,4.962,826.1555555555556
low,7,2,Multi-feature k-means,0.9444383382232133,6796.2,1.0,4.586,755.1333333333333
low,7,2,Offline teacher,0.9336794369126122,7425.2,1.0,4.956,825.0222222222222
low,7,3,No grouping,0.9326000000000001,7500.0,1.0,5.0,833.3333333333334
low,7,3,CQI k-means,0.9406255588154756,7030.8,1.0,4.724,781.2
low,7,3,Resource-cost k-means,0.9326000000000001,7500.0,1.0,5.0,833.3333333333334
low,7,3,Multi-feature k-means,0.9446383382232133,6796.2,1.0,4.586,755.1333333333333
low,7,3,Offline teacher,0.9339957493592133,7418.4,1.0,4.952,824.2666666666667
low,7,4,No grouping,0.9276000000000001,7500.0,1.0,5.0,833.3333333333334
low,7,4,CQI k-means,0.9364979021649839,6979.8,1.0,4.694,775.5333333333333
low,7,4,Resource-cost k-means,0.9276000000000001,7500.0,1.0,5.0,833.3333333333334
low,7,4,Multi-feature k-means,0.9403362129028198,6755.4,1.0,4.562,750.6
low,7,4,Offline teacher,0.9287631244660111,7432.0,1.0,4.96,825.7777777777778
low,7,5,No grouping,0.931,7500.0,1.0,5.0,833.3333333333334
low,7,5,CQI k-means,0.939607121048481,6996.8,1.0,4.704,777.4222222222222
low,7,5,Resource-cost k-means,0.9322794369126123,7425.2,1.0,4.956,825.0222222222222
low,7,5,Multi-feature k-means,0.9426312446601096,6820.0,1.0,4.6,757.7777777777778
low,7,5,Offline teacher,0.9326283742524155,7404.8,1.0,4.944,822.7555555555556
low,8,0,No grouping,0.9318000000000001,7500.0,1.0,5.0,833.3333333333334
low,8,0,CQI k-means,0.9393603090290712,7058.0,1.0,4.74,784.2222222222222
low,8,0,Resource-cost k-means,0.9330212806893118,7428.6,1.0,4.958,825.4
low,8,0,Multi-feature k-means,0.943896494446514,6792.8,1.0,4.584,754.7555555555556
low,8,0,Offline teacher,0.9330794369126122,7425.2,1.0,4.956,825.0222222222222
low,8,1,No grouping,0.9336000000000001,7500.0,1.0,5.0,833.3333333333334
low,8,1,CQI k-means,0.9416837150387762,7027.4,1.0,4.722,780.8222222222222
low,8,1,Resource-cost k-means,0.9347049682427105,7435.4,1.0,4.962,826.1555555555556
low,8,1,Multi-feature k-means,0.9457106815727215,6745.2,1.0,4.556,749.4666666666667
low,8,1,Offline teacher,0.9347631244660111,7432.0,1.0,4.96,825.7777777777778
low,8,2,No grouping,0.9314000000000001,7500.0,1.0,5.0,833.3333333333334
low,8,2,CQI k-means,0.9393092463688745,7037.6,1.0,4.728,781.9555555555555
low,8,2,Resource-cost k-means,0.9324468120194099,7438.8,1.0,4.964,826.5333333333333
low,8,2,Multi-feature k-means,0.9423333699805029,6860.8,1.0,4.624,762.3111111111111
low,8,2,Offline teacher,0.9331446866990165,7398.0,1.0,4.94,822.0
low,8,3,No grouping,0.9294000000000001,7500.0,1.0,5.0,833.3333333333334
low,8,3,CQI k-means,0.9384142146115848,6973.0,1.0,4.69,774.7777777777778
low,8,3,Resource-cost k-means,0.9307957493592134,7418.4,1.0,4.952,824.2666666666667
low,8,3,Multi-feature k-means,0.9420269940193227,6738.4,1.0,4.552,748.7111111111111
low,8,3,Offline teacher,0.9307957493592134,7418.4,1.0,4.952,824.2666666666667
low,8,4,No grouping,0.9348000000000002,7500.0,1.0,5.0,833.3333333333334
low,8,4,CQI k-means,0.9416624343494646,7098.8,1.0,4.764,788.7555555555556
low,8,4,Resource-cost k-means,0.935963124466011,7432.0,1.0,4.96,825.7777777777778
low,8,4,Multi-feature k-means,0.9468383382232133,6796.2,1.0,4.586,755.1333333333333
low,8,4,Offline teacher,0.935963124466011,7432.0,1.0,4.96,825.7777777777778
low,8,5,No grouping,0.9324000000000001,7500.0,1.0,5.0,833.3333333333334
low,8,5,CQI k-means,0.9407163399319783,7013.8,1.0,4.714,779.3111111111111
low,8,5,Resource-cost k-means,0.9324000000000001,7500.0,1.0,5.0,833.3333333333334
low,8,5,Multi-feature k-means,0.9442709631164153,6782.6,1.0,4.578,753.6222222222223
low,8,5,Offline teacher,0.933970218029115,7408.2,1.0,4.946,823.1333333333333
low,9,0,No grouping,0.9338000000000001,7500.0,1.0,5.0,833.3333333333334
low,9,0,CQI k-means,0.9420000274853773,7020.6,1.0,4.718,780.0666666666667
low,9,0,Resource-cost k-means,0.9362425613786233,7357.2,1.0,4.916,817.4666666666667
low,9,0,Multi-feature k-means,0.9439191828542953,6908.4,1.0,4.652,767.6
low,9,0,Offline teacher,0.936649654941727,7333.4,1.0,4.902,814.8222222222222
low,9,1,No grouping,0.9256000000000001,7500.0,1.0,5.0,833.3333333333334
low,9,1,CQI k-means,0.9343234334950821,6990.0,1.0,4.7,776.6666666666666
low,9,1,Resource-cost k-means,0.9256000000000001,7500.0,1.0,5.0,833.3333333333334
low,9,1,Multi-feature k-means,0.9365915262038035,6857.4,1.0,4.622,761.9333333333333
low,9,1,Offline teacher,0.9257744686699018,7489.8,1.0,4.994,832.2
low,9,2,No grouping,0.9334000000000001,7500.0,1.0,5.0,833.3333333333334
