dispersion,load,seed,step,is_warmup,method,utility,adr_kbps,served_ratio,average_quality,system_spectral_efficiency,fairness,avg_switching,quality_switch_rate,quality_change_levels,pairwise_group_churn,groups
low,light,seed_0031,0,1,NoGrouping_single_group,0.5290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0,0.8000000000000002,1.0,4.0,0.0,1
low,light,seed_0031,1,0,NoGrouping_single_group,0.9290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0031,2,0,NoGrouping_single_group,0.9290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0031,3,0,NoGrouping_single_group,0.9290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0031,4,0,NoGrouping_single_group,0.9290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0031,5,0,NoGrouping_single_group,0.9290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0031,6,0,NoGrouping_single_group,0.9290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0031,7,0,NoGrouping_single_group,0.9290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0031,8,0,NoGrouping_single_group,0.9290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0031,9,0,NoGrouping_single_group,0.9290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0031,10,0,NoGrouping_single_group,0.9290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0031,11,0,NoGrouping_single_group,0.9290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0031,12,0,NoGrouping_single_group,0.9290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0031,13,0,NoGrouping_single_group,0.9290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0031,14,0,NoGrouping_single_group,0.9290781116502739,5800.0,1.0,4.0,64.44444444444444,1.0,0.0,0.0,0.0,0.0,1
low,light,seed_0031,0,1,MethodA_proxy_kmeans,0.5116271316229174,5270.833333333333,1.0,3.7916666666666665,58.56481481481482,0.9497335185053296,0.7583333333333334,1.0,3.7916666666666665,0.0,3
low,light,seed_0031,1,0,MethodA_proxy_kmeans,0.8585795599580098,5091.666666666667,1.0,3.7083333333333335,56.574074074074076,0.9277453056193401,0.03333333333333333,0.16666666666666666,0.16666666666666666,0.21739130434782608,3
low,light,seed_0031,2,0,MethodA_proxy_kmeans,0.8506359704923963,5037.5,1.0,3.7083333333333335,55.97222222222222,0.9329989889241234,0.05000000000000001,0.25,0.25,0.2246376811594203,3
low,light,seed_0031,3,0,MethodA_proxy_kmeans,0.8506359704923963,5037.5,1.0,3.7083333333333335,55.97222222222222,0.9329989889241234,0.05000000000000001,0.25,0.25,0.3695652173913043,3
low,light,seed_0031,4,0,MethodA_proxy_kmeans,0.8335795599580097,5091.666666666667,1.0,3.7083333333333335,56.574074074074076,0.9277453056193401,0.08333333333333333,0.3333333333333333,0.4166666666666667,0.43478260869565216,3
low,light,seed_0031,5,0,MethodA_proxy_kmeans,0.8100883988274884,4858.333333333333,1.0,3.625,53.98148148148148,0.9116509489630608,0.09999999999999999,0.4166666666666667,0.5,0.45652173913043476,3
low,light,seed_0031,6,0,MethodA_proxy_kmeans,0.851025714360116,4983.333333333333,1.0,3.7083333333333335,55.370370370370374,0.9387705813172043,0.05000000000000001,0.20833333333333334,0.25,0.2898550724637681,2
low,light,seed_0031,7,0,MethodA_proxy_kmeans,0.8695957893892311,5333.333333333333,1.0,3.8333333333333335,59.25925925925926,0.963130173062453,0.05833333333333333,0.2916666666666667,0.2916666666666667,0.4311594202898551,2
low,light,seed_0031,8,0,MethodA_proxy_kmeans,0.9124114449836073,5800.0,1.0,4.0,64.44444444444444,1.0,0.03333333333333333,0.16666666666666666,0.16666666666666666,0.3442028985507246,2
low,light,seed_0031,9,0,MethodA_proxy_kmeans,0.8343339793927491,4975.0,1.0,3.6666666666666665,55.27777777777778,0.9194993963035201,0.06666666666666667,0.25,0.3333333333333333,0.3442028985507246,3
low,light,seed_0031,10,0,MethodA_proxy_kmeans,0.8381359704923962,5037.5,1.0,3.7083333333333335,55.97222222222222,0.9329989889241234,0.075,0.2916666666666667,0.375,0.38768115942028986,3
low,light,seed_0031,11,0,MethodA_proxy_kmeans,0.8385006460594157,4975.0,1.0,3.6666666666666665,55.27777777777778,0.9194993963035201,0.05833333333333334,0.2916666666666667,0.2916666666666667,0.27898550724637683,3
