dispersion,load,seed,method,mean_utility
low,light,seed_0045,Candidate_union_final,0.9290781116502738
low,light,seed_0045,OptimalCutpoint_upperbound,0.9290781116502738
low,light,seed_0046,NoGrouping_single_group,0.9290781116502738
low,light,seed_0046,MethodA_proxy_kmeans,0.8540393958461755
low,light,seed_0046,MethodB_cutpoint_stddev,0.9125688357302012
low,light,seed_0046,CQI_kmeans_published,0.9290781116502738
low,light,seed_0046,Candidate_union_final,0.9290781116502738
low,light,seed_0046,OptimalCutpoint_upperbound,0.9290781116502738
low,light,seed_0047,NoGrouping_single_group,0.9290781116502738
low,light,seed_0047,MethodA_proxy_kmeans,0.8771819426373751
low,light,seed_0047,MethodB_cutpoint_stddev,0.9230975471626807
low,light,seed_0047,CQI_kmeans_published,0.9290781116502738
low,light,seed_0047,Candidate_union_final,0.9290781116502738
low,light,seed_0047,OptimalCutpoint_upperbound,0.9290781116502738
low,light,seed_0048,NoGrouping_single_group,0.9290781116502738
low,light,seed_0048,MethodA_proxy_kmeans,0.8888585450039402
low,light,seed_0048,MethodB_cutpoint_stddev,0.9159768124012785
low,light,seed_0048,CQI_kmeans_published,0.9290781116502738
low,light,seed_0048,Candidate_union_final,0.9290781116502738
low,light,seed_0048,OptimalCutpoint_upperbound,0.9290781116502738
low,light,seed_0049,NoGrouping_single_group,0.9290781116502738
low,light,seed_0049,MethodA_proxy_kmeans,0.8749736087224396
low,light,seed_0049,MethodB_cutpoint_stddev,0.9184116518847123
low,light,seed_0049,CQI_kmeans_published,0.9290781116502738
low,light,seed_0049,Candidate_union_final,0.9290781116502738
low,light,seed_0049,OptimalCutpoint_upperbound,0.9290781116502738
low,light,seed_0050,NoGrouping_single_group,0.9290781116502738
low,light,seed_0050,MethodA_proxy_kmeans,0.871612701469733
low,light,seed_0050,MethodB_cutpoint_stddev,0.9126117656741096
low,light,seed_0050,CQI_kmeans_published,0.9290781116502738
low,light,seed_0050,Candidate_union_final,0.9290781116502738
low,light,seed_0050,OptimalCutpoint_upperbound,0.9290781116502738
low,medium,seed_0031,NoGrouping_single_group,0.7458908876244649
low,medium,seed_0031,MethodA_proxy_kmeans,0.6081377623321221
low,medium,seed_0031,MethodB_cutpoint_stddev,0.7121943462479173
low,medium,seed_0031,CQI_kmeans_published,0.7458908876244649
low,medium,seed_0031,Candidate_union_final,0.7458908876244649
low,medium,seed_0031,OptimalCutpoint_upperbound,0.7458908876244649
low,medium,seed_0032,NoGrouping_single_group,0.7471841780840182
low,medium,seed_0032,MethodA_proxy_kmeans,0.6957800371360398
low,medium,seed_0032,MethodB_cutpoint_stddev,0.7436908942769509
low,medium,seed_0032,CQI_kmeans_published,0.7471841780840182
low,medium,seed_0032,Candidate_union_final,0.7471841780840182
low,medium,seed_0032,OptimalCutpoint_upperbound,0.7471841780840182
low,medium,seed_0033,NoGrouping_single_group,0.7471841780840182
low,medium,seed_0033,MethodA_proxy_kmeans,0.6269297233955856
low,medium,seed_0033,MethodB_cutpoint_stddev,0.7326939495248724
low,medium,seed_0033,CQI_kmeans_published,0.7471841780840182
low,medium,seed_0033,Candidate_union_final,0.7471841780840182
low,medium,seed_0033,OptimalCutpoint_upperbound,0.7471841780840182
low,medium,seed_0034,NoGrouping_single_group,0.7471841780840182
low,medium,seed_0034,MethodA_proxy_kmeans,0.6598173420808837
low,medium,seed_0034,MethodB_cutpoint_stddev,0.7358973294077761
low,medium,seed_0034,CQI_kmeans_published,0.7471841780840182
low,medium,seed_0034,Candidate_union_final,0.7471841780840182
low,medium,seed_0034,OptimalCutpoint_upperbound,0.7471841780840182
low,medium,seed_0035,NoGrouping_single_group,0.7471841780840182
low,medium,seed_0035,MethodA_proxy_kmeans,0.6722391973165223
low,medium,seed_0035,MethodB_cutpoint_stddev,0.738490040948531
low,medium,seed_0035,CQI_kmeans_published,0.7471841780840182
low,medium,seed_0035,Candidate_union_final,0.7471841780840182
low,medium,seed_0035,OptimalCutpoint_upperbound,0.7471841780840182
low,medium,seed_0036,NoGrouping_single_group,0.7471841780840182
low,medium,seed_0036,MethodA_proxy_kmeans,0.644651257958089
low,medium,seed_0036,MethodB_cutpoint_stddev,0.7272369556505314
low,medium,seed_0036,CQI_kmeans_published,0.7471841780840182
low,medium,seed_0036,Candidate_union_final,0.7471841780840182
low,medium,seed_0036,OptimalCutpoint_upperbound,0.7471841780840182
low,medium,seed_0037,NoGrouping_single_group,0.7471841780840182
low,medium,seed_0037,MethodA_proxy_kmeans,0.6598482148993862
low,medium,seed_0037,MethodB_cutpoint_stddev,0.7313515258076239
low,medium,seed_0037,CQI_kmeans_published,0.7471841780840182
low,medium,seed_0037,Candidate_union_final,0.7471841780840182
low,medium,seed_0037,OptimalCutpoint_upperbound,0.7471841780840182
low,medium,seed_0038,NoGrouping_single_group,0.745890887624465
low,medium,seed_0038,MethodA_proxy_kmeans,0.6742800832677125
low,medium,seed_0038,MethodB_cutpoint_stddev,0.7394995581055686
low,medium,seed_0038,CQI_kmeans_published,0.745890887624465
low,medium,seed_0038,Candidate_union_final,0.745890887624465
low,medium,seed_0038,OptimalCutpoint_upperbound,0.745890887624465
low,medium,seed_0039,NoGrouping_single_group,0.745890887624465
low,medium,seed_0039,MethodA_proxy_kmeans,0.6330239164286281
low,medium,seed_0039,MethodB_cutpoint_stddev,0.7203453417977407
low,medium,seed_0039,CQI_kmeans_published,0.745890887624465
low,medium,seed_0039,Candidate_union_final,0.745890887624465
low,medium,seed_0039,OptimalCutpoint_upperbound,0.745890887624465
low,medium,seed_0040,NoGrouping_single_group,0.7471841780840182
low,medium,seed_0040,MethodA_proxy_kmeans,0.662024584543918
low,medium,seed_0040,MethodB_cutpoint_stddev,0.7379546144863225
low,medium,seed_0040,CQI_kmeans_published,0.7471841780840182
low,medium,seed_0040,Candidate_union_final,0.7471841780840182
low,medium,seed_0040,OptimalCutpoint_upperbound,0.7471841780840182
low,medium,seed_0041,NoGrouping_single_group,0.7471841780840182
low,medium,seed_0041,MethodA_proxy_kmeans,0.6411922762293384
low,medium,seed_0041,MethodB_cutpoint_stddev,0.724424769826519
low,medium,seed_0041,CQI_kmeans_published,0.7471841780840182
low,medium,seed_0041,Candidate_union_final,0.7471841780840182
low,medium,seed_0041,OptimalCutpoint_upperbound,0.7471841780840182
low,medium,seed_0042,NoGrouping_single_group,0.7471841780840182
low,medium,seed_0042,MethodA_proxy_kmeans,0.648254098048094
low,medium,seed_0042,MethodB_cutpoint_stddev,0.7329394720629171
low,medium,seed_0042,CQI_kmeans_published,0.7471841780840182
low,medium,seed_0042,Candidate_union_final,0.7471841780840182
low,medium,seed_0042,OptimalCutpoint_upperbound,0.7471841780840182
low,medium,seed_0043,NoGrouping_single_group,0.7471841780840182
low,medium,seed_0043,MethodA_proxy_kmeans,0.6358881987622146
low,medium,seed_0043,MethodB_cutpoint_stddev,0.728777147398201
low,medium,seed_0043,CQI_kmeans_published,0.7471841780840182
low,medium,seed_0043,Candidate_union_final,0.7471841780840182
low,medium,seed_0043,OptimalCutpoint_upperbound,0.7471841780840182
low,medium,seed_0044,NoGrouping_single_group,0.7458908876244649
low,medium,seed_0044,MethodA_proxy_kmeans,0.6823143461112166
low,medium,seed_0044,MethodB_cutpoint_stddev,0.7374683212818093
low,medium,seed_0044,CQI_kmeans_published,0.7458908876244649
low,medium,seed_0044,Candidate_union_final,0.741448322690803
low,medium,seed_0044,OptimalCutpoint_upperbound,0.7458908876244649
low,medium,seed_0045,NoGrouping_single_group,0.7458908876244649
low,medium,seed_0045,MethodA_proxy_kmeans,0.6387711556337702
low,medium,seed_0045,MethodB_cutpoint_stddev,0.7333233753957665
low,medium,seed_0045,CQI_kmeans_published,0.7458908876244649
low,medium,seed_0045,Candidate_union_final,0.741448322690803
low,medium,seed_0045,OptimalCutpoint_upperbound,0.741448322690803
low,medium,seed_0046,NoGrouping_single_group,0.7471841780840182
low,medium,seed_0046,MethodA_proxy_kmeans,0.6237267576114579
low,medium,seed_0046,MethodB_cutpoint_stddev,0.7298036189364988
low,medium,seed_0046,CQI_kmeans_published,0.7471841780840182
low,medium,seed_0046,Candidate_union_final,0.7471841780840182
low,medium,seed_0046,OptimalCutpoint_upperbound,0.7471841780840182
low,medium,seed_0047,NoGrouping_single_group,0.7471841780840182
low,medium,seed_0047,MethodA_proxy_kmeans,0.6671656262393084
low,medium,seed_0047,MethodB_cutpoint_stddev,0.7410644193579535
low,medium,seed_0047,CQI_kmeans_published,0.7471841780840182
low,medium,seed_0047,Candidate_union_final,0.7471841780840182
low,medium,seed_0047,OptimalCutpoint_upperbound,0.7471841780840182
low,medium,seed_0048,NoGrouping_single_group,0.7445975971649118
low,medium,seed_0048,MethodA_proxy_kmeans,0.6781524313161267
low,medium,seed_0048,MethodB_cutpoint_stddev,0.7257844269381636
low,medium,seed_0048,CQI_kmeans_published,0.7401550322312499
low,medium,seed_0048,Candidate_union_final,0.7401550322312499
low,medium,seed_0048,OptimalCutpoint_upperbound,0.7401550322312499
low,medium,seed_0049,NoGrouping_single_group,0.7458908876244649
low,medium,seed_0049,MethodA_proxy_kmeans,0.6529150686096952
low,medium,seed_0049,MethodB_cutpoint_stddev,0.7294847180334566
low,medium,seed_0049,CQI_kmeans_published,0.741448322690803
