timestamp_s,ue_id,serving_gnb,active_ues_same_gnb,raw_feedback_timestamp_s,achievable_kbps_if_all_budget_assigned,effective_capacity_kbps,ewma_capacity_kbps,buffer_s,previous_quality,next_quality,stalled
0.2,0,gnb_2,1,0.294,9280.000000,9280.000000,5104.000000,3.587273,1,1,0
0.3,0,gnb_2,1,0.396,9280.000000,9280.000000,6565.600000,5.174545,1,2,0
0.4,0,gnb_2,1,0.498,9280.000000,9280.000000,7515.640000,5.693212,2,3,0
0.5,0,gnb_2,1,0.594,9280.000000,9280.000000,8133.166000,5.902545,3,4,0
0.6,0,gnb_2,1,0.696,9280.000000,9280.000000,8534.557900,5.962545,4,5,0
0.7,0,gnb_2,1,0.798,9280.000000,9280.000000,8795.462635,5.986279,5,5,0
0.8,0,gnb_2,1,0.894,9280.000000,9280.000000,8965.050713,6.010012,5,5,0
0.9,0,gnb_2,1,0.996,9280.000000,9280.000000,9075.282963,6.033745,5,5,0
1.0,0,gnb_2,1,1.098,9280.000000,9280.000000,9146.933926,6.057479,5,5,0
1.1,0,gnb_2,1,1.194,9280.000000,9280.000000,9193.507052,6.081212,5,5,0
1.2,0,gnb_2,1,1.296,9280.000000,9280.000000,9223.779584,6.104945,5,5,0
1.3,0,gnb_2,1,1.398,9280.000000,9280.000000,9243.456729,6.128679,5,5,0
1.4,0,gnb_2,1,1.494,9280.000000,9280.000000,9256.246874,6.152412,5,5,0
1.5,0,gnb_2,1,1.596,9280.000000,9280.000000,9264.560468,6.176145,5,5,0
1.6,0,gnb_2,1,1.698,9280.000000,9280.000000,9269.964304,6.199879,5,5,0
1.7,0,gnb_2,1,1.794,9280.000000,9280.000000,9273.476798,6.223612,5,5,0
1.8,0,gnb_2,1,1.896,9280.000000,9280.000000,9275.759919,6.247345,5,5,0
1.9,0,gnb_2,1,1.998,9280.000000,9280.000000,9277.243947,6.271079,5,5,0
2.0,0,gnb_2,1,2.094,9184.000000,9184.000000,9244.608566,6.293532,5,5,0
2.1,0,gnb_2,1,2.196,9184.000000,9184.000000,9223.395568,6.315985,5,5,0
2.2,0,gnb_2,1,2.298,9184.000000,9184.000000,9209.607119,6.338439,5,5,0
2.3,0,gnb_2,1,2.394,9184.000000,9184.000000,9200.644627,6.360892,5,5,0
2.4,0,gnb_2,1,2.496,9184.000000,9184.000000,9194.819008,6.383345,5,5,0
2.5,0,gnb_2,1,2.598,9184.000000,9184.000000,9191.032355,6.405799,5,5,0
2.6,0,gnb_2,1,2.694,9184.000000,9184.000000,9188.571031,6.428252,5,5,0
2.7,0,gnb_2,1,2.796,9184.000000,9184.000000,9186.971170,6.450705,5,5,0
2.8,0,gnb_2,1,2.898,9184.000000,9184.000000,9185.931261,6.473159,5,5,0
2.9,0,gnb_2,1,2.994,9184.000000,9184.000000,9185.255319,6.495612,5,5,0
3.0,0,gnb_2,1,3.096,9184.000000,9184.000000,9184.815958,6.518065,5,5,0
3.1,0,gnb_2,1,3.198,9184.000000,9184.000000,9184.530372,6.540519,5,5,0
3.2,0,gnb_2,1,3.294,9184.000000,9184.000000,9184.344742,6.562972,5,5,0
3.3,0,gnb_2,1,3.396,9184.000000,9184.000000,9184.224082,6.585425,5,5,0
3.4,0,gnb_2,1,3.498,9184.000000,9184.000000,9184.145654,6.607879,5,5,0
3.5,0,gnb_2,1,3.594,9184.000000,9184.000000,9184.094675,6.630332,5,5,0
3.6,0,gnb_2,1,3.696,9184.000000,9184.000000,9184.061539,6.652785,5,5,0
3.7,0,gnb_2,1,3.798,9184.000000,9184.000000,9184.040000,6.675239,5,5,0
3.8,0,gnb_2,1,3.894,9184.000000,9184.000000,9184.026000,6.697692,5,5,0
3.9,0,gnb_2,1,3.996,9024.000000,9024.000000,9128.016900,6.718012,5,5,0
4.0,0,gnb_2,1,4.098,9024.000000,9024.000000,9091.610985,6.738332,5,5,0
4.1,0,gnb_2,1,4.194,9024.000000,9024.000000,9067.947140,6.758652,5,5,0
4.2,0,gnb_2,1,4.296,9024.000000,9024.000000,9052.565641,6.778972,5,5,0
