dispersion,metric,method,mean,pct_of_best
low,utility,No grouping,0.9316955555555557,98.80320958841808
low,utility,CQI k-means,0.9402955686211889,99.71521232184341
low,utility,Resource-cost k-means,0.9327656300642858,98.9166874249612
low,utility,Multi-feature k-means,0.9429810624945234,100.0
low,utility,Offline teacher,0.9333272557787359,98.9762459608415
low,adr_kbps,No grouping,7500.0,100.0
low,adr_kbps,CQI k-means,6997.215555555556,93.29620740740742
low,adr_kbps,Resource-cost k-means,7437.44,99.16586666666666
low,adr_kbps,Multi-feature k-means,6836.055555555555,91.1474074074074
low,adr_kbps,Offline teacher,7395.771111111112,98.6102814814815
low,served_ratio,No grouping,1.0,100.0
low,served_ratio,CQI k-means,1.0,100.0
low,served_ratio,Resource-cost k-means,1.0,100.0
low,served_ratio,Multi-feature k-means,1.0,100.0
low,served_ratio,Offline teacher,1.0,100.0
low,average_quality,No grouping,5.0,100.0
low,average_quality,CQI k-means,4.704244444444444,94.08488888888888
low,average_quality,Resource-cost k-means,4.9632000000000005,99.26400000000001
low,average_quality,Multi-feature k-means,4.609444444444444,92.18888888888887
low,average_quality,Offline teacher,4.93868888888889,98.7737777777778
low,system_spectral_efficiency,No grouping,500.0,100.0
low,system_spectral_efficiency,CQI k-means,466.481037037037,93.29620740740741
low,system_spectral_efficiency,Resource-cost k-means,495.8293333333333,99.16586666666666
low,system_spectral_efficiency,Multi-feature k-means,455.7370370370369,91.14740740740737
low,system_spectral_efficiency,Offline teacher,493.05140740740745,98.6102814814815
mid_v2,utility,No grouping,0.5993682492868414,81.84376506663406
mid_v2,utility,CQI k-means,0.6696988827994779,91.44741666653894
mid_v2,utility,Resource-cost k-means,0.6893191069907604,94.12655928241269
mid_v2,utility,Multi-feature k-means,0.671392708056959,91.67870859199907
mid_v2,utility,Offline teacher,0.7323322049014469,100.0
mid_v2,adr_kbps,No grouping,2500.0,55.990790634756394
mid_v2,adr_kbps,CQI k-means,3398.546666666666,76.11492595031301
mid_v2,adr_kbps,Resource-cost k-means,3713.948888888889,83.17877386638557
mid_v2,adr_kbps,Multi-feature k-means,3199.165555555556,71.6495235308141
mid_v2,adr_kbps,Offline teacher,4465.02,100.0
mid_v2,served_ratio,No grouping,1.0,100.0
mid_v2,served_ratio,CQI k-means,1.0,100.0
mid_v2,served_ratio,Resource-cost k-means,0.9973555555555556,99.73555555555555
mid_v2,served_ratio,Multi-feature k-means,1.0,100.0
mid_v2,served_ratio,Offline teacher,0.9961555555555557,99.61555555555557
mid_v2,average_quality,No grouping,2.6666666666666665,79.68165864525967
mid_v2,average_quality,CQI k-means,2.9225777777777777,87.32844181991642
mid_v2,average_quality,Resource-cost k-means,3.1273138458928695,93.4460828793862
mid_v2,average_quality,Multi-feature k-means,2.9603555555555556,88.45726531739095
mid_v2,average_quality,Offline teacher,3.346650549204285,100.0
mid_v2,system_spectral_efficiency,No grouping,166.66666666666666,55.990790634756394
mid_v2,system_spectral_efficiency,CQI k-means,226.56977777777774,76.11492595031302
mid_v2,system_spectral_efficiency,Resource-cost k-means,247.5965925925926,83.17877386638557
mid_v2,system_spectral_efficiency,Multi-feature k-means,213.27770370370368,71.64952353081408
mid_v2,system_spectral_efficiency,Offline teacher,297.668,100.0
high,utility,No grouping,0.12208639978752515,29.738760649800295
high,utility,CQI k-means,0.3351765668823716,81.64493109211283
high,utility,Resource-cost k-means,0.2659372744353977,64.77908240441583
high,utility,Multi-feature k-means,0.33785767186034604,82.29801562368829
high,utility,Offline teacher,0.41052954837358024,100.0
high,adr_kbps,No grouping,550.0,31.021665656634656
high,adr_kbps,CQI k-means,1564.93,88.26679133824959
high,adr_kbps,Resource-cost k-means,1090.0922222222223,61.48450264122848
high,adr_kbps,Multi-feature k-means,1772.9544444444446,100.0
high,adr_kbps,Offline teacher,1765.1733333333334,99.56112176849815
high,served_ratio,No grouping,1.0,100.0
high,served_ratio,CQI k-means,1.0,100.0
high,served_ratio,Resource-cost k-means,0.9915555555555554,99.15555555555554
high,served_ratio,Multi-feature k-means,0.9982000000000001,99.82000000000001
high,served_ratio,Offline teacher,1.0,100.0
high,average_quality,No grouping,1.0,54.192056648763234
high,average_quality,CQI k-means,1.6176444444444442,87.66347937089044
high,average_quality,Resource-cost k-means,1.4154098700236541,76.70397185754047
high,average_quality,Multi-feature k-means,1.7223186562918555,93.33599018899
high,average_quality,Offline teacher,1.8452888888888885,100.0
high,system_spectral_efficiency,No grouping,36.66666666666666,31.021665656634646
high,system_spectral_efficiency,CQI k-means,104.32866666666666,88.26679133824958
high,system_spectral_efficiency,Resource-cost k-means,72.67281481481481,61.48450264122847
high,system_spectral_efficiency,Multi-feature k-means,118.19696296296298,100.0
high,system_spectral_efficiency,Offline teacher,117.67822222222222,99.56112176849813
