method,utility,adr_kbps,used_spectral_efficiency,system_spectral_efficiency,served_ratio,unserved_ratio,average_quality,rb_utilization,avg_switching,fairness,avg_groups,selected_epoch,selection_validation_loss,pair_sampling,train_positive_pairs,train_negative_pairs,train_active_negative_ratio,train_mean_negative_distance,dataset,feature_mode,max_groups,rb_budget_ratio,test_ue_ids,train_ue_ids,seed
No grouping,0.7104043304497352,5602.433090024331,18.239549942712962,12.396931603135984,1.0,0.0,3.929440389294404,0.6864355231143552,0.4116788321167883,1.0,1.0,12,0.0003842281287516752,random_balanced,2.6366906474820144,0.0,0.0,nan,p3_6_coupled_trace,history_cost_quality,3,0.32,0|1|2|3,15|31|4|5|6|7,9
CQI k-means,0.7116255239935272,5656.995133819952,18.157433154391793,12.548492835901598,1.0,0.0,3.9452554744525545,0.7007299270072993,0.4148418491484185,0.995748459950942,1.0316301703163018,12,0.0003842281287516752,random_balanced,2.6366906474820144,0.0,0.0,nan,p3_6_coupled_trace,history_cost_quality,3,0.32,0|1|2|3,15|31|4|5|6|7,9
Resource-cost k-means,0.7126588416075051,5703.16301703163,18.070754322275004,12.676736955934038,1.0,0.0,3.9586374695863746,0.7138077858880778,0.41751824817518246,0.9921510029863545,1.0583941605839415,12,0.0003842281287516752,random_balanced,2.6366906474820144,0.0,0.0,nan,p3_6_coupled_trace,history_cost_quality,3,0.32,0|1|2|3,15|31|4|5|6|7,9
Multi-feature k-means,0.7126588416075051,5703.16301703163,18.070754322275004,12.676736955934038,1.0,0.0,3.9586374695863746,0.7138077858880778,0.41751824817518246,0.9921510029863545,1.0583941605839415,12,0.0003842281287516752,random_balanced,2.6366906474820144,0.0,0.0,nan,p3_6_coupled_trace,history_cost_quality,3,0.32,0|1|2|3,15|31|4|5|6|7,9
Offline teacher,0.7126588416075051,5703.16301703163,18.070754322275004,12.676736955934038,1.0,0.0,3.9586374695863746,0.7138077858880778,0.41751824817518246,0.9921510029863545,1.0583941605839415,12,0.0003842281287516752,random_balanced,2.6366906474820144,0.0,0.0,nan,p3_6_coupled_trace,history_cost_quality,3,0.32,0|1|2|3,15|31|4|5|6|7,9
LE-GRA MVP,0.7117194619584342,5661.192214111922,18.156926260636723,12.560151392268182,1.0,0.0,3.94647201946472,0.7016423357664233,0.41508515815085156,0.9954214184087069,1.0340632603406326,12,0.0003842281287516752,random_balanced,2.6366906474820144,0.0,0.0,nan,p3_6_coupled_trace,history_cost_quality,3,0.32,0|1|2|3,15|31|4|5|6|7,9
