split_name,scenario_id,timestamp_s,serving_gnb,ue_ids,user_count,rb_available,total_rbs,rb_budget_ratio_snapshot,cqi_min,cqi_max,cqi_range,cqi_mean,previous_quality_min,previous_quality_max,previous_quality_range,previous_quality_mean,distance_mean_m,distance_range_m,mean_resource_cost,resource_cost_range,teacher_group_count,teacher_group_sizes,teacher_groups,teacher_utility,single_group_utility,teacher_gain_vs_single,teacher_avg_quality,single_avg_quality,teacher_switching,single_switching,teacher_rb_utilization,single_rb_utilization
full_bundle,simu5g_00000254,14.0,gnb_2,0|1|2|3,4,8,25,0.32,9,15,6,12.0,1,2,1,1.75,150.25628987682757,29.960043373782923,3.583333333333333,1.1666666666666665,2,3|1,"[[0, 1, 2], [3]]",0.6607926816608273,0.6221841780840183,0.038608503576809006,3.5,3.0,0.35000000000000003,0.25,1.0,0.5
full_bundle,simu5g_00000256,14.1,gnb_2,0|1|2|3,4,8,25,0.32,9,15,6,12.0,1,2,1,1.75,149.95094896252385,30.322776570893012,3.583333333333333,1.1666666666666665,2,3|1,"[[0, 1, 2], [3]]",0.6607926816608273,0.6221841780840183,0.038608503576809006,3.5,3.0,0.35000000000000003,0.25,1.0,0.5
full_bundle,simu5g_00000258,14.2,gnb_2,0|1|2|3,4,8,25,0.32,9,15,6,12.0,1,2,1,1.75,149.6412223825937,30.681039774963097,3.583333333333333,1.1666666666666665,2,3|1,"[[0, 1, 2], [3]]",0.6607926816608273,0.6221841780840183,0.038608503576809006,3.5,3.0,0.35000000000000003,0.25,1.0,0.5
full_bundle,simu5g_00000260,14.3,gnb_2,0|1|2|3,4,8,25,0.32,9,15,6,12.0,1,2,1,1.75,149.32813474788614,31.036558339754038,3.583333333333333,1.1666666666666665,2,3|1,"[[0, 1, 2], [3]]",0.6607926816608273,0.6221841780840183,0.038608503576809006,3.5,3.0,0.35000000000000003,0.25,1.0,0.5
full_bundle,simu5g_00000262,14.4,gnb_2,0|1|2|3,4,8,25,0.32,9,15,6,12.0,1,2,1,1.75,149.01159089114458,31.389553068614077,3.583333333333333,1.1666666666666665,2,3|1,"[[0, 1, 2], [3]]",0.6607926816608273,0.6221841780840183,0.038608503576809006,3.5,3.0,0.35000000000000003,0.25,1.0,0.5
full_bundle,simu5g_00000264,14.5,gnb_2,0|1|2|3,4,8,25,0.32,9,15,6,12.25,1,2,1,1.75,148.69128739569294,31.74014192834042,3.583333333333333,1.1666666666666665,2,3|1,"[[0, 1, 2], [3]]",0.6607926816608273,0.6221841780840183,0.038608503576809006,3.5,3.0,0.35000000000000003,0.25,1.0,0.5
full_bundle,simu5g_00000266,14.6,gnb_2,0|1|2|3,4,8,25,0.32,9,15,6,12.0,1,2,1,1.75,148.3663744797674,32.089036101509635,3.583333333333333,1.1666666666666665,2,3|1,"[[0, 1, 2], [3]]",0.6607926816608273,0.6221841780840183,0.038608503576809006,3.5,3.0,0.35000000000000003,0.25,1.0,0.5
full_bundle,simu5g_00000268,14.7,gnb_2,0|1|2|3,4,8,25,0.32,9,15,6,12.0,1,2,1,1.75,148.03723840800174,32.43468230080708,3.583333333333333,1.1666666666666665,2,3|1,"[[0, 1, 2], [3]]",0.6607926816608273,0.6221841780840183,0.038608503576809006,3.5,3.0,0.35000000000000003,0.25,1.0,0.5
full_bundle,simu5g_00000270,14.8,gnb_2,0|1|2|3,4,8,25,0.32,9,15,6,12.0,1,2,1,1.75,147.7039144352358,32.776400261830275,3.583333333333333,1.1666666666666665,2,3|1,"[[0, 1, 2], [3]]",0.6607926816608273,0.6221841780840183,0.038608503576809006,3.5,3.0,0.35000000000000003,0.25,1.0,0.5
full_bundle,simu5g_00000272,14.9,gnb_2,0|1|2|3,4,8,25,0.32,9,14,5,11.75,1,2,1,1.75,147.36761343039194,33.11716598329551,3.583333333333333,1.1666666666666665,2,3|1,"[[0, 1, 2], [3]]",0.6607926816608273,0.6221841780840183,0.038608503576809006,3.5,3.0,0.35000000000000003,0.25,1.0,0.625
