scenario_id,ue_id,user_index,rb_index,rate_kbps,sinr_db,cqi
simu5g_00000520,1,0,3,1160.000000,,15.0
simu5g_00000520,1,0,4,1160.000000,,15.0
simu5g_00000520,1,0,5,1160.000000,,15.0
simu5g_00000520,1,0,6,1160.000000,,15.0
simu5g_00000520,1,0,7,1160.000000,,15.0
simu5g_00000520,1,0,8,1160.000000,,15.0
simu5g_00000520,1,0,9,1160.000000,,15.0
simu5g_00000520,1,0,10,1160.000000,,15.0
simu5g_00000520,1,0,11,1160.000000,,15.0
simu5g_00000520,1,0,12,1160.000000,,15.0
simu5g_00000520,1,0,13,1160.000000,,15.0
simu5g_00000520,1,0,14,1160.000000,,15.0
simu5g_00000520,1,0,15,1160.000000,,15.0
simu5g_00000520,1,0,16,1160.000000,,15.0
simu5g_00000520,1,0,17,1160.000000,,15.0
simu5g_00000520,1,0,18,1160.000000,,15.0
simu5g_00000520,1,0,19,1160.000000,,15.0
simu5g_00000520,1,0,20,1160.000000,,15.0
simu5g_00000520,1,0,21,1160.000000,,15.0
simu5g_00000520,1,0,22,1160.000000,,15.0
simu5g_00000520,1,0,23,1128.000000,,14.0
simu5g_00000520,1,0,24,1160.000000,,15.0
simu5g_00000520,2,1,0,380.160000,,10.0
simu5g_00000520,2,1,1,328.320000,,9.0
simu5g_00000520,2,1,2,285.120000,,8.0
simu5g_00000520,2,1,3,531.360000,,13.0
simu5g_00000520,2,1,4,328.320000,,9.0
simu5g_00000520,2,1,5,328.320000,,9.0
simu5g_00000520,2,1,6,164.160000,,5.0
simu5g_00000520,2,1,7,285.120000,,8.0
simu5g_00000520,2,1,8,479.520000,,12.0
simu5g_00000520,2,1,9,285.120000,,8.0
simu5g_00000520,2,1,10,198.720000,,6.0
simu5g_00000520,2,1,11,380.160000,,10.0
simu5g_00000520,2,1,12,328.320000,,9.0
simu5g_00000520,2,1,13,328.320000,,9.0
simu5g_00000520,2,1,14,233.280000,,7.0
simu5g_00000520,2,1,15,479.520000,,12.0
simu5g_00000520,2,1,16,479.520000,,12.0
simu5g_00000520,2,1,17,285.120000,,8.0
simu5g_00000520,2,1,18,198.720000,,6.0
simu5g_00000520,2,1,19,328.320000,,9.0
simu5g_00000520,2,1,20,380.160000,,10.0
simu5g_00000520,2,1,21,164.160000,,5.0
simu5g_00000520,2,1,22,380.160000,,10.0
simu5g_00000520,2,1,23,328.320000,,9.0
simu5g_00000520,2,1,24,233.280000,,7.0
simu5g_00000520,3,2,0,1160.000000,,15.0
simu5g_00000520,3,2,1,1160.000000,,15.0
simu5g_00000520,3,2,2,1160.000000,,15.0
simu5g_00000520,3,2,3,1160.000000,,15.0
simu5g_00000520,3,2,4,1160.000000,,15.0
simu5g_00000520,3,2,5,1160.000000,,15.0
simu5g_00000520,3,2,6,1160.000000,,15.0
simu5g_00000520,3,2,7,1128.000000,,14.0
simu5g_00000520,3,2,8,1160.000000,,15.0
simu5g_00000520,3,2,9,1160.000000,,15.0
simu5g_00000520,3,2,10,1160.000000,,15.0
simu5g_00000520,3,2,11,1128.000000,,14.0
simu5g_00000520,3,2,12,1160.000000,,15.0
simu5g_00000520,3,2,13,1160.000000,,15.0
simu5g_00000520,3,2,14,1160.000000,,15.0
simu5g_00000520,3,2,15,1160.000000,,15.0
simu5g_00000520,3,2,16,1160.000000,,15.0
simu5g_00000520,3,2,17,1160.000000,,15.0
simu5g_00000520,3,2,18,1160.000000,,15.0
simu5g_00000520,3,2,19,1160.000000,,15.0
simu5g_00000520,3,2,20,1160.000000,,15.0
simu5g_00000520,3,2,21,1160.000000,,15.0
simu5g_00000520,3,2,22,1160.000000,,15.0
simu5g_00000520,3,2,23,1160.000000,,15.0
simu5g_00000520,3,2,24,1160.000000,,15.0
simu5g_00000520,4,3,0,1113.600000,,15.0
simu5g_00000520,4,3,1,944.640000,,13.0
simu5g_00000520,4,3,2,1082.880000,,14.0
simu5g_00000520,4,3,3,1113.600000,,15.0
simu5g_00000520,4,3,4,1082.880000,,14.0
simu5g_00000520,4,3,5,1113.600000,,15.0
simu5g_00000520,4,3,6,1113.600000,,15.0
simu5g_00000520,4,3,7,1082.880000,,14.0
simu5g_00000520,4,3,8,1113.600000,,15.0
simu5g_00000520,4,3,9,583.680000,,9.0
simu5g_00000520,4,3,10,1082.880000,,14.0
simu5g_00000520,4,3,11,1113.600000,,15.0
simu5g_00000520,4,3,12,852.480000,,12.0
simu5g_00000520,4,3,13,1113.600000,,15.0
simu5g_00000520,4,3,14,1113.600000,,15.0
simu5g_00000520,4,3,15,944.640000,,13.0
simu5g_00000520,4,3,16,1082.880000,,14.0
simu5g_00000520,4,3,17,1113.600000,,15.0
simu5g_00000520,4,3,18,852.480000,,12.0
simu5g_00000520,4,3,19,1082.880000,,14.0
simu5g_00000520,4,3,20,1113.600000,,15.0
simu5g_00000520,4,3,21,130.560000,,3.0
