scenario_id,ue_id,user_index,rb_index,rate_kbps,sinr_db,cqi
simu5g_00000000,0,0,0,1160.0,27.7827711564387,15.0
simu5g_00000000,0,0,1,528.0,34.0558096684529,8.0
simu5g_00000000,0,0,2,1160.0,28.6549417616468,15.0
simu5g_00000000,0,0,3,984.0,20.4590433626678,13.0
simu5g_00000000,0,0,4,1128.0,29.8562176747928,14.0
simu5g_00000000,0,0,5,984.0,28.2532441387574,13.0
simu5g_00000000,0,0,6,984.0,26.1602103712522,13.0
simu5g_00000000,0,0,7,1160.0,22.8124401429691,15.0
simu5g_00000000,0,0,8,808.0,27.0020993917205,11.0
simu5g_00000000,0,0,9,1128.0,27.6682875503298,14.0
simu5g_00000000,0,0,10,1128.0,30.4394559702804,14.0
simu5g_00000000,0,0,11,1160.0,16.5308571449781,15.0
simu5g_00000000,0,0,12,1128.0,32.9233466582717,14.0
simu5g_00000000,0,0,13,1128.0,24.7442273534136,14.0
simu5g_00000000,0,0,14,1128.0,29.3529289192628,14.0
simu5g_00000000,0,0,15,1160.0,29.9665024522959,15.0
simu5g_00000000,0,0,16,984.0,22.9467046611809,13.0
simu5g_00000000,0,0,17,1160.0,31.3657984123605,15.0
simu5g_00000000,0,0,18,1160.0,31.0617793699555,15.0
simu5g_00000000,0,0,19,1128.0,23.6383202427126,14.0
simu5g_00000000,0,0,20,1160.0,27.6231387052618,15.0
simu5g_00000000,0,0,21,888.0,29.0405361564261,12.0
simu5g_00000000,0,0,22,1160.0,33.937981335549,15.0
simu5g_00000000,0,0,23,1160.0,34.3540312270046,15.0
simu5g_00000000,0,0,24,984.0,22.6501131243162,13.0
simu5g_00000001,0,0,0,1160.0,27.7848361663571,15.0
simu5g_00000001,0,0,1,528.0,34.0578746783714,8.0
simu5g_00000001,0,0,2,1160.0,28.6570067715652,15.0
simu5g_00000001,0,0,3,984.0,20.4611083725863,13.0
simu5g_00000001,0,0,4,1128.0,29.8582826847113,14.0
simu5g_00000001,0,0,5,984.0,28.2553091486758,13.0
simu5g_00000001,0,0,6,984.0,26.1622753811707,13.0
simu5g_00000001,0,0,7,1160.0,22.8145051528876,15.0
simu5g_00000001,0,0,8,808.0,27.004164401639,11.0
simu5g_00000001,0,0,9,1128.0,27.6703525602483,14.0
simu5g_00000001,0,0,10,1128.0,30.4415209801989,14.0
simu5g_00000001,0,0,11,1160.0,16.5329221548966,15.0
simu5g_00000001,0,0,12,1128.0,32.9254116681902,14.0
simu5g_00000001,0,0,13,1128.0,24.7462923633321,14.0
simu5g_00000001,0,0,14,1128.0,29.3549939291813,14.0
simu5g_00000001,0,0,15,1160.0,29.9685674622143,15.0
simu5g_00000001,0,0,16,984.0,22.9487696710994,13.0
simu5g_00000001,0,0,17,1160.0,31.367863422279,15.0
simu5g_00000001,0,0,18,1160.0,31.0638443798739,15.0
simu5g_00000001,0,0,19,1128.0,23.6403852526311,14.0
simu5g_00000001,0,0,20,1160.0,27.6252037151802,15.0
simu5g_00000001,0,0,21,888.0,29.0426011663446,12.0
simu5g_00000001,0,0,22,1160.0,33.9400463454675,15.0
simu5g_00000001,0,0,23,1160.0,34.3560962369231,15.0
simu5g_00000001,0,0,24,984.0,22.6521781342347,13.0
