dispersion,load,seed,method,mean_utility,n_scenarios
high,light,seed_0004,CQI+cost+switching 3-way union (former headline),0.25277208163206366,5
high,light,seed_0004,CQI+cost+regret-graph 3-way union,0.25277208163206366,5
high,light,seed_0004,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.25277208163206366,5
high,light,seed_0005,CQI k-means,0.2324309178080576,5
high,light,seed_0005,CQI+cost 2-way union (paper method),0.24733508631894846,5
high,light,seed_0005,CQI+cost+switching 3-way union (former headline),0.24733508631894846,5
high,light,seed_0005,CQI+cost+regret-graph 3-way union,0.24733508631894846,5
high,light,seed_0005,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.24733508631894846,5
high,light,seed_0006,CQI k-means,0.20238081354491522,5
high,light,seed_0006,CQI+cost 2-way union (paper method),0.20765116718382565,5
high,light,seed_0006,CQI+cost+switching 3-way union (former headline),0.20765116718382565,5
high,light,seed_0006,CQI+cost+regret-graph 3-way union,0.20765116718382565,5
high,light,seed_0006,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.20765116718382565,5
high,light,seed_0007,CQI k-means,0.21034593228095214,5
high,light,seed_0007,CQI+cost 2-way union (paper method),0.2173501730540071,5
high,light,seed_0007,CQI+cost+switching 3-way union (former headline),0.2173501730540071,5
high,light,seed_0007,CQI+cost+regret-graph 3-way union,0.2173501730540071,5
high,light,seed_0007,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.2173501730540071,5
high,light,seed_0008,CQI k-means,0.19820428111793653,2
high,light,seed_0008,CQI+cost 2-way union (paper method),0.22690944970396087,2
high,light,seed_0008,CQI+cost+switching 3-way union (former headline),0.22690944970396087,2
high,light,seed_0008,CQI+cost+regret-graph 3-way union,0.22690944970396087,2
high,light,seed_0008,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.22690944970396087,2
high,light,seed_0009,CQI k-means,0.20803339620011388,5
high,light,seed_0009,CQI+cost 2-way union (paper method),0.22437731123922097,5
high,light,seed_0009,CQI+cost+switching 3-way union (former headline),0.22437731123922097,5
high,light,seed_0009,CQI+cost+regret-graph 3-way union,0.22437731123922097,5
high,light,seed_0009,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.22437731123922097,5
high,light,seed_0010,CQI k-means,0.19226850501627793,5
high,light,seed_0010,CQI+cost 2-way union (paper method),0.1943173459487107,5
high,light,seed_0010,CQI+cost+switching 3-way union (former headline),0.1943173459487107,5
high,light,seed_0010,CQI+cost+regret-graph 3-way union,0.1943173459487107,5
high,light,seed_0010,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.1943173459487107,5
high,medium,seed_0001,CQI k-means,0.0,5
high,medium,seed_0001,CQI+cost 2-way union (paper method),0.0,5
high,medium,seed_0001,CQI+cost+switching 3-way union (former headline),0.0,5
high,medium,seed_0001,CQI+cost+regret-graph 3-way union,0.0,5
high,medium,seed_0001,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.0,5
high,medium,seed_0002,CQI k-means,0.06249494525561598,5
high,medium,seed_0002,CQI+cost 2-way union (paper method),0.06786833724924175,5
high,medium,seed_0002,CQI+cost+switching 3-way union (former headline),0.06786833724924175,5
high,medium,seed_0002,CQI+cost+regret-graph 3-way union,0.06876390258151271,5
high,medium,seed_0002,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.06876390258151271,5
high,medium,seed_0003,CQI k-means,0.05806291341857911,5
high,medium,seed_0003,CQI+cost 2-way union (paper method),0.058958478750850064,5
high,medium,seed_0003,CQI+cost+switching 3-way union (former headline),0.058958478750850064,5
high,medium,seed_0003,CQI+cost+regret-graph 3-way union,0.06074960941539197,5
high,medium,seed_0003,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.06074960941539197,5
high,medium,seed_0004,CQI k-means,0.07242630485315289,5
high,medium,seed_0004,CQI+cost 2-way union (paper method),0.08227752350813344,5
high,medium,seed_0004,CQI+cost+switching 3-way union (former headline),0.08227752350813344,5
high,medium,seed_0004,CQI+cost+regret-graph 3-way union,0.09836340520478602,5
high,medium,seed_0004,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.09836340520478602,5
high,medium,seed_0005,CQI k-means,0.08846633989147379,5
high,medium,seed_0005,CQI+cost 2-way union (paper method),0.10010868921099625,5
high,medium,seed_0005,CQI+cost+switching 3-way union (former headline),0.10010868921099625,5
high,medium,seed_0005,CQI+cost+regret-graph 3-way union,0.10010868921099625,5
high,medium,seed_0005,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.10010868921099625,5
high,medium,seed_0006,CQI k-means,0.017911306645419185,5
high,medium,seed_0006,CQI+cost 2-way union (paper method),0.017911306645419185,5
high,medium,seed_0006,CQI+cost+switching 3-way union (former headline),0.017911306645419185,5
high,medium,seed_0006,CQI+cost+regret-graph 3-way union,0.03283835460398658,5
high,medium,seed_0006,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.03283835460398658,5
high,medium,seed_0007,CQI k-means,0.07953358398092317,5
high,medium,seed_0007,CQI+cost 2-way union (paper method),0.07953358398092317,5
high,medium,seed_0007,CQI+cost+switching 3-way union (former headline),0.07953358398092317,5
high,medium,seed_0007,CQI+cost+regret-graph 3-way union,0.07953358398092317,5
high,medium,seed_0007,CQI+cost+switching+regret-graph 4-way union (confirmatory-validated best),0.07953358398092317,5
high,medium,seed_0008,CQI k-means,0.02910587329880617,2
