timestamp_s,ue_id,serving_gnb,wideband_cqi,previous_quality,total_rbs,rb_available,wideband_sinr_db,rsrp_dbm,rsrq_db,mcs
4.0,31,gnb_1,14.640000,3,25,7,27.537599,-71.962401,,
4.1,0,gnb_2,14.400000,4,25,7,23.294144,-76.205856,,
4.1,15,gnb_1,14.440000,3,25,7,32.185331,-67.314669,,
4.1,31,gnb_1,14.640000,3,25,7,27.553652,-71.946348,,
4.2,0,gnb_2,14.400000,4,25,7,23.304680,-76.195320,,
4.2,15,gnb_1,14.440000,3,25,7,32.198622,-67.301378,,
4.2,31,gnb_1,14.640000,3,25,7,27.570405,-71.929595,,
4.3,0,gnb_2,14.400000,4,25,7,23.315404,-76.184596,,
4.3,15,gnb_1,13.600000,3,25,7,32.212407,-67.287593,,
4.3,31,gnb_1,14.640000,3,25,7,27.587605,-71.912395,,
4.4,0,gnb_2,14.400000,4,25,7,23.326455,-76.173545,,
4.4,15,gnb_1,13.600000,3,25,7,32.226621,-67.273379,,
4.4,31,gnb_1,14.640000,3,25,7,27.605231,-71.894769,,
4.5,0,gnb_2,14.400000,4,25,7,23.337720,-76.162280,,
4.5,15,gnb_1,13.600000,3,25,7,32.241490,-67.258510,,
4.5,31,gnb_1,14.640000,3,25,7,27.623477,-71.876523,,
4.6,0,gnb_2,14.400000,4,25,7,23.349255,-76.150745,,
4.6,15,gnb_1,13.600000,3,25,7,32.257079,-67.242921,,
4.6,31,gnb_1,14.640000,3,25,7,18.768445,-80.731555,,
4.7,0,gnb_2,14.400000,4,25,7,23.361033,-76.138967,,
4.7,1,gnb_2,14.320000,1,25,7,23.646579,-75.853421,,
4.7,15,gnb_1,13.600000,3,25,7,32.273398,-67.226602,,
4.7,31,gnb_1,14.640000,3,25,7,18.787825,-80.712175,,
4.8,0,gnb_2,13.680000,3,25,7,23.373040,-76.126960,,
4.8,1,gnb_2,14.320000,1,25,7,23.647647,-75.852353,,
4.8,15,gnb_1,13.600000,3,25,7,32.290468,-67.209532,,
4.8,31,gnb_1,14.640000,3,25,7,18.807575,-80.692425,,
4.9,0,gnb_2,13.680000,3,25,7,23.385163,-76.114837,,
4.9,1,gnb_2,14.320000,1,25,7,23.649225,-75.850775,,
4.9,15,gnb_1,13.600000,3,25,7,32.308292,-67.191708,,
4.9,31,gnb_1,14.640000,3,25,7,18.828025,-80.671975,,
5.0,0,gnb_2,13.760000,3,25,7,23.397525,-76.102475,,
5.0,1,gnb_2,14.320000,1,25,7,23.651341,-75.848659,,
5.0,15,gnb_1,13.600000,3,25,7,32.326413,-67.173587,,
5.0,31,gnb_1,14.360000,3,25,7,18.848802,-80.651198,,
5.1,0,gnb_2,13.760000,3,25,7,23.410061,-76.089939,,
5.1,1,gnb_2,14.320000,2,25,7,23.653918,-75.846082,,
5.1,15,gnb_1,13.600000,3,25,7,32.345016,-67.154984,,
5.1,31,gnb_1,14.360000,3,25,7,18.870206,-80.629794,,
5.2,0,gnb_2,13.760000,3,25,7,23.422743,-76.077257,,
5.2,1,gnb_2,14.320000,3,25,7,23.656940,-75.843060,,
5.2,15,gnb_1,13.600000,3,25,7,32.363765,-67.136235,,
5.2,31,gnb_1,14.360000,3,25,7,18.892114,-80.607886,,
5.3,0,gnb_2,13.760000,3,25,7,23.435628,-76.064372,,
5.3,1,gnb_2,14.320000,3,25,7,23.660455,-75.839545,,
5.3,15,gnb_1,13.600000,3,25,7,30.786419,-68.713581,,
5.3,31,gnb_1,14.360000,3,25,7,18.914821,-80.585179,,
5.4,0,gnb_2,13.760000,3,25,7,23.448641,-76.051359,,
5.4,1,gnb_2,14.320000,3,25,7,23.664432,-75.835568,,
5.4,15,gnb_1,13.640000,3,25,7,30.806311,-68.693689,,
5.4,31,gnb_1,14.360000,3,25,7,18.938121,-80.561879,,
5.5,0,gnb_2,13.760000,3,25,7,20.488225,-79.011775,,
5.5,1,gnb_2,14.320000,3,25,7,23.668802,-75.831198,,
5.5,15,gnb_1,13.640000,3,25,7,30.826827,-68.673173,,
5.5,31,gnb_1,14.360000,3,25,7,18.962080,-80.537920,,
