method,utility,adr_kbps,used_spectral_efficiency,system_spectral_efficiency,served_ratio,unserved_ratio,average_quality,rb_utilization,avg_switching,fairness,avg_groups,selected_epoch,selection_validation_loss,pair_sampling,supervision_weight_mode,hard_positive_scale,hard_negative_scale,scenario_weight_mode,positive_gain_boost,multigroup_boost,prototype_weight,prototype_margin,membership_weight,candidate_membership_weight,candidate_top_k,candidate_secondary_scale,frontier_contrast_weight,frontier_negative_top_k,frontier_margin,grouping_mode,train_positive_pairs,train_negative_pairs,train_active_negative_ratio,train_mean_negative_distance,train_mean_positive_weight,train_mean_negative_weight,train_hard_group_positive_pairs,train_hard_group_negative_pairs,train_priority_positive_pairs,train_priority_negative_pairs,train_schedule_examples,train_boosted_scenarios,train_prototype_positive_terms,train_prototype_negative_terms,train_membership_terms,train_candidate_membership_terms,train_candidate_membership_weight,train_candidate_secondary_weight_mean,train_frontier_contrast_terms,train_frontier_contrast_weight,train_frontier_margin,train_frontier_positive_count,train_frontier_negative_count,train_mean_weak_score,dataset,feature_mode,max_groups,rb_budget_ratio,focus_ue_ids,train_window_end,test_window_start,test_window_end,seed,selected_restart_seed
No grouping,0.3809363916924876,1500.0,10.052910052910054,8.333333333333336,1.0,0.0,2.0,0.8452380952380952,0.3499999999999999,1.0,1.0,12,0.0005621851358250707,random_balanced,uniform,2.5,1.5,uniform,4,2,0.0,1.0,0.0,0.0,2,2.0,0.0,2,0.25,hybrid_membership_kmeans,2.612167300380228,0.23954372623574144,0.049429657794676805,0.9975070098140533,1.0,1.0,0.0,0.0,0.0,0.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4600760456273765,0.0,0.0,0.25,1.920152091254753,0.7338403041825095,0.5080491516562565,p3_6g_temporal_focus,history_cost_quality,3,0.28,3|4|5|6,27.8,27.9,29.9,9,7
CQI k-means,0.45660471728346474,2261.904761904762,12.698412698412696,12.566137566137565,1.0,0.0,2.238095238095238,0.9880952380952381,0.20714285714285716,0.7928994082840236,1.9523809523809523,12,0.0005621851358250707,random_balanced,uniform,2.5,1.5,uniform,4,2,0.0,1.0,0.0,0.0,2,2.0,0.0,2,0.25,hybrid_membership_kmeans,2.612167300380228,0.23954372623574144,0.049429657794676805,0.9975070098140533,1.0,1.0,0.0,0.0,0.0,0.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4600760456273765,0.0,0.0,0.25,1.920152091254753,0.7338403041825095,0.5080491516562565,p3_6g_temporal_focus,history_cost_quality,3,0.28,3|4|5|6,27.8,27.9,29.9,9,7
Resource-cost k-means,0.4603881335630136,2300.0,12.777777777777777,12.777777777777777,1.0,0.0,2.25,1.0,0.20000000000000004,0.7825443786982249,2.0,12,0.0005621851358250707,random_balanced,uniform,2.5,1.5,uniform,4,2,0.0,1.0,0.0,0.0,2,2.0,0.0,2,0.25,hybrid_membership_kmeans,2.612167300380228,0.23954372623574144,0.049429657794676805,0.9975070098140533,1.0,1.0,0.0,0.0,0.0,0.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4600760456273765,0.0,0.0,0.25,1.920152091254753,0.7338403041825095,0.5080491516562565,p3_6g_temporal_focus,history_cost_quality,3,0.28,3|4|5|6,27.8,27.9,29.9,9,7
Multi-feature k-means,0.4603881335630136,2300.0,12.777777777777777,12.777777777777777,1.0,0.0,2.25,1.0,0.20000000000000004,0.7825443786982249,2.0,12,0.0005621851358250707,random_balanced,uniform,2.5,1.5,uniform,4,2,0.0,1.0,0.0,0.0,2,2.0,0.0,2,0.25,hybrid_membership_kmeans,2.612167300380228,0.23954372623574144,0.049429657794676805,0.9975070098140533,1.0,1.0,0.0,0.0,0.0,0.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4600760456273765,0.0,0.0,0.25,1.920152091254753,0.7338403041825095,0.5080491516562565,p3_6g_temporal_focus,history_cost_quality,3,0.28,3|4|5|6,27.8,27.9,29.9,9,7
Offline teacher,0.4603881335630136,2300.0,12.777777777777777,12.777777777777777,1.0,0.0,2.25,1.0,0.20000000000000004,0.7825443786982249,2.0,12,0.0005621851358250707,random_balanced,uniform,2.5,1.5,uniform,4,2,0.0,1.0,0.0,0.0,2,2.0,0.0,2,0.25,hybrid_membership_kmeans,2.612167300380228,0.23954372623574144,0.049429657794676805,0.9975070098140533,1.0,1.0,0.0,0.0,0.0,0.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4600760456273765,0.0,0.0,0.25,1.920152091254753,0.7338403041825095,0.5080491516562565,p3_6g_temporal_focus,history_cost_quality,3,0.28,3|4|5|6,27.8,27.9,29.9,9,7
LE-GRA MVP,0.4603881335630136,2300.0,12.777777777777777,12.777777777777777,1.0,0.0,2.25,1.0,0.20000000000000004,0.7825443786982249,2.0,12,0.0005621851358250707,random_balanced,uniform,2.5,1.5,uniform,4,2,0.0,1.0,0.0,0.0,2,2.0,0.0,2,0.25,hybrid_membership_kmeans,2.612167300380228,0.23954372623574144,0.049429657794676805,0.9975070098140533,1.0,1.0,0.0,0.0,0.0,0.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4600760456273765,0.0,0.0,0.25,1.920152091254753,0.7338403041825095,0.5080491516562565,p3_6g_temporal_focus,history_cost_quality,3,0.28,3|4|5|6,27.8,27.9,29.9,9,7
