scenario_mode,load_level,rb_budget_ratio,seed,test_index,kmax,feature_mode,method,pairwise_accuracy,ari,nmi,teacher_groups,predicted_groups,teacher_group_signature,predicted_group_signature,teacher_group_json,predicted_group_json,teacher_utility,predicted_utility,utility_gap_vs_teacher
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,12,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2,3|4|6 / 5,5 / 3|4|6,"[[1, 3, 0], [2]]","[[2], [3, 1, 0]]",0.46038813356301367,0.46038813356301367,0.0
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,13,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2,3|4|6 / 5,3|4|6 / 5,"[[0, 1, 3], [2]]","[[0, 1, 3], [2]]",0.46038813356301367,0.46038813356301367,0.0
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,13,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2,3|4|6 / 5,5 / 3|4|6,"[[0, 1, 3], [2]]","[[2], [0, 3, 1]]",0.46038813356301367,0.46038813356301367,0.0
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,14,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2,3|4|6 / 5,3|4|6 / 5,"[[0, 1, 3], [2]]","[[0, 1, 3], [2]]",0.46038813356301367,0.46038813356301367,0.0
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,14,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2,3|4|6 / 5,5 / 3|4|6,"[[0, 1, 3], [2]]","[[2], [0, 3, 1]]",0.46038813356301367,0.46038813356301367,0.0
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,15,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2,3|4|6 / 5,3|4|6 / 5,"[[0, 1, 3], [2]]","[[0, 1, 3], [2]]",0.46038813356301367,0.46038813356301367,0.0
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,15,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2,3|4|6 / 5,5 / 3|4|6,"[[0, 1, 3], [2]]","[[2], [1, 0, 3]]",0.46038813356301367,0.46038813356301367,0.0
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,16,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2,3|4|6 / 5,3|4|6 / 5,"[[0, 1, 3], [2]]","[[0, 1, 3], [2]]",0.46038813356301367,0.46038813356301367,0.0
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,16,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2,3|4|6 / 5,5 / 3|4|6,"[[0, 1, 3], [2]]","[[2], [1, 0, 3]]",0.46038813356301367,0.46038813356301367,0.0
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,17,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2,3|4|6 / 5,3|4|6 / 5,"[[0, 1, 3], [2]]","[[0, 1, 3], [2]]",0.46038813356301367,0.46038813356301367,0.0
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,17,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2,3|4|6 / 5,5 / 3|4|6,"[[0, 1, 3], [2]]","[[2], [1, 0, 3]]",0.46038813356301367,0.46038813356301367,0.0
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,18,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2,3|4|6 / 5,3|4|6 / 5,"[[0, 1, 3], [2]]","[[0, 1, 3], [2]]",0.46038813356301367,0.46038813356301367,0.0
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,18,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2,3|4|6 / 5,5 / 3|4|6,"[[0, 1, 3], [2]]","[[2], [1, 0, 3]]",0.46038813356301367,0.46038813356301367,0.0
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,19,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2,3|4|6 / 5,3|4|6 / 5,"[[0, 1, 3], [2]]","[[0, 1, 3], [2]]",0.46038813356301367,0.46038813356301367,0.0
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,19,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2,3|4|6 / 5,5 / 3|4|6,"[[0, 1, 3], [2]]","[[2], [1, 3, 0]]",0.46038813356301367,0.46038813356301367,0.0
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,20,3,history_cost_quality,Multi-feature k-means,1.0,1.0,1.0,2,2,3|4|6 / 5,3|4|6 / 5,"[[0, 1, 3], [2]]","[[0, 1, 3], [2]]",0.46038813356301367,0.46038813356301367,0.0
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,7,20,3,history_cost_quality,LE-GRA MVP,1.0,1.0,1.0,2,2,3|4|6 / 5,5 / 3|4|6,"[[0, 1, 3], [2]]","[[2], [1, 3, 0]]",0.46038813356301367,0.46038813356301367,0.0
