timestamp_s,ue_node_id,gnb_node_id,ue_module_path,band_index,cqi,tbs_bits_per_slot,total_bands,wideband_cqi,itbs
0.102,2049,1,Highway.car[0],0,15,1160,25,0,26
0.102,2049,1,Highway.car[0],1,15,1160,25,0,26
0.102,2049,1,Highway.car[0],2,15,1160,25,0,26
0.102,2049,1,Highway.car[0],3,15,1160,25,0,26
0.102,2049,1,Highway.car[0],4,15,1160,25,0,26
0.102,2049,1,Highway.car[0],5,15,1160,25,0,26
0.102,2049,1,Highway.car[0],6,15,1160,25,0,26
0.102,2049,1,Highway.car[0],7,15,1160,25,0,26
0.102,2049,1,Highway.car[0],8,15,1160,25,0,26
0.102,2049,1,Highway.car[0],9,15,1160,25,0,26
0.102,2049,1,Highway.car[0],10,15,1160,25,0,26
0.102,2049,1,Highway.car[0],11,15,1160,25,0,26
0.102,2049,1,Highway.car[0],12,15,1160,25,0,26
0.102,2049,1,Highway.car[0],13,15,1160,25,0,26
0.102,2049,1,Highway.car[0],14,15,1160,25,0,26
0.102,2049,1,Highway.car[0],15,15,1160,25,0,26
0.102,2049,1,Highway.car[0],16,15,1160,25,0,26
0.102,2049,1,Highway.car[0],17,15,1160,25,0,26
0.102,2049,1,Highway.car[0],18,15,1160,25,0,26
0.102,2049,1,Highway.car[0],19,15,1160,25,0,26
0.102,2049,1,Highway.car[0],20,15,1160,25,0,26
0.102,2049,1,Highway.car[0],21,15,1160,25,0,26
0.102,2049,1,Highway.car[0],22,15,1160,25,0,26
0.102,2049,1,Highway.car[0],23,15,1160,25,0,26
0.102,2049,1,Highway.car[0],24,15,1160,25,0,26
0.108,2049,1,Highway.car[0],0,15,1160,25,0,26
0.108,2049,1,Highway.car[0],1,15,1160,25,0,26
0.108,2049,1,Highway.car[0],2,15,1160,25,0,26
0.108,2049,1,Highway.car[0],3,15,1160,25,0,26
0.108,2049,1,Highway.car[0],4,15,1160,25,0,26
0.108,2049,1,Highway.car[0],5,15,1160,25,0,26
0.108,2049,1,Highway.car[0],6,15,1160,25,0,26
0.108,2049,1,Highway.car[0],7,15,1160,25,0,26
0.108,2049,1,Highway.car[0],8,15,1160,25,0,26
0.108,2049,1,Highway.car[0],9,15,1160,25,0,26
0.108,2049,1,Highway.car[0],10,15,1160,25,0,26
0.108,2049,1,Highway.car[0],11,15,1160,25,0,26
0.108,2049,1,Highway.car[0],12,15,1160,25,0,26
0.108,2049,1,Highway.car[0],13,15,1160,25,0,26
0.108,2049,1,Highway.car[0],14,15,1160,25,0,26
0.108,2049,1,Highway.car[0],15,15,1160,25,0,26
0.108,2049,1,Highway.car[0],16,15,1160,25,0,26
0.108,2049,1,Highway.car[0],17,15,1160,25,0,26
0.108,2049,1,Highway.car[0],18,15,1160,25,0,26
0.108,2049,1,Highway.car[0],19,15,1160,25,0,26
0.108,2049,1,Highway.car[0],20,15,1160,25,0,26
0.108,2049,1,Highway.car[0],21,15,1160,25,0,26
0.108,2049,1,Highway.car[0],22,15,1160,25,0,26
0.108,2049,1,Highway.car[0],23,15,1160,25,0,26
0.108,2049,1,Highway.car[0],24,15,1160,25,0,26
0.114,2049,1,Highway.car[0],0,15,1160,25,0,26
0.114,2049,1,Highway.car[0],1,15,1160,25,0,26
0.114,2049,1,Highway.car[0],2,15,1160,25,0,26
0.114,2049,1,Highway.car[0],3,15,1160,25,0,26
0.114,2049,1,Highway.car[0],4,15,1160,25,0,26
0.114,2049,1,Highway.car[0],5,15,1160,25,0,26
0.114,2049,1,Highway.car[0],6,15,1160,25,0,26
0.114,2049,1,Highway.car[0],7,15,1160,25,0,26
0.114,2049,1,Highway.car[0],8,15,1160,25,0,26
0.114,2049,1,Highway.car[0],9,15,1160,25,0,26
0.114,2049,1,Highway.car[0],10,15,1160,25,0,26
0.114,2049,1,Highway.car[0],11,15,1160,25,0,26
0.114,2049,1,Highway.car[0],12,15,1160,25,0,26
0.114,2049,1,Highway.car[0],13,15,1160,25,0,26
0.114,2049,1,Highway.car[0],14,15,1160,25,0,26
0.114,2049,1,Highway.car[0],15,15,1160,25,0,26
0.114,2049,1,Highway.car[0],16,15,1160,25,0,26
0.114,2049,1,Highway.car[0],17,15,1160,25,0,26
0.114,2049,1,Highway.car[0],18,15,1160,25,0,26
0.114,2049,1,Highway.car[0],19,15,1160,25,0,26
0.114,2049,1,Highway.car[0],20,15,1160,25,0,26
0.114,2049,1,Highway.car[0],21,15,1160,25,0,26
0.114,2049,1,Highway.car[0],22,15,1160,25,0,26
0.114,2049,1,Highway.car[0],23,15,1160,25,0,26
0.114,2049,1,Highway.car[0],24,15,1160,25,0,26
0.12,2049,1,Highway.car[0],0,15,1160,25,0,26
0.12,2049,1,Highway.car[0],1,15,1160,25,0,26
0.12,2049,1,Highway.car[0],2,15,1160,25,0,26
0.12,2049,1,Highway.car[0],3,15,1160,25,0,26
0.12,2049,1,Highway.car[0],4,15,1160,25,0,26
0.12,2049,1,Highway.car[0],5,15,1160,25,0,26
0.12,2049,1,Highway.car[0],6,15,1160,25,0,26
0.12,2049,1,Highway.car[0],7,15,1160,25,0,26
0.12,2049,1,Highway.car[0],8,15,1160,25,0,26
0.12,2049,1,Highway.car[0],9,15,1160,25,0,26
0.12,2049,1,Highway.car[0],10,15,1160,25,0,26
0.12,2049,1,Highway.car[0],11,15,1160,25,0,26
0.12,2049,1,Highway.car[0],12,15,1160,25,0,26
0.12,2049,1,Highway.car[0],13,15,1160,25,0,26
0.12,2049,1,Highway.car[0],14,15,1160,25,0,26
0.12,2049,1,Highway.car[0],15,15,1160,25,0,26
0.12,2049,1,Highway.car[0],16,15,1160,25,0,26
0.12,2049,1,Highway.car[0],17,15,1160,25,0,26
0.12,2049,1,Highway.car[0],18,15,1160,25,0,26
0.12,2049,1,Highway.car[0],19,15,1160,25,0,26
0.12,2049,1,Highway.car[0],20,15,1160,25,0,26
0.12,2049,1,Highway.car[0],21,15,1160,25,0,26
0.12,2049,1,Highway.car[0],22,15,1160,25,0,26
0.12,2049,1,Highway.car[0],23,15,1160,25,0,26
0.12,2049,1,Highway.car[0],24,15,1160,25,0,26
0.126,2049,1,Highway.car[0],0,15,1160,25,0,26
0.126,2049,1,Highway.car[0],1,15,1160,25,0,26
0.126,2049,1,Highway.car[0],2,15,1160,25,0,26
0.126,2049,1,Highway.car[0],3,15,1160,25,0,26
0.126,2049,1,Highway.car[0],4,15,1160,25,0,26
0.126,2049,1,Highway.car[0],5,15,1160,25,0,26
0.126,2049,1,Highway.car[0],6,15,1160,25,0,26
0.126,2049,1,Highway.car[0],7,15,1160,25,0,26
0.126,2049,1,Highway.car[0],8,15,1160,25,0,26
0.126,2049,1,Highway.car[0],9,15,1160,25,0,26
0.126,2049,1,Highway.car[0],10,15,1160,25,0,26
0.126,2049,1,Highway.car[0],11,15,1160,25,0,26
0.126,2049,1,Highway.car[0],12,15,1160,25,0,26
0.126,2049,1,Highway.car[0],13,15,1160,25,0,26
0.126,2049,1,Highway.car[0],14,15,1160,25,0,26
0.126,2049,1,Highway.car[0],15,15,1160,25,0,26
0.126,2049,1,Highway.car[0],16,15,1160,25,0,26
0.126,2049,1,Highway.car[0],17,15,1160,25,0,26
0.126,2049,1,Highway.car[0],18,15,1160,25,0,26
0.126,2049,1,Highway.car[0],19,15,1160,25,0,26
0.126,2049,1,Highway.car[0],20,15,1160,25,0,26
0.126,2049,1,Highway.car[0],21,15,1160,25,0,26
0.126,2049,1,Highway.car[0],22,15,1160,25,0,26
0.126,2049,1,Highway.car[0],23,15,1160,25,0,26
0.126,2049,1,Highway.car[0],24,15,1160,25,0,26
0.132,2049,1,Highway.car[0],0,15,1160,25,0,26
0.132,2049,1,Highway.car[0],1,15,1160,25,0,26
0.132,2049,1,Highway.car[0],2,15,1160,25,0,26
0.132,2049,1,Highway.car[0],3,15,1160,25,0,26
0.132,2049,1,Highway.car[0],4,15,1160,25,0,26
0.132,2049,1,Highway.car[0],5,15,1160,25,0,26
0.132,2049,1,Highway.car[0],6,15,1160,25,0,26
0.132,2049,1,Highway.car[0],7,15,1160,25,0,26
0.132,2049,1,Highway.car[0],8,15,1160,25,0,26
0.132,2049,1,Highway.car[0],9,15,1160,25,0,26
0.132,2049,1,Highway.car[0],10,15,1160,25,0,26
0.132,2049,1,Highway.car[0],11,15,1160,25,0,26
0.132,2049,1,Highway.car[0],12,15,1160,25,0,26
0.132,2049,1,Highway.car[0],13,15,1160,25,0,26
0.132,2049,1,Highway.car[0],14,15,1160,25,0,26
0.132,2049,1,Highway.car[0],15,15,1160,25,0,26
0.132,2049,1,Highway.car[0],16,15,1160,25,0,26
0.132,2049,1,Highway.car[0],17,15,1160,25,0,26
0.132,2049,1,Highway.car[0],18,15,1160,25,0,26
0.132,2049,1,Highway.car[0],19,15,1160,25,0,26
0.132,2049,1,Highway.car[0],20,15,1160,25,0,26
0.132,2049,1,Highway.car[0],21,15,1160,25,0,26
0.132,2049,1,Highway.car[0],22,15,1160,25,0,26
0.132,2049,1,Highway.car[0],23,15,1160,25,0,26
0.132,2049,1,Highway.car[0],24,15,1160,25,0,26
0.138,2049,1,Highway.car[0],0,15,1160,25,0,26
0.138,2049,1,Highway.car[0],1,15,1160,25,0,26
0.138,2049,1,Highway.car[0],2,15,1160,25,0,26
0.138,2049,1,Highway.car[0],3,15,1160,25,0,26
0.138,2049,1,Highway.car[0],4,15,1160,25,0,26
0.138,2049,1,Highway.car[0],5,15,1160,25,0,26
0.138,2049,1,Highway.car[0],6,15,1160,25,0,26
0.138,2049,1,Highway.car[0],7,15,1160,25,0,26
0.138,2049,1,Highway.car[0],8,15,1160,25,0,26
0.138,2049,1,Highway.car[0],9,15,1160,25,0,26
0.138,2049,1,Highway.car[0],10,15,1160,25,0,26
0.138,2049,1,Highway.car[0],11,15,1160,25,0,26
0.138,2049,1,Highway.car[0],12,15,1160,25,0,26
0.138,2049,1,Highway.car[0],13,15,1160,25,0,26
0.138,2049,1,Highway.car[0],14,15,1160,25,0,26
0.138,2049,1,Highway.car[0],15,15,1160,25,0,26
0.138,2049,1,Highway.car[0],16,15,1160,25,0,26
0.138,2049,1,Highway.car[0],17,15,1160,25,0,26
0.138,2049,1,Highway.car[0],18,15,1160,25,0,26
0.138,2049,1,Highway.car[0],19,15,1160,25,0,26
0.138,2049,1,Highway.car[0],20,15,1160,25,0,26
0.138,2049,1,Highway.car[0],21,15,1160,25,0,26
0.138,2049,1,Highway.car[0],22,15,1160,25,0,26
0.138,2049,1,Highway.car[0],23,15,1160,25,0,26
0.138,2049,1,Highway.car[0],24,15,1160,25,0,26
0.144,2049,1,Highway.car[0],0,15,1160,25,0,26
0.144,2049,1,Highway.car[0],1,15,1160,25,0,26
0.144,2049,1,Highway.car[0],2,15,1160,25,0,26
0.144,2049,1,Highway.car[0],3,15,1160,25,0,26
0.144,2049,1,Highway.car[0],4,15,1160,25,0,26
0.144,2049,1,Highway.car[0],5,15,1160,25,0,26
0.144,2049,1,Highway.car[0],6,15,1160,25,0,26
0.144,2049,1,Highway.car[0],7,15,1160,25,0,26
0.144,2049,1,Highway.car[0],8,15,1160,25,0,26
0.144,2049,1,Highway.car[0],9,15,1160,25,0,26
0.144,2049,1,Highway.car[0],10,15,1160,25,0,26
0.144,2049,1,Highway.car[0],11,15,1160,25,0,26
0.144,2049,1,Highway.car[0],12,15,1160,25,0,26
0.144,2049,1,Highway.car[0],13,15,1160,25,0,26
0.144,2049,1,Highway.car[0],14,15,1160,25,0,26
0.144,2049,1,Highway.car[0],15,15,1160,25,0,26
0.144,2049,1,Highway.car[0],16,15,1160,25,0,26
0.144,2049,1,Highway.car[0],17,15,1160,25,0,26
0.144,2049,1,Highway.car[0],18,15,1160,25,0,26
0.144,2049,1,Highway.car[0],19,15,1160,25,0,26
0.144,2049,1,Highway.car[0],20,15,1160,25,0,26
0.144,2049,1,Highway.car[0],21,15,1160,25,0,26
0.144,2049,1,Highway.car[0],22,15,1160,25,0,26
0.144,2049,1,Highway.car[0],23,15,1160,25,0,26
0.144,2049,1,Highway.car[0],24,15,1160,25,0,26
0.15,2049,1,Highway.car[0],0,15,1160,25,0,26
0.15,2049,1,Highway.car[0],1,15,1160,25,0,26
0.15,2049,1,Highway.car[0],2,15,1160,25,0,26
0.15,2049,1,Highway.car[0],3,15,1160,25,0,26
0.15,2049,1,Highway.car[0],4,15,1160,25,0,26
0.15,2049,1,Highway.car[0],5,15,1160,25,0,26
0.15,2049,1,Highway.car[0],6,15,1160,25,0,26
0.15,2049,1,Highway.car[0],7,15,1160,25,0,26
0.15,2049,1,Highway.car[0],8,15,1160,25,0,26
0.15,2049,1,Highway.car[0],9,15,1160,25,0,26
0.15,2049,1,Highway.car[0],10,15,1160,25,0,26
0.15,2049,1,Highway.car[0],11,15,1160,25,0,26
0.15,2049,1,Highway.car[0],12,15,1160,25,0,26
0.15,2049,1,Highway.car[0],13,15,1160,25,0,26
0.15,2049,1,Highway.car[0],14,15,1160,25,0,26
0.15,2049,1,Highway.car[0],15,15,1160,25,0,26
0.15,2049,1,Highway.car[0],16,15,1160,25,0,26
0.15,2049,1,Highway.car[0],17,15,1160,25,0,26
0.15,2049,1,Highway.car[0],18,15,1160,25,0,26
0.15,2049,1,Highway.car[0],19,15,1160,25,0,26
0.15,2049,1,Highway.car[0],20,15,1160,25,0,26
0.15,2049,1,Highway.car[0],21,15,1160,25,0,26
0.15,2049,1,Highway.car[0],22,15,1160,25,0,26
0.15,2049,1,Highway.car[0],23,15,1160,25,0,26
0.15,2049,1,Highway.car[0],24,15,1160,25,0,26
0.156,2049,1,Highway.car[0],0,15,1160,25,0,26
0.156,2049,1,Highway.car[0],1,15,1160,25,0,26
0.156,2049,1,Highway.car[0],2,15,1160,25,0,26
0.156,2049,1,Highway.car[0],3,15,1160,25,0,26
0.156,2049,1,Highway.car[0],4,15,1160,25,0,26
0.156,2049,1,Highway.car[0],5,15,1160,25,0,26
0.156,2049,1,Highway.car[0],6,15,1160,25,0,26
0.156,2049,1,Highway.car[0],7,15,1160,25,0,26
0.156,2049,1,Highway.car[0],8,15,1160,25,0,26
0.156,2049,1,Highway.car[0],9,15,1160,25,0,26
0.156,2049,1,Highway.car[0],10,15,1160,25,0,26
0.156,2049,1,Highway.car[0],11,15,1160,25,0,26
0.156,2049,1,Highway.car[0],12,15,1160,25,0,26
