user_count,scenario_count,multi_group_count,multi_group_ratio,mean_teacher_group_count,mean_teacher_gain_vs_single,max_teacher_gain_vs_single
2,259,0,0.0,1.0,0.0,0.0
3,107,0,0.0,1.0,0.0,0.0
4,171,5,0.029239766081871343,1.0292397660818713,0.001883119072141365,0.09440267226723498
5,183,6,0.03278688524590164,1.0327868852459017,0.00039019424678816343,0.011900924527038947
6,50,0,0.0,1.0,0.0,0.0
7,60,3,0.05,1.05,0.0028579701071857313,0.05715940214371462
