candidate_seed,selected,support_pairwise_accuracy,support_ari,support_nmi,support_utility,support_teacher_utility,support_utility_gap,support_contrastive_loss,support_weak_bce,support_weak_margin_min,support_weak_margin_mean,support_proto_sep_margin,selected_epoch,selection_validation_loss
7,1,1.0,1.0,1.0,0.6994443967965234,0.6994443967965234,0.0,0.0026005555574151666,0.0719046528917491,0.0007992402589134251,0.001682055243158517,0.5325772060984751,12,0.3808380557549654
9,0,1.0,1.0,1.0,0.6994443967965233,0.6994443967965234,-1.1102230246251565e-16,0.0019185445323268383,0.07071132421632208,0.0009260398720147357,0.001949370842999652,0.8930019820171256,12,0.3833471425629959
11,0,1.0,1.0,1.0,0.6994443967965233,0.6994443967965234,-1.1102230246251565e-16,0.00298932946452751,0.06845261066471008,0.001527665495194611,0.0021373554948995255,0.6595104217924049,12,0.3669256815748612
