candidate_seed,selected,restart_selection_mode,support_pairwise_accuracy,support_ari,support_nmi,support_utility,support_teacher_utility,support_utility_gap,support_contrastive_loss,support_weak_bce,support_weak_margin_min,support_weak_margin_mean,support_proto_sep_margin,selected_epoch,selection_validation_loss
7,0,support_imitation,1.0,1.0,1.0,0.6659085960100777,0.6659085960100777,0.0,0.007874818109022283,0.6677894899742833,0.017067588954710337,0.024502805663437384,0.7803289055789845,12,0.004827118063023408
9,0,support_imitation,1.0,1.0,1.0,0.6659085960100777,0.6659085960100777,0.0,0.0042724991472171655,0.6479782461359865,0.007293285515635213,0.012923607317174244,0.8347643579146151,12,0.003017372191481702
11,1,support_imitation,1.0,1.0,1.0,0.6659085960100777,0.6659085960100777,0.0,0.0031036583468093746,0.6450388848569476,0.023658006663930673,0.03786597222099951,0.894136937513919,12,0.002194555141586322
