scenario_mode,load_level,seed,method,test_index,utility
aligned,light,9,Multi-feature k-means,28,0.9406028612459019
aligned,light,9,Multi-feature k-means,29,0.9371158798542808
aligned,light,9,Offline teacher,0,0.7241049762225438
aligned,light,9,Offline teacher,1,0.8980201717231336
aligned,light,9,Offline teacher,2,0.9494680972896177
aligned,light,9,Offline teacher,3,0.7231392814408061
aligned,light,9,Offline teacher,4,0.9435579399271403
aligned,light,9,Offline teacher,5,0.6412376693499271
aligned,light,9,Offline teacher,6,0.7124172707842603
aligned,light,9,Offline teacher,7,0.9305260372167581
aligned,light,9,Offline teacher,8,0.7805069199924018
aligned,light,9,Offline teacher,9,0.7471735866590685
aligned,light,9,Offline teacher,10,0.8926419170710389
aligned,light,9,Offline teacher,11,0.6874172707842603
aligned,light,9,Offline teacher,12,0.5973357255800692
aligned,light,9,Offline teacher,13,0.628737669349927
aligned,light,9,Offline teacher,14,0.9393912732604738
aligned,light,9,Offline teacher,15,0.7130308716643451
aligned,light,9,Offline teacher,16,0.934013018608379
aligned,light,9,Offline teacher,17,0.7835916950599846
aligned,light,9,Offline teacher,18,0.9365839771438984
aligned,light,9,Offline teacher,19,0.9009752504043721
aligned,light,9,Offline teacher,20,0.9359042918688528
aligned,light,9,Offline teacher,21,0.6154002289720171
aligned,light,9,Offline teacher,22,0.9070331903315125
aligned,light,9,Offline teacher,23,0.7042780439254052
aligned,light,9,Offline teacher,24,0.8820331903315126
aligned,light,9,Offline teacher,25,0.7128774714443239
aligned,light,9,Offline teacher,26,0.9381796852750458
aligned,light,9,Offline teacher,27,0.7228324810007637
aligned,light,9,Offline teacher,28,0.9369680972896175
aligned,light,9,Offline teacher,29,0.940750643810565
aligned,light,9,LE-GRA[history_cost_none],0,0.7020020605677568
aligned,light,9,LE-GRA[history_cost_none],1,0.8992317597085616
aligned,light,9,LE-GRA[history_cost_none],2,0.9579492131876141
aligned,light,9,LE-GRA[history_cost_none],3,0.6936687272344235
aligned,light,9,LE-GRA[history_cost_none],4,0.9496158798542808
aligned,light,9,LE-GRA[history_cost_none],5,0.6332564299182465
aligned,light,9,LE-GRA[history_cost_none],6,0.7050122206846945
aligned,light,9,LE-GRA[history_cost_none],7,0.9305260372167581
aligned,light,9,LE-GRA[history_cost_none],8,0.7629491734946426
aligned,light,9,LE-GRA[history_cost_none],9,0.7471735866590684
aligned,light,9,LE-GRA[history_cost_none],10,0.8938535050564668
aligned,light,9,LE-GRA[history_cost_none],11,0.6728353939010902
aligned,light,9,LE-GRA[history_cost_none],12,0.5659337818102111
aligned,light,9,LE-GRA[history_cost_none],13,0.6282774686898634
aligned,light,9,LE-GRA[history_cost_none],14,0.9431738197814212
aligned,light,9,LE-GRA[history_cost_none],15,0.6978353939010903
aligned,light,9,LE-GRA[history_cost_none],16,0.9424941345063756
aligned,light,9,LE-GRA[history_cost_none],17,0.7790781116502737
aligned,light,9,LE-GRA[history_cost_none],18,0.9414303290856108
aligned,light,9,LE-GRA[history_cost_none],19,0.8997636624189441
aligned,light,9,LE-GRA[history_cost_none],20,0.9431738197814211
aligned,light,9,LE-GRA[history_cost_none],21,0.5700709188425478
aligned,light,9,LE-GRA[history_cost_none],22,0.9021868383898001
aligned,light,9,LE-GRA[history_cost_none],23,0.6917028390233045
aligned,light,9,LE-GRA[history_cost_none],24,0.8796100143606562
aligned,light,9,LE-GRA[history_cost_none],25,0.6686716401347499
aligned,light,9,LE-GRA[history_cost_none],26,0.9502955651293264
aligned,light,9,LE-GRA[history_cost_none],27,0.682278266613548
aligned,light,9,LE-GRA[history_cost_none],28,0.9454492131876142
aligned,light,9,LE-GRA[history_cost_none],29,0.9371158798542808
aligned,light,9,LE-GRA[full_none],0,0.7020020605677568
aligned,light,9,LE-GRA[full_none],1,0.8992317597085616
aligned,light,9,LE-GRA[full_none],2,0.9579492131876141
aligned,light,9,LE-GRA[full_none],3,0.6936687272344235
aligned,light,9,LE-GRA[full_none],4,0.9544622317959931
aligned,light,9,LE-GRA[full_none],5,0.6186745530350765
aligned,light,9,LE-GRA[full_none],6,0.6978353939010901
aligned,light,9,LE-GRA[full_none],7,0.9390071531147545
aligned,light,9,LE-GRA[full_none],8,0.7593144095383583
aligned,light,9,LE-GRA[full_none],9,0.7471735866590684
aligned,light,9,LE-GRA[full_none],10,0.8974882690127511
aligned,light,9,LE-GRA[full_none],11,0.6728353939010902
aligned,light,9,LE-GRA[full_none],12,0.5898146868084523
aligned,light,9,LE-GRA[full_none],13,0.6105196882224646
aligned,light,9,LE-GRA[full_none],14,0.9454492131876142
aligned,light,9,LE-GRA[full_none],15,0.6978353939010903
aligned,light,9,LE-GRA[full_none],16,0.9497636624189439
aligned,light,9,LE-GRA[full_none],17,0.7790781116502737
