method,utility,adr_kbps,used_spectral_efficiency,system_spectral_efficiency,served_ratio,unserved_ratio,average_quality,rb_utilization,avg_switching,fairness,avg_groups,selected_epoch,selection_validation_loss,pair_sampling,supervision_weight_mode,hard_positive_scale,hard_negative_scale,scenario_weight_mode,positive_gain_boost,multigroup_boost,prototype_weight,prototype_margin,membership_weight,grouping_mode,train_positive_pairs,train_negative_pairs,train_active_negative_ratio,train_mean_negative_distance,train_mean_positive_weight,train_mean_negative_weight,train_hard_group_positive_pairs,train_hard_group_negative_pairs,train_priority_positive_pairs,train_priority_negative_pairs,train_schedule_examples,train_boosted_scenarios,train_prototype_positive_terms,train_prototype_negative_terms,train_membership_terms,train_mean_weak_score,dataset,feature_mode,max_groups,rb_budget_ratio,focus_ue_ids,train_window_end,test_window_start,test_window_end,seed
No grouping,0.5471841780840183,3000.0,23.333333333333332,16.666666666666668,1.0,0.0,3.0,0.7142857142857143,0.39999999999999997,1.0,1.0,12,0.06835036048390448,teacher_boundary,teacher_hard_group,2.5,1.5,positive_multigroup_focus,4,2,0.5,1.0,1.0,membership_order,6.266187050359712,4.60431654676259,0.06618705035971223,1.006037951493387,1.8721386477243986,1.5,1.6618705035971224,4.60431654676259,1.6618705035971224,4.60431654676259,278.0,32.0,2.3309352517985613,0.3381294964028777,4.633093525179856,0.7233228887388007,p3_6g_temporal_focus,history_cost_quality,3,0.28,0|1|15|2|3|4|5,43.8,43.9,43.9,9
CQI k-means,0.5790831051936908,5050.0,28.055555555555557,28.055555555555557,1.0,0.0,3.5714285714285716,1.0,0.5142857142857143,0.8831270019911696,2.0,12,0.06835036048390448,teacher_boundary,teacher_hard_group,2.5,1.5,positive_multigroup_focus,4,2,0.5,1.0,1.0,membership_order,6.266187050359712,4.60431654676259,0.06618705035971223,1.006037951493387,1.8721386477243986,1.5,1.6618705035971224,4.60431654676259,1.6618705035971224,4.60431654676259,278.0,32.0,2.3309352517985613,0.3381294964028777,4.633093525179856,0.7233228887388007,p3_6g_temporal_focus,history_cost_quality,3,0.28,0|1|15|2|3|4|5,43.8,43.9,43.9,9
Resource-cost k-means,0.5790831051936908,5050.0,28.055555555555557,28.055555555555557,1.0,0.0,3.5714285714285716,1.0,0.5142857142857143,0.8831270019911696,2.0,12,0.06835036048390448,teacher_boundary,teacher_hard_group,2.5,1.5,positive_multigroup_focus,4,2,0.5,1.0,1.0,membership_order,6.266187050359712,4.60431654676259,0.06618705035971223,1.006037951493387,1.8721386477243986,1.5,1.6618705035971224,4.60431654676259,1.6618705035971224,4.60431654676259,278.0,32.0,2.3309352517985613,0.3381294964028777,4.633093525179856,0.7233228887388007,p3_6g_temporal_focus,history_cost_quality,3,0.28,0|1|15|2|3|4|5,43.8,43.9,43.9,9
Multi-feature k-means,0.5790831051936908,5050.0,28.055555555555557,28.055555555555557,1.0,0.0,3.5714285714285716,1.0,0.5142857142857143,0.8831270019911696,2.0,12,0.06835036048390448,teacher_boundary,teacher_hard_group,2.5,1.5,positive_multigroup_focus,4,2,0.5,1.0,1.0,membership_order,6.266187050359712,4.60431654676259,0.06618705035971223,1.006037951493387,1.8721386477243986,1.5,1.6618705035971224,4.60431654676259,1.6618705035971224,4.60431654676259,278.0,32.0,2.3309352517985613,0.3381294964028777,4.633093525179856,0.7233228887388007,p3_6g_temporal_focus,history_cost_quality,3,0.28,0|1|15|2|3|4|5,43.8,43.9,43.9,9
Offline teacher,0.5796090488051922,4571.428571428572,25.396825396825395,25.396825396825395,1.0,0.0,3.4285714285714284,1.0,0.48571428571428577,0.8470510381338406,2.0,12,0.06835036048390448,teacher_boundary,teacher_hard_group,2.5,1.5,positive_multigroup_focus,4,2,0.5,1.0,1.0,membership_order,6.266187050359712,4.60431654676259,0.06618705035971223,1.006037951493387,1.8721386477243986,1.5,1.6618705035971224,4.60431654676259,1.6618705035971224,4.60431654676259,278.0,32.0,2.3309352517985613,0.3381294964028777,4.633093525179856,0.7233228887388007,p3_6g_temporal_focus,history_cost_quality,3,0.28,0|1|15|2|3|4|5,43.8,43.9,43.9,9
LE-GRA MVP,0.5796090488051922,4571.428571428572,25.396825396825395,25.396825396825395,1.0,0.0,3.4285714285714284,1.0,0.48571428571428577,0.8470510381338406,2.0,12,0.06835036048390448,teacher_boundary,teacher_hard_group,2.5,1.5,positive_multigroup_focus,4,2,0.5,1.0,1.0,membership_order,6.266187050359712,4.60431654676259,0.06618705035971223,1.006037951493387,1.8721386477243986,1.5,1.6618705035971224,4.60431654676259,1.6618705035971224,4.60431654676259,278.0,32.0,2.3309352517985613,0.3381294964028777,4.633093525179856,0.7233228887388007,p3_6g_temporal_focus,history_cost_quality,3,0.28,0|1|15|2|3|4|5,43.8,43.9,43.9,9
