ue_id,snapshot_count,first_timestamp_s,last_timestamp_s,unique_serving_gnbs,handover_count,unique_previous_qualities,quality_switch_count
0,348,0.2,34.9,2,1,5,9
1,296,5.4,34.9,2,1,3,3
11,315,3.5,34.9,1,0,5,7
16,315,3.5,34.9,2,1,4,7
17,263,8.8,35,2,1,3,3
2,242,10.9,35,1,0,3,2
23,306,4.4,34.9,1,0,4,5
3,191,16.0,35,1,0,3,2
4,140,21.1,35,1,0,3,2
5,87,26.3,34.9,1,0,3,2
