scenario_mode,load_level,rb_budget_ratio,seed,test_index,kmax,feature_mode,method,pairwise_accuracy,ari,nmi,teacher_groups,predicted_groups,teacher_group_signature,predicted_group_signature,teacher_group_json,predicted_group_json,teacher_utility,predicted_utility,utility_gap_vs_teacher
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,9,0,3,history_cost_quality,Multi-feature k-means,0.3333333333333333,0.0,0.0,2,1,3|5 / 4|6,3|4|5|6,"[[0, 2], [3, 1]]","[[0, 1, 2, 3]]",0.5790955890522329,0.5721841780840183,-0.006911410968214571
coupled_temporal_focus,coupled_trace_rb_28_temporal_focus,0.28,9,0,3,history_cost_quality,LE-GRA MVP,0.3333333333333333,0.0,0.0,2,1,3|5 / 4|6,3|4|5|6,"[[0, 2], [3, 1]]","[[0, 1, 2, 3]]",0.5790955890522329,0.5721841780840183,-0.006911410968214571
